C:\Cambridge\Election2013\Council\Final\Council Detail Report


November 15, 2013 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

CANDIDATES:
	Benzan, Dennis A.
	Carlone, Dennis J.
	Cheung, Leland
	House, Janneke Ann
	Kelley, Craig A.
	Lee, James
	Leslie, Logan Edward
	Maher, David P.
	Mazen, Nadeem A.
	McGovern, Marc C.
	Mello, Gary W.
	Mirza, Mushtaque A.
	Moree, Gregg J.
	Peden, Ronald
	Phillips, Lesley Rebecca
	Reeves, Kenneth E.
	Seidel, Sam
	Simmons, E. Denise
	Smith, Jefferson R.
	Toomey, Jr., Timothy J.
	vanBeuzekom, Minka Y.
	Vasquez, Luis
	Von Hoffmann, Kristen Lane
	Williamson, James M.
	Yarden, Elie
	Write-In 1
	Write-In 2
	Write-In 3
	Write-In 4
	Write-In 5
	Write-In 6
	Write-In 7
	Write-In 8
	Write-In 9

ELECTION RULES:
               System:  Proportional Representation
           Quota Type:  Droop
    Surplus Transfers:  Random, every nth ballot (Cambridge style)
                        Avoid exhausted ballots if possible
                        Elected immediately (after the 1st count)
    Simultaneous Drop:  Those with less than 50 votes
                 Ties:  1) Previous Count method
                        2) By election official
                        3) Random (by computer)

--------------------------------------------------
17,743 valid ballots.
Electing 9 candidates.
Quota is 1775 votes.
There were 103 invalid ballots.
(17,846 total ballots processed.)
--------------------------------------------------



********************************************************************************


COUNT 1 -- Tally of 1st place votes.

CANDIDATE                   THIS COUNT          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Cheung, Leland                   +2391           2391  ELECTED -- 1st count
Maher, David P.                  +1464           1464  CONTINUING
Toomey, Jr., Timothy J.          +1457           1457  CONTINUING
Benzan, Dennis A.                +1301           1301  CONTINUING
McGovern, Marc C.                +1187           1187  CONTINUING
Simmons, E. Denise               +1184           1184  CONTINUING
Carlone, Dennis J.               +1151           1151  CONTINUING
Kelley, Craig A.                 +1093           1093  CONTINUING
Mazen, Nadeem A.                  +985            985  CONTINUING
Reeves, Kenneth E.                +934            934  CONTINUING
vanBeuzekom, Minka Y.             +875            875  CONTINUING
Seidel, Sam                       +701            701  CONTINUING
Smith, Jefferson R.               +579            579  CONTINUING
Leslie, Logan Edward              +504            504  CONTINUING
Von Hoffmann, Kristen .           +420            420  CONTINUING
House, Janneke Ann                +410            410  CONTINUING
Mirza, Mushtaque A.               +284            284  CONTINUING
Vasquez, Luis                     +264            264  CONTINUING
Mello, Gary W.                    +107            107  CONTINUING
Yarden, Elie                      +102            102  CONTINUING
Lee, James                         +91             91  CONTINUING
Phillips, Lesley Rebec.            +82             82  CONTINUING
Williamson, James M.               +74             74  CONTINUING
Peden, Ronald                      +49             49  CONTINUING
Moree, Gregg J.                    +38             38  CONTINUING
Write-In 1                         +14             14  CONTINUING
Write-In 2                          +2              2  CONTINUING
Write-In 3                           0              0  CONTINUING
Write-In 4                           0              0  CONTINUING
Write-In 5                           0              0  CONTINUING
Write-In 6                           0              0  CONTINUING
Write-In 7                           0              0  CONTINUING
Write-In 8                           0              0  CONTINUING
Write-In 9                           0              0  CONTINUING

EXHAUSTED PILE:                      0              0  
TOTALS:                         +17743          17743  



-- Cheung, Leland has been ELECTED because s/he has met the quota.


********************************************************************************


