C:\Cambridge\Election2013\Council\Final\Council Tabular Report (Delimited)
November 15, 2013 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

17,743 valid ballots.
Electing 9 candidates.
Quota is 1775 votes.
There were 103 invalid ballots.
(17,846 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|Count 16|Count 17|
Benzan, Dennis A.|1301.0000000000|1326.0000000000|1329.0000000000|1332.0000000000|1334.0000000000|1339.0000000000|1355.0000000000|1359.0000000000|1407.0000000000|1408.0000000000|1427.0000000000|1470.0000000000|1498.0000000000|1550.0000000000|1616.0000000000|1775.0000000000|1775.0000000000|ELECTED -- 16th count
Carlone, Dennis J.|1151.0000000000|1176.0000000000|1177.0000000000|1185.0000000000|1188.0000000000|1191.0000000000|1202.0000000000|1227.0000000000|1238.0000000000|1250.0000000000|1313.0000000000|1346.0000000000|1375.0000000000|1425.0000000000|1518.0000000000|1548.0000000000|1775.0000000000|ELECTED -- 17th count
Cheung, Leland|2391.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|ELECTED -- 1st count
House, Janneke Ann|410.0000000000|429.0000000000|429.0000000000|431.0000000000|433.0000000000|434.0000000000|437.0000000000|439.0000000000|447.0000000000|451.0000000000|0|0|0|0|0|0|0|DEFEATED -- 10th count
Kelley, Craig A.|1093.0000000000|1167.0000000000|1171.0000000000|1172.0000000000|1174.0000000000|1175.0000000000|1179.0000000000|1192.0000000000|1202.0000000000|1208.0000000000|1242.0000000000|1280.0000000000|1323.0000000000|1367.0000000000|1474.0000000000|1565.0000000000|1775.0000000000|ELECTED -- 17th count
Lee, James|91.0000000000|101.0000000000|102.0000000000|105.0000000000|106.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
Leslie, Logan Edward|504.0000000000|514.0000000000|518.0000000000|519.0000000000|519.0000000000|525.0000000000|526.0000000000|537.0000000000|542.0000000000|544.0000000000|556.0000000000|569.0000000000|0|0|0|0|0|DEFEATED -- 12th count
Maher, David P.|1464.0000000000|1532.0000000000|1534.0000000000|1535.0000000000|1538.0000000000|1545.0000000000|1550.0000000000|1555.0000000000|1572.0000000000|1583.0000000000|1603.0000000000|1629.0000000000|1697.0000000000|1741.0000000000|1775.0000000000|1775.0000000000|1775.0000000000|ELECTED -- 15th count
Mazen, Nadeem A.|985.0000000000|1021.0000000000|1026.0000000000|1034.0000000000|1039.0000000000|1051.0000000000|1066.0000000000|1074.0000000000|1095.0000000000|1198.0000000000|1264.0000000000|1307.0000000000|1342.0000000000|1432.0000000000|1496.0000000000|1549.0000000000|1775.0000000000|ELECTED -- 17th count
McGovern, Marc C.|1187.0000000000|1248.0000000000|1250.0000000000|1250.0000000000|1253.0000000000|1259.0000000000|1263.0000000000|1268.0000000000|1289.0000000000|1308.0000000000|1333.0000000000|1377.0000000000|1409.0000000000|1478.0000000000|1592.0000000000|1679.0000000000|1775.0000000000|ELECTED -- 17th count
Mello, Gary W.|107.0000000000|111.0000000000|112.0000000000|120.0000000000|121.0000000000|122.0000000000|123.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 7th count
Mirza, Mushtaque A.|284.0000000000|289.0000000000|294.0000000000|294.0000000000|297.0000000000|300.0000000000|310.0000000000|317.0000000000|324.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 9th count
Moree, Gregg J.|38.0000000000|39.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Peden, Ronald|49.0000000000|49.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Phillips, Lesley Rebecca|82.0000000000|89.0000000000|97.0000000000|98.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Reeves, Kenneth E.|934.0000000000|971.0000000000|979.0000000000|984.0000000000|992.0000000000|1001.0000000000|1006.0000000000|1010.0000000000|1028.0000000000|1040.0000000000|1051.0000000000|1073.0000000000|1092.0000000000|1118.0000000000|1165.0000000000|0|0|DEFEATED -- 15th count
Seidel, Sam|701.0000000000|738.0000000000|743.0000000000|744.0000000000|758.0000000000|760.0000000000|769.0000000000|776.0000000000|785.0000000000|792.0000000000|821.0000000000|851.0000000000|873.0000000000|932.0000000000|0|0|0|DEFEATED -- 14th count
Simmons, E. Denise|1184.0000000000|1233.0000000000|1239.0000000000|1245.0000000000|1258.0000000000|1265.0000000000|1271.0000000000|1271.0000000000|1291.0000000000|1304.0000000000|1329.0000000000|1376.0000000000|1392.0000000000|1455.0000000000|1537.0000000000|1775.0000000000|1775.0000000000|ELECTED -- 16th count
Smith, Jefferson R.|579.0000000000|607.0000000000|609.0000000000|611.0000000000|612.0000000000|616.0000000000|618.0000000000|620.0000000000|629.0000000000|633.0000000000|655.0000000000|691.0000000000|700.0000000000|0|0|0|0|DEFEATED -- 13th count
Toomey, Jr., Timothy J.|1457.0000000000|1481.0000000000|1488.0000000000|1490.0000000000|1493.0000000000|1500.0000000000|1500.0000000000|1502.0000000000|1524.0000000000|1535.0000000000|1543.0000000000|1561.0000000000|1603.0000000000|1646.0000000000|1687.0000000000|1775.0000000000|1775.0000000000|ELECTED -- 16th count
vanBeuzekom, Minka Y.|875.0000000000|939.0000000000|942.0000000000|945.0000000000|951.0000000000|960.0000000000|971.0000000000|982.0000000000|1004.0000000000|1021.0000000000|1078.0000000000|1154.0000000000|1181.0000000000|1266.0000000000|1412.0000000000|1535.0000000000|0|DEFEATED -- 16th count
Vasquez, Luis|264.0000000000|273.0000000000|275.0000000000|279.0000000000|281.0000000000|285.0000000000|289.0000000000|293.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 8th count
Von Hoffmann, Kristen Lane|420.0000000000|440.0000000000|440.0000000000|445.0000000000|455.0000000000|462.0000000000|469.0000000000|470.0000000000|478.0000000000|485.0000000000|514.0000000000|0|0|0|0|0|0|DEFEATED -- 11th count
Williamson, James M.|74.0000000000|76.0000000000|78.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Yarden, Elie|102.0000000000|103.0000000000|105.0000000000|112.0000000000|117.0000000000|118.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
Write-In 1|14.0000000000|14.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 2|2.0000000000|2.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 3|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 4|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 5|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 6|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 7|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 8|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 9|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count



Friday, November 15, 2013 5:52 PM
ChoicePlus Pro -- Version 2.3.4
(c) 1993-2009 Voting Solutions -- All Rights Reserved
