C:\Cambridge\Election2009\Council\Tuesday\Council Tabular Report (Delimited)
November 3, 2009 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Preliminary Results (Election Night)

12,471 valid ballots.
Electing 9 candidates.
Quota is 1248 votes.
There were no invalid ballots.
(12,471 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|
Adkins, Lawrence J.|94.0000000000|95.0000000000|97.0000000000|99.0000000000|99.0000000000|102.0000000000|115.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 7th count
Cheung, Leland|673.0000000000|692.0000000000|712.0000000000|724.0000000000|726.0000000000|732.0000000000|739.0000000000|753.0000000000|768.0000000000|782.0000000000|823.0000000000|870.0000000000|950.0000000000|1135.0000000000|1248.0000000000|ELECTED -- 15th count
Davis, Henrietta|1446.0000000000|1446.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|ELECTED -- 1st count
Flanagan, Mark F.|107.0000000000|111.0000000000|113.0000000000|115.0000000000|115.0000000000|118.0000000000|124.0000000000|132.0000000000|0|0|0|0|0|0|0|DEFEATED -- 8th count
Glick, Silvia P.|201.0000000000|204.0000000000|212.0000000000|217.0000000000|219.0000000000|228.0000000000|235.0000000000|240.0000000000|265.0000000000|275.0000000000|0|0|0|0|0|DEFEATED -- 10th count
Kelley, Craig A.|1080.0000000000|1106.0000000000|1140.0000000000|1150.0000000000|1155.0000000000|1159.0000000000|1167.0000000000|1175.0000000000|1181.0000000000|1193.0000000000|1234.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|ELECTED -- 12th count
Leavitt, Neal W.|116.0000000000|120.0000000000|122.0000000000|124.0000000000|125.0000000000|126.0000000000|129.0000000000|133.0000000000|140.0000000000|0|0|0|0|0|0|DEFEATED -- 9th count
Maher, David P.|1106.0000000000|1182.0000000000|1208.0000000000|1217.0000000000|1218.0000000000|1225.0000000000|1226.0000000000|1227.0000000000|1234.0000000000|1246.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|ELECTED -- 11th count
Marquardt, Charles J.|347.0000000000|361.0000000000|363.0000000000|366.0000000000|367.0000000000|370.0000000000|371.0000000000|376.0000000000|381.0000000000|391.0000000000|418.0000000000|437.0000000000|0|0|0|DEFEATED -- 12th count
Moree, Gregg J.|43.0000000000|45.0000000000|45.0000000000|45.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Podgers, Kathy|70.0000000000|70.0000000000|70.0000000000|72.0000000000|84.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
Reeves, Kenneth E.|1010.0000000000|1044.0000000000|1071.0000000000|1152.0000000000|1156.0000000000|1167.0000000000|1174.0000000000|1203.0000000000|1214.0000000000|1222.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|ELECTED -- 11th count
Seidel, Sam|755.0000000000|775.0000000000|797.0000000000|811.0000000000|813.0000000000|817.0000000000|823.0000000000|827.0000000000|832.0000000000|848.0000000000|870.0000000000|977.0000000000|1032.0000000000|1240.0000000000|1248.0000000000|ELECTED -- 15th count
