C:\Cambridge\Election2009\Council\Tuesday\Council Detail Report


November 3, 2009 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Preliminary Results (Election Night)

CANDIDATES:
	Adkins, Lawrence J.
	Cheung, Leland
	Davis, Henrietta
	Flanagan, Mark F.
	Glick, Silvia P.
	Kelley, Craig A.
	Leavitt, Neal W.
	Maher, David P.
	Marquardt, Charles J.
	Moree, Gregg J.
	Podgers, Kathy
	Reeves, Kenneth E.
	Seidel, Sam
	Simmons, E. Denise
	Stohlman, Jr., Thomas J.
	Sullivan, Edward J.
	Toomey, Jr., Timothy J.
	vanBeuzekom, Minka Y.
	Ward, Larry W.
	Williamson, James M.
	Write-In 1
	Write-In 2
	Write-In 3
	Write-In 4
	Write-In 5
	Write-In 6
	Write-In 7
	Write-In 8
	Write-In 9

ELECTION RULES:
               System:  Proportional Representation
           Quota Type:  Droop
    Surplus Transfers:  Random, every nth ballot (Cambridge style)
                        Avoid exhausted ballots if possible
                        Elected immediately (after the 1st count)
    Simultaneous Drop:  Those with less than 50 votes
                 Ties:  1) Previous Count method
                        2) By election official
                        3) Random (by computer)

--------------------------------------------------
12,471 valid ballots.
Electing 9 candidates.
Quota is 1248 votes.
There were no invalid ballots.
(12,471 total ballots processed.)
--------------------------------------------------



********************************************************************************


COUNT 1 -- Tally of 1st place votes.

CANDIDATE                   THIS COUNT          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Toomey, Jr., Timothy J.          +1587           1587  ELECTED -- 1st count
Davis, Henrietta                 +1446           1446  ELECTED -- 1st count
Simmons, E. Denise               +1441           1441  ELECTED -- 1st count
Maher, David P.                  +1106           1106  CONTINUING
Kelley, Craig A.                 +1080           1080  CONTINUING
Reeves, Kenneth E.               +1010           1010  CONTINUING
Sullivan, Edward J.               +791            791  CONTINUING
Seidel, Sam                       +755            755  CONTINUING
Cheung, Leland                    +673            673  CONTINUING
Ward, Larry W.                    +609            609  CONTINUING
vanBeuzekom, Minka Y.             +572            572  CONTINUING
Marquardt, Charles J.             +347            347  CONTINUING
Stohlman, Jr., Thomas .           +341            341  CONTINUING
Glick, Silvia P.                  +201            201  CONTINUING
Leavitt, Neal W.                  +116            116  CONTINUING
Flanagan, Mark F.                 +107            107  CONTINUING
Adkins, Lawrence J.                +94             94  CONTINUING
Williamson, James M.               +82             82  CONTINUING
Podgers, Kathy                     +70             70  CONTINUING
Moree, Gregg J.                    +43             43  CONTINUING
Write-In 1                           0              0  CONTINUING
Write-In 2                           0              0  CONTINUING
Write-In 3                           0              0  CONTINUING
Write-In 4                           0              0  CONTINUING
Write-In 5                           0              0  CONTINUING
Write-In 6                           0              0  CONTINUING
Write-In 7                           0              0  CONTINUING
Write-In 8                           0              0  CONTINUING
Write-In 9                           0              0  CONTINUING

EXHAUSTED PILE:                      0              0  
TOTALS:                         +12471          12471  



-- Toomey, Jr., Timothy J. has been ELECTED because s/he has met the quota.
