D:\2001 Election\council\prelim\Pre-Council Detail Report (Delimited)
10|NOV. 6, 2001 -- Cambridge, MA
10|CITY COUNCIL ELECTION
10|CAMBRIDGE, MA
10|PRELIMINARY DATA
10|<font size=-1><a href="http://www.ci.cambridge.ma.us">Back to Cambridge Home Page</a></font>
20|C01|"Condit, James E., III"
20|C02|"Davis, Henrietta"
20|C03|"Decker, Marjorie C."
20|C04|"Dixon, Vincent Lawrence"
20|C05|"Galluccio, Anthony D."
20|C06|"Hall, Robert L."
20|C07|"Horowitz, Jacob"
20|C08|"Iskovitz, Steve"
20|C09|"Jens, Steven E."
20|C10|"King, Ethridge A."
20|C11|"Maher, David P."
20|C12|"Murphy, Brian"
20|C13|"Peixoto, Helder"
20|C14|"Pitkin, John"
20|C15|"Reeves, Kenneth E."
20|C16|"Simmons, Denise"
20|C17|"Sullivan, Michael A."
20|C18|"Toomey, Timothy J., Jr."
20|C19|"Williamson, James M."
20|WI01|"Write-In 1"
20|WI02|"Write-In 2"
20|WI03|"Write-In 3"
20|WI04|"Write-In 4"
20|WI05|"Write-In 5"
20|WI06|"Write-In 6"
20|WI07|"Write-In 7"
20|WI08|"Write-In 8"
20|WI09|"Write-In 9"
30|system|Proportional Representation
30|threshold|Droop
30|surplusTransfers|Random, every nth ballot (Cambridge style)|Avoid exhausted ballots if possible|Elected immediately (after the 1st count)
30|ties|1) Previous Count method|2) By election official|3) Random (by computer)
40|16696|16696|9|1670|359
50|1|Tally of 1st place votes.
60|C05|+3145|3145|ELECTED -- 1st count
60|C12|+1693|1693|ELECTED -- 1st count
60|C02|+1682|1682|ELECTED -- 1st count
60|C03|+1512|1512|CONTINUING
60|C18|+1348|1348|CONTINUING
60|C16|+1311|1311|CONTINUING
60|C17|+1276|1276|CONTINUING
60|C15|+1114|1114|CONTINUING
60|C14|+1074|1074|CONTINUING
60|C11|+997|997|CONTINUING
60|C10|+373|373|CONTINUING
60|C08|+333|333|CONTINUING
60|C09|+273|273|CONTINUING
60|C06|+149|149|CONTINUING
60|C07|+149|149|CONTINUING
60|C04|+89|89|CONTINUING
60|C13|+68|68|CONTINUING
60|C01|+56|56|CONTINUING
60|C19|+54|54|CONTINUING
60|WI01|0|0|CONTINUING
60|WI02|0|0|CONTINUING
60|WI03|0|0|CONTINUING
60|WI04|0|0|CONTINUING
60|WI05|0|0|CONTINUING
60|WI06|0|0|CONTINUING
60|WI07|0|0|CONTINUING
60|WI08|0|0|CONTINUING
60|WI09|0|0|CONTINUING
60|CAND_EXHAUSTED|0|0|
70|Galluccio, Anthony D. has been ELECTED because s/he has met the quota.
70|Murphy, Brian has been ELECTED because s/he has met the quota.
70|Davis, Henrietta has been ELECTED because s/he has met the quota.
50|2|Galluccio, Anthony D. has been ELECTED -- transferring surplus votes.
60|C05|-1475|1670|ELECTED -- 1st count
60|C12|0|1693|ELECTED -- 1st count
60|C02|0|1682|ELECTED -- 1st count
60|C17|+386|1662|CONTINUING
60|C03|+122|1634|CONTINUING
60|C18|+199|1547|CONTINUING
60|C16|+94|1405|CONTINUING
60|C11|+375|1372|CONTINUING
60|C15|+133|1247|CONTINUING
60|C14|+40|1114|CONTINUING
60|C10|+32|405|CONTINUING
60|C08|+9|342|CONTINUING
60|C09|+14|287|CONTINUING
60|C06|+25|174|CONTINUING
60|C07|+14|163|CONTINUING
60|C04|+7|96|CONTINUING
60|C13|+16|84|CONTINUING
60|C01|+4|60|CONTINUING
60|C19|+5|59|CONTINUING
60|WI01|0|0|CONTINUING
60|WI02|0|0|CONTINUING
60|WI03|0|0|CONTINUING
60|WI04|0|0|CONTINUING
60|WI05|0|0|CONTINUING
60|WI06|0|0|CONTINUING
60|WI07|0|0|CONTINUING
60|WI08|0|0|CONTINUING
60|WI09|0|0|CONTINUING
60|CAND_EXHAUSTED|0|0|
50|3|Murphy, Brian has been ELECTED -- transferring surplus votes.
60|C05|0|1670|ELECTED -- 1st count
60|C12|-23|1670|ELECTED -- 1st count
60|C02|0|1682|ELECTED -- 1st count
60|C17|+1|1663|CONTINUING
60|C03|+7|1641|CONTINUING
60|C18|0|1547|CONTINUING
60|C16|+4|1409|CONTINUING
60|C11|+1|1373|CONTINUING
