D:\2001 Election\council\prelim\Pre-Council Tabular Report (Delimited)
NOV. 6, 2001 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA
PRELIMINARY DATA
<font size=-1><a href="http://www.ci.cambridge.ma.us">Back to Cambridge Home Page</a></font>

16,696 valid ballots.
Electing 9 candidates.
Quota is 1670 votes.
There were 359 invalid ballots.
(17,055 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|
Condit, James E., III|56.0000000000|60.0000000000|60.0000000000|60.0000000000|60.0000000000|66.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
Davis, Henrietta|1682.0000000000|1682.0000000000|1682.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|ELECTED -- 1st count
Decker, Marjorie C.|1512.0000000000|1634.0000000000|1641.0000000000|1646.0000000000|1646.0000000000|1654.0000000000|1662.0000000000|1668.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|ELECTED -- 9th count
Dixon, Vincent Lawrence|89.0000000000|96.0000000000|96.0000000000|96.0000000000|96.0000000000|99.0000000000|110.0000000000|113.0000000000|0|0|0|0|0|0|0|DEFEATED -- 8th count
Galluccio, Anthony D.|3145.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|ELECTED -- 1st count
Hall, Robert L.|149.0000000000|174.0000000000|174.0000000000|175.0000000000|175.0000000000|177.0000000000|180.0000000000|181.0000000000|195.0000000000|198.0000000000|0|0|0|0|0|DEFEATED -- 10th count
Horowitz, Jacob|149.0000000000|163.0000000000|165.0000000000|165.0000000000|165.0000000000|168.0000000000|171.0000000000|173.0000000000|178.0000000000|0|0|0|0|0|0|DEFEATED -- 9th count
Iskovitz, Steve|333.0000000000|342.0000000000|343.0000000000|343.0000000000|343.0000000000|350.0000000000|354.0000000000|357.0000000000|366.0000000000|400.0000000000|424.0000000000|439.0000000000|0|0|0|DEFEATED -- 12th count
Jens, Steven E.|273.0000000000|287.0000000000|287.0000000000|287.0000000000|287.0000000000|288.0000000000|299.0000000000|301.0000000000|318.0000000000|322.0000000000|330.0000000000|0|0|0|0|DEFEATED -- 11th count
King, Ethridge A.|373.0000000000|405.0000000000|405.0000000000|406.0000000000|406.0000000000|408.0000000000|409.0000000000|412.0000000000|417.0000000000|465.0000000000|477.0000000000|504.0000000000|580.0000000000|0|0|DEFEATED -- 13th count
Maher, David P.|997.0000000000|1372.0000000000|1373.0000000000|1374.0000000000|1374.0000000000|1375.0000000000|1381.0000000000|1389.0000000000|1396.0000000000|1403.0000000000|1425.0000000000|1498.0000000000|1512.0000000000|1599.0000000000|1670.0000000000|ELECTED -- 15th count
Murphy, Brian|1693.0000000000|1693.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|ELECTED -- 1st count
Peixoto, Helder|68.0000000000|84.0000000000|84.0000000000|84.0000000000|84.0000000000|85.0000000000|87.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 7th count
Pitkin, John|1074.0000000000|1114.0000000000|1119.0000000000|1120.0000000000|1120.0000000000|1126.0000000000|1127.0000000000|1131.0000000000|1147.0000000000|1173.0000000000|1183.0000000000|1207.0000000000|1293.0000000000|1463.0000000000|0|DEFEATED -- 14th count
Reeves, Kenneth E.|1114.0000000000|1247.0000000000|1249.0000000000|1249.0000000000|1249.0000000000|1251.0000000000|1253.0000000000|1265.0000000000|1272.0000000000|1281.0000000000|1301.0000000000|1324.0000000000|1354.0000000000|1475.0000000000|1670.0000000000|ELECTED -- 15th count
Simmons, Denise|1311.0000000000|1405.0000000000|1409.0000000000|1411.0000000000|1411.0000000000|1417.0000000000|1421.0000000000|1426.0000000000|1434.0000000000|1455.0000000000|1519.0000000000|1537.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|ELECTED -- 13th count
Sullivan, Michael A.|1276.0000000000|1662.0000000000|1663.0000000000|1664.0000000000|1664.0000000000|1669.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|1670.0000000000|ELECTED -- 7th count
Toomey, Timothy J., Jr.|1348.0000000000|1547.0000000000|1547.0000000000|1547.0000000000|1547.0000000000|1548.0000000000|1550.0000000000|1567.0000000000|1573.0000000000|1578.0000000000|1585.0000000000|1620.0000000000|1640.0000000000|1670.0000000000|1670.0000000000|ELECTED -- 14th count
Williamson, James M.|54.0000000000|59.0000000000|59.0000000000|59.0000000000|59.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
Write-In 1|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 2|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 3|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
