D:\2001 Election\council\Council Tabular Report (Delimited)
NOV. 6, 2001 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA

17,126 valid ballots.
Electing 9 candidates.
Quota is 1713 votes.
There were 562 invalid ballots.
(17,688 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|
Condit, James E., III|63.0000000000|68.0000000000|68.0000000000|68.0000000000|74.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
Davis, Henrietta|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 1st count
Decker, Marjorie C.|1540.0000000000|1661.0000000000|1662.0000000000|1666.0000000000|1674.0000000000|1684.0000000000|1691.0000000000|1703.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 9th count
Dixon, Vincent Lawrence|92.0000000000|102.0000000000|102.0000000000|103.0000000000|106.0000000000|118.0000000000|121.0000000000|0|0|0|0|0|0|0|DEFEATED -- 7th count
Galluccio, Anthony D.|3230.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 1st count
Hall, Robert L.|153.0000000000|180.0000000000|180.0000000000|180.0000000000|182.0000000000|185.0000000000|187.0000000000|202.0000000000|206.0000000000|0|0|0|0|0|DEFEATED -- 9th count
Horowitz, Jacob|155.0000000000|168.0000000000|169.0000000000|171.0000000000|174.0000000000|178.0000000000|180.0000000000|184.0000000000|0|0|0|0|0|0|DEFEATED -- 8th count
Iskovitz, Steve|345.0000000000|353.0000000000|353.0000000000|356.0000000000|365.0000000000|369.0000000000|372.0000000000|382.0000000000|417.0000000000|442.0000000000|456.0000000000|0|0|0|DEFEATED -- 11th count
Jens, Steven E.|278.0000000000|293.0000000000|293.0000000000|294.0000000000|295.0000000000|306.0000000000|307.0000000000|321.0000000000|327.0000000000|335.0000000000|0|0|0|0|DEFEATED -- 10th count
King, Ethridge A.|378.0000000000|413.0000000000|413.0000000000|413.0000000000|415.0000000000|416.0000000000|419.0000000000|425.0000000000|472.0000000000|482.0000000000|510.0000000000|587.0000000000|0|0|DEFEATED -- 12th count
