Precinct,1st Choice,2nd Choice,3rd Choice,count
MINNEAPOLIS W-8 P-03,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-12 P-12,Bill Shroyer,Andrea Fahrenkrug,undervote,1
MINNEAPOLIS W-8 P-05,Steffanie Musich,Bill Shroyer,undervote,1
MINNEAPOLIS W-11 P-04,Bill Shroyer,Steffanie Musich,undervote,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-07,Steffanie Musich,Bill Shroyer,undervote,1
MINNEAPOLIS W-11 P-09,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-12 P-02,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-11 P-06,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-04,Bill Shroyer,Andrea Fahrenkrug,Steffanie Musich,1
MINNEAPOLIS W-8 P-08,Steffanie Musich,Bill Shroyer,undervote,1
MINNEAPOLIS W-11 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-09,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-05,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-8 P-05,Andrea Fahrenkrug,undervote,undervote,1
MINNEAPOLIS W-12 P-10,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-8 P-05,Andrea Fahrenkrug,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-13,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-8 P-03,Bill Shroyer,undervote,undervote,1
MINNEAPOLIS W-8 P-05,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-8 P-05,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-04,Bill Shroyer,Andrea Fahrenkrug,undervote,1
MINNEAPOLIS W-8 P-08,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-8 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-04,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-05,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-11 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-05,Bill Shroyer,Andrea Fahrenkrug,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-10,Andrea Fahrenkrug,Steffanie Musich,Bill Shroyer,1
MINNEAPOLIS W-12 P-02,Andrea Fahrenkrug,Bill Shroyer,undervote,1
MINNEAPOLIS W-11 P-07,Steffanie Musich,Andrea Fahrenkrug,UWI,1
MINNEAPOLIS W-11 P-04,Andrea Fahrenkrug,Steffanie Musich,undervote,1
MINNEAPOLIS W-12 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,Steffanie Musich,Bill Shroyer,undervote,1
MINNEAPOLIS W-12 P-11,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-8 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-9 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-09,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-06,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-9 P-07,Steffanie Musich,Bill Shroyer,undervote,1
MINNEAPOLIS W-12 P-06,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-11,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Steffanie Musich,Andrea Fahrenkrug,undervote,1
MINNEAPOLIS W-12 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-05,Andrea Fahrenkrug,Bill Shroyer,Steffanie Musich,1
MINNEAPOLIS W-11 P-07,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-8 P-08,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-03,Andrea Fahrenkrug,Steffanie Musich,Bill Shroyer,1
MINNEAPOLIS W-8 P-08,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Steffanie Musich,Bill Shroyer,undervote,1
MINNEAPOLIS W-12 P-08,Bill Shroyer,Andrea Fahrenkrug,Steffanie Musich,1
MINNEAPOLIS W-8 P-05,Bill Shroyer,Steffanie Musich,undervote,1
MINNEAPOLIS W-11 P-07,Bill Shroyer,Andrea Fahrenkrug,Steffanie Musich,1
MINNEAPOLIS W-11 P-10,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-05,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-03,Steffanie Musich,Bill Shroyer,undervote,1
MINNEAPOLIS W-8 P-05,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-9 P-07,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-12 P-03,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-04,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-04,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-8 P-08,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Bill Shroyer,Andrea Fahrenkrug,Steffanie Musich,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-11 P-07,Andrea Fahrenkrug,Steffanie Musich,undervote,1
MINNEAPOLIS W-8 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-09,Andrea Fahrenkrug,Steffanie Musich,undervote,1
MINNEAPOLIS W-12 P-02,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-12 P-10,Andrea Fahrenkrug,Steffanie Musich,Bill Shroyer,1
MINNEAPOLIS W-12 P-04,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-8 P-08,Steffanie Musich,Bill Shroyer,undervote,1
MINNEAPOLIS W-12 P-05,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-9 P-07,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-9 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-09,Bill Shroyer,Andrea Fahrenkrug,Steffanie Musich,1
MINNEAPOLIS W-11 P-08,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-12 P-03,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-8 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-04,Bill Shroyer,Andrea Fahrenkrug,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-9 P-07,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-11 P-04,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-11 P-04,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-12 P-12,Bill Shroyer,Steffanie Musich,Andrea Fahrenkrug,1
MINNEAPOLIS W-8 P-03,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-09,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1
MINNEAPOLIS W-12 P-10,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,Steffanie Musich,Andrea Fahrenkrug,undervote,1
MINNEAPOLIS W-12 P-05,Bill Shroyer,undervote,undervote,1
MINNEAPOLIS W-11 P-05,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,1
MINNEAPOLIS W-8 P-08,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Bill Shroyer,Andrea Fahrenkrug,undervote,1
MINNEAPOLIS W-12 P-12,Steffanie Musich,Bill Shroyer,undervote,1
MINNEAPOLIS W-11 P-04,Steffanie Musich,undervote,undervote,1
MINNEAPOLIS W-12 P-11,Steffanie Musich,Andrea Fahrenkrug,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-09,Bill Shroyer,Andrea Fahrenkrug,Steffanie Musich,1
MINNEAPOLIS W-11 P-06,Steffanie Musich,Bill Shroyer,undervote,1
