,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Did Not Rank,Final Rank + Did Not Rank
"Condit, James E., III",0.36,0.90,1.58,2.22,2.80,3.39,3.96,4.55,5.12,5.54,5.81,6.12,6.43,6.74,7.10,7.43,7.74,7.98,8.15,91.85,100.00
"Davis, Henrietta",9.68,18.76,27.39,34.38,39.30,43.02,45.22,46.65,47.30,47.50,47.65,47.73,47.86,47.96,48.10,48.21,48.36,48.46,48.55,51.45,100.00
"Decker, Marjorie C.",8.71,18.00,26.13,32.75,37.53,40.82,43.10,44.32,44.93,45.28,45.45,45.60,45.70,45.85,46.00,46.09,46.20,46.36,46.43,53.57,100.00
"Dixon, Vincent Lawrence",0.52,1.19,2.17,3.12,4.00,4.69,5.40,6.04,6.56,7.08,7.49,7.80,8.05,8.36,8.67,8.97,9.16,9.39,9.61,90.39,100.00
"Galluccio, Anthony D.",18.26,28.71,37.18,42.63,46.17,48.65,50.54,51.70,52.37,52.75,52.99,53.11,53.26,53.32,53.41,53.52,53.66,53.77,53.84,46.16,100.00
"Hall, Robert L.",0.86,1.71,2.67,3.71,4.96,6.05,6.87,7.62,8.33,8.88,9.31,9.70,10.07,10.36,10.61,10.94,11.15,11.34,11.48,88.52,100.00
"Horowitz, Jacob",0.88,2.48,4.70,7.10,10.07,13.03,14.94,16.18,17.13,17.79,18.26,18.76,19.08,19.30,19.53,19.75,19.99,20.22,20.31,79.69,100.00
"Iskovitz, Steve",1.95,3.13,4.14,5.18,6.20,7.17,8.13,8.97,9.74,10.34,10.87,11.26,11.65,12.04,12.28,12.56,12.77,12.94,13.12,86.88,100.00
"Jens, Steven E.",1.57,2.22,2.69,3.27,4.03,4.65,5.21,5.71,6.16,6.58,7.00,7.45,7.90,8.25,8.58,8.79,9.10,9.35,9.49,90.51,100.00
"King, Ethridge A.",2.14,5.76,10.23,14.66,19.03,22.52,24.64,26.07,27.10,27.58,27.93,28.31,28.59,28.88,29.17,29.36,29.45,29.59,29.70,70.30,100.00
"Maher, David P.",5.75,13.17,20.14,25.85,29.78,32.61,34.62,35.97,36.83,37.34,37.68,37.91,38.13,38.31,38.51,38.68,38.82,38.92,39.00,61.00,100.00
"Murphy, Brian",9.70,16.47,22.06,27.00,30.87,33.69,35.48,36.54,37.35,37.78,38.10,38.33,38.57,38.82,39.04,39.23,39.43,39.54,39.65,60.35,100.00
"Peixoto, Helder",0.39,1.21,2.07,2.97,4.10,5.04,5.78,6.40,6.98,7.36,7.83,8.23,8.52,8.83,9.15,9.46,9.73,9.97,10.17,89.83,100.00
"Pitkin, John",6.17,11.23,15.36,19.00,22.72,26.01,27.87,29.05,29.79,30.19,30.53,30.80,31.10,31.33,31.52,31.81,32.04,32.23,32.35,67.65,100.00
"Reeves, Kenneth E.",6.45,12.55,17.55,22.32,26.75,29.70,32.00,33.57,34.54,34.90,35.15,35.39,35.54,35.68,35.80,35.96,36.13,36.30,36.51,63.49,100.00
"Simmons, Denise",7.57,16.53,24.63,30.68,35.18,38.50,40.37,41.51,42.26,42.56,42.83,43.02,43.18,43.28,43.39,43.50,43.59,43.72,43.87,56.13,100.00
"Sullivan, Michael A.",7.43,17.69,26.19,30.94,34.06,36.53,38.39,39.47,40.21,40.67,40.93,41.14,41.35,41.50,41.64,41.76,41.89,42.01,42.10,57.90,100.00
"Toomey, Timothy J., Jr.",7.93,13.48,19.38,24.98,28.24,30.43,32.08,33.27,34.01,34.46,34.74,34.99,35.18,35.36,35.50,35.63,35.79,35.93,35.98,64.02,100.00
"Williamson, James M.",0.33,0.78,1.33,1.89,2.42,2.99,3.52,4.06,4.71,5.17,5.50,5.83,6.16,6.54,6.84,7.10,7.42,7.64,7.85,92.15,100.00
writeIns,0.18,0.21,0.33,0.44,0.51,0.62,0.68,0.71,0.72,0.75,0.76,0.77,0.78,0.81,0.84,0.84,0.85,0.86,0.87,99.13,100.00
