,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Did Not Rank,Final Rank + Did Not Rank
"Davis, Henrietta",1592.00,3077.00,4371.00,5301.00,5958.00,6370.00,6646.00,6834.00,6921.00,6974.00,7029.00,7065.00,7090.00,7127.00,7155.00,7176.00,6545.00,13721.00
"Decker, Marjorie C.",1069.00,2426.00,3665.00,4565.00,5218.00,5698.00,6009.00,6203.00,6326.00,6393.00,6447.00,6489.00,6524.00,6557.00,6592.00,6612.00,7109.00,13721.00
"Galluccio, Anthony D.",522.00,1297.00,1986.00,2461.00,2823.00,3084.00,3268.00,3432.00,3533.00,3599.00,3630.00,3663.00,3709.00,3769.00,3806.00,3860.00,9861.00,13721.00
"Janik, Jonathan S.",261.00,494.00,748.00,1014.00,1324.00,1570.00,1822.00,2027.00,2187.00,2299.00,2400.00,2488.00,2563.00,2639.00,2684.00,2724.00,10997.00,13721.00
"Kelley, Craig A.",1118.00,1835.00,2497.00,3102.00,3608.00,4064.00,4414.00,4678.00,4873.00,4978.00,5043.00,5099.00,5151.00,5198.00,5238.00,5256.00,8465.00,13721.00
"Maher, David P.",1312.00,2205.00,3010.00,3635.00,4155.00,4607.00,4941.00,5189.00,5385.00,5492.00,5566.00,5622.00,5681.00,5716.00,5749.00,5771.00,7950.00,13721.00
"Moore, M. Kevin",251.00,607.00,977.00,1281.00,1551.00,1792.00,1998.00,2176.00,2322.00,2436.00,2548.00,2639.00,2708.00,2761.00,2800.00,2826.00,10895.00,13721.00
"Moree, Gregg J.",111.00,228.00,354.00,501.00,642.00,773.00,905.00,1009.00,1094.00,1188.00,1283.00,1383.00,1471.00,1550.00,1637.00,1699.00,12022.00,13721.00
"Murphy, Brian",1160.00,2211.00,3138.00,3935.00,4564.00,5041.00,5412.00,5697.00,5872.00,5946.00,6012.00,6069.00,6122.00,6166.00,6188.00,6205.00,7516.00,13721.00
"Podgers, Kathy",92.00,205.00,363.00,540.00,680.00,849.00,1003.00,1133.00,1256.00,1361.00,1453.00,1544.00,1646.00,1719.00,1799.00,1838.00,11883.00,13721.00
"Reeves, Kenneth E.",1217.00,2007.00,2719.00,3312.00,3752.00,4070.00,4295.00,4475.00,4644.00,4733.00,4784.00,4826.00,4871.00,4915.00,4960.00,5020.00,8701.00,13721.00
"Seidel, Sam",1037.00,1980.00,2750.00,3403.00,3925.00,4319.00,4569.00,4761.00,4912.00,4992.00,5049.00,5123.00,5172.00,5234.00,5295.00,5337.00,8384.00,13721.00
"Simmons, E. Denise",996.00,2292.00,3500.00,4488.00,5221.00,5704.00,6057.00,6294.00,6446.00,6522.00,6554.00,6589.00,6615.00,6643.00,6678.00,6699.00,7022.00,13721.00
"Sullivan, Edward J.",831.00,1650.00,2294.00,2669.00,2965.00,3157.00,3332.00,3495.00,3642.00,3724.00,3811.00,3892.00,3960.00,4024.00,4077.00,4109.00,9612.00,13721.00
"Toomey, Timothy J., Jr.",1339.00,2292.00,3098.00,3661.00,4095.00,4456.00,4734.00,4968.00,5130.00,5243.00,5326.00,5373.00,5408.00,5445.00,5480.00,5507.00,8214.00,13721.00
"Ward, Larry W.",699.00,1341.00,1982.00,2494.00,2946.00,3317.00,3622.00,3838.00,3997.00,4100.00,4173.00,4233.00,4297.00,4346.00,4390.00,4428.00,9293.00,13721.00
writeIns,26.00,35.00,48.00,56.00,66.00,74.00,76.00,86.00,89.00,92.00,95.00,97.00,98.00,100.00,103.00,107.00,13614.00,13721.00
