,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Did Not Rank,Final Rank + Did Not Rank
"Benzan, Dennis A.",6.45,13.14,19.13,23.93,28.13,31.66,34.18,36.05,37.39,37.90,38.30,38.50,38.68,38.81,38.94,39.09,39.21,39.32,39.40,39.50,39.61,39.70,39.76,60.24,100.00
"Carlone, Dennis J.",5.58,12.12,17.55,21.78,25.23,27.80,29.80,31.67,33.04,33.58,33.88,34.19,34.41,34.56,34.70,34.91,35.04,35.16,35.27,35.39,35.48,35.57,35.68,64.32,100.00
"Cheung, Leland",6.62,14.46,22.61,28.98,33.88,37.38,39.93,41.51,42.62,43.16,43.41,43.58,43.71,43.83,43.94,44.06,44.17,44.26,44.34,44.38,44.45,44.52,44.60,55.40,100.00
"Connolly, Mike",4.68,10.23,15.77,20.17,23.07,25.20,26.76,27.89,28.82,29.50,29.89,30.22,30.42,30.65,30.82,31.04,31.28,31.44,31.56,31.70,31.82,31.88,31.96,68.04,100.00
"Courtney, Kim",0.40,1.11,2.00,2.81,3.72,4.50,5.13,5.76,6.46,6.92,7.32,7.62,7.85,8.07,8.27,8.50,8.72,8.91,9.10,9.23,9.40,9.54,9.65,90.35,100.00
"Davidson, Mariko",4.75,9.83,13.70,16.59,19.07,21.57,23.45,25.08,26.06,26.61,27.05,27.32,27.62,27.81,28.01,28.16,28.34,28.48,28.60,28.78,28.88,29.10,29.16,70.84,100.00
"Degoes, Jr., Plinio T.",0.28,0.66,1.12,1.61,2.17,2.71,3.42,3.97,4.48,4.96,5.33,5.74,6.02,6.27,6.59,6.78,6.98,7.22,7.45,7.67,7.88,8.03,8.13,91.87,100.00
"Devereux, Jan",7.28,12.01,16.73,20.65,23.69,25.68,27.30,28.41,29.39,29.93,30.45,30.81,31.17,31.42,31.61,31.81,31.93,32.07,32.21,32.37,32.54,32.66,32.76,67.24,100.00
"Dietrich, Xavier",0.15,0.51,1.01,1.48,1.98,2.48,2.92,3.45,3.86,4.17,4.48,4.80,5.07,5.36,5.62,5.89,6.11,6.30,6.51,6.75,6.95,7.09,7.18,92.82,100.00
"Kelley, Craig A.",7.98,12.83,17.60,21.93,25.90,29.33,32.42,34.34,35.63,36.33,36.62,36.82,36.96,37.13,37.27,37.39,37.53,37.69,37.76,37.85,37.90,37.98,38.06,61.94,100.00
"Levy, Ilan S.",0.85,1.80,2.64,3.51,4.48,5.45,6.30,7.02,7.63,8.05,8.44,8.72,9.03,9.32,9.53,9.74,9.99,10.19,10.38,10.52,10.69,10.88,11.00,89.00,100.00
"Maher, David P.",9.12,16.45,22.65,27.28,31.10,34.15,36.43,38.16,39.32,39.90,40.16,40.41,40.57,40.64,40.78,40.87,40.97,41.10,41.22,41.33,41.41,41.50,41.55,58.45,100.00
"Mahoney, Jr., Paul F.",1.40,2.86,4.14,5.07,5.79,6.50,7.00,7.54,8.09,8.57,8.86,9.15,9.45,9.83,10.07,10.30,10.50,10.71,10.90,11.05,11.19,11.32,11.48,88.52,100.00
"Mazen, Nadeem A.",10.74,19.03,26.10,32.89,36.99,39.62,41.77,43.44,44.61,45.23,45.52,45.68,45.80,45.90,46.01,46.07,46.18,46.27,46.37,46.43,46.52,46.62,46.71,53.29,100.00
"McGovern, Marc C.",6.69,14.57,21.44,26.78,31.06,34.75,37.42,39.12,40.53,41.08,41.49,41.69,41.81,41.95,42.13,42.30,42.35,42.47,42.57,42.67,42.75,42.86,42.93,57.07,100.00
"Mello, Gary W.",0.66,1.29,1.90,2.45,3.03,3.59,4.09,4.59,5.12,5.57,5.95,6.32,6.59,6.82,7.09,7.34,7.55,7.80,8.00,8.17,8.32,8.50,8.60,91.40,100.00
"Moree, Gregg J.",0.43,0.88,1.36,1.94,2.50,3.03,3.44,3.98,4.54,5.00,5.37,5.76,6.13,6.43,6.64,6.89,7.11,7.30,7.48,7.70,7.90,8.11,8.20,91.80,100.00
"Sanzone, John",0.18,0.50,1.01,1.55,1.99,2.43,2.98,3.48,3.81,4.09,4.42,4.76,5.03,5.27,5.50,5.66,5.90,6.06,6.28,6.46,6.70,6.85,7.10,92.90,100.00
