,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Did Not Rank,Final Rank + Did Not Rank
"Benzan, Dennis A.",1159.00,2360.00,3435.00,4298.00,5052.00,5686.00,6138.00,6475.00,6714.00,6807.00,6878.00,6914.00,6946.00,6969.00,6994.00,7020.00,7042.00,7062.00,7076.00,7093.00,7114.00,7130.00,7141.00,10818.00,17959.00
"Carlone, Dennis J.",1002.00,2177.00,3152.00,3911.00,4531.00,4993.00,5352.00,5688.00,5933.00,6031.00,6085.00,6141.00,6180.00,6207.00,6232.00,6269.00,6292.00,6314.00,6334.00,6356.00,6371.00,6388.00,6407.00,11552.00,17959.00
"Cheung, Leland",1189.00,2597.00,4060.00,5204.00,6084.00,6713.00,7171.00,7454.00,7655.00,7751.00,7796.00,7826.00,7849.00,7871.00,7892.00,7912.00,7932.00,7949.00,7963.00,7971.00,7983.00,7996.00,8010.00,9949.00,17959.00
"Connolly, Mike",841.00,1837.00,2833.00,3622.00,4144.00,4526.00,4806.00,5008.00,5176.00,5298.00,5368.00,5427.00,5463.00,5504.00,5535.00,5575.00,5617.00,5646.00,5668.00,5693.00,5714.00,5725.00,5740.00,12219.00,17959.00
"Courtney, Kim",72.00,200.00,359.00,504.00,668.00,809.00,922.00,1034.00,1160.00,1242.00,1315.00,1369.00,1409.00,1450.00,1485.00,1526.00,1566.00,1600.00,1634.00,1657.00,1689.00,1713.00,1733.00,16226.00,17959.00
"Davidson, Mariko",853.00,1766.00,2460.00,2980.00,3425.00,3874.00,4211.00,4504.00,4680.00,4779.00,4858.00,4907.00,4961.00,4994.00,5030.00,5057.00,5090.00,5115.00,5137.00,5169.00,5187.00,5226.00,5236.00,12723.00,17959.00
"Degoes, Jr., Plinio T.",51.00,119.00,202.00,290.00,389.00,487.00,614.00,713.00,805.00,891.00,958.00,1030.00,1082.00,1126.00,1184.00,1218.00,1253.00,1296.00,1338.00,1377.00,1415.00,1442.00,1460.00,16499.00,17959.00
"Devereux, Jan",1307.00,2156.00,3004.00,3708.00,4255.00,4611.00,4903.00,5103.00,5279.00,5376.00,5468.00,5533.00,5597.00,5642.00,5676.00,5712.00,5734.00,5760.00,5784.00,5814.00,5843.00,5866.00,5884.00,12075.00,17959.00
"Dietrich, Xavier",27.00,92.00,181.00,265.00,356.00,445.00,525.00,619.00,693.00,749.00,805.00,862.00,910.00,963.00,1010.00,1057.00,1097.00,1132.00,1170.00,1212.00,1248.00,1274.00,1289.00,16670.00,17959.00
"Kelley, Craig A.",1434.00,2304.00,3160.00,3939.00,4651.00,5267.00,5822.00,6167.00,6398.00,6525.00,6576.00,6613.00,6638.00,6668.00,6694.00,6714.00,6740.00,6769.00,6781.00,6797.00,6807.00,6821.00,6835.00,11124.00,17959.00
"Levy, Ilan S.",153.00,323.00,474.00,631.00,804.00,978.00,1131.00,1261.00,1371.00,1446.00,1515.00,1566.00,1621.00,1673.00,1712.00,1750.00,1795.00,1830.00,1865.00,1890.00,1920.00,1954.00,1976.00,15983.00,17959.00
"Maher, David P.",1637.00,2954.00,4067.00,4899.00,5585.00,6133.00,6543.00,6854.00,7061.00,7165.00,7213.00,7257.00,7286.00,7299.00,7324.00,7340.00,7357.00,7381.00,7403.00,7422.00,7437.00,7453.00,7462.00,10497.00,17959.00
"Mahoney, Jr., Paul F.",251.00,514.00,744.00,910.00,1040.00,1168.00,1257.00,1355.00,1452.00,1539.00,1592.00,1643.00,1698.00,1765.00,1808.00,1850.00,1885.00,1923.00,1957.00,1985.00,2009.00,2033.00,2061.00,15898.00,17959.00
"Mazen, Nadeem A.",1929.00,3418.00,4687.00,5906.00,6643.00,7116.00,7502.00,7801.00,8011.00,8122.00,8175.00,8203.00,8225.00,8244.00,8263.00,8273.00,8294.00,8309.00,8327.00,8338.00,8354.00,8372.00,8389.00,9570.00,17959.00
"McGovern, Marc C.",1202.00,2616.00,3851.00,4810.00,5578.00,6241.00,6721.00,7025.00,7278.00,7378.00,7452.00,7487.00,7509.00,7533.00,7567.00,7596.00,7606.00,7627.00,7646.00,7663.00,7678.00,7697.00,7710.00,10249.00,17959.00
"Mello, Gary W.",119.00,232.00,341.00,440.00,545.00,645.00,735.00,825.00,920.00,1001.00,1069.00,1135.00,1183.00,1224.00,1273.00,1318.00,1356.00,1400.00,1437.00,1467.00,1495.00,1526.00,1544.00,16415.00,17959.00
"Moree, Gregg J.",78.00,158.00,245.00,349.00,449.00,545.00,617.00,714.00,816.00,898.00,964.00,1035.00,1100.00,1155.00,1193.00,1238.00,1277.00,1311.00,1343.00,1383.00,1418.00,1456.00,1472.00,16487.00,17959.00
"Sanzone, John",32.00,89.00,181.00,278.00,357.00,436.00,536.00,625.00,685.00,735.00,793.00,854.00,903.00,947.00,987.00,1017.00,1060.00,1089.00,1128.00,1161.00,1204.00,1231.00,1275.00,16684.00,17959.00
