,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Did Not Rank,Final Rank + Did Not Rank
"Cheung, Leland",12.63,25.75,35.81,42.66,47.22,50.20,52.14,53.22,53.97,54.33,54.57,54.76,54.88,55.00,55.21,55.39,55.48,55.55,44.45,100.00
"Davis, Henrietta",8.99,18.28,26.99,33.69,38.55,42.23,44.31,45.56,46.42,46.71,46.97,47.17,47.37,47.52,47.70,47.89,47.99,48.09,51.91,100.00
"Decker, Marjorie C.",7.03,14.57,22.38,28.46,32.58,35.45,37.57,39.01,39.80,40.22,40.51,40.72,41.01,41.17,41.32,41.48,41.74,41.95,58.05,100.00
"Kelley, Craig A.",6.87,12.44,17.22,20.66,23.84,26.43,28.48,30.50,31.76,32.34,32.70,33.05,33.34,33.56,33.80,34.08,34.31,34.48,65.52,100.00
"Maher, David P.",10.56,18.25,24.29,28.86,32.88,36.32,38.75,40.35,41.79,42.46,42.79,43.05,43.23,43.46,43.65,43.80,43.99,44.12,55.88,100.00
"Marquardt, Charles J.",3.14,5.52,7.53,9.21,10.88,12.07,13.10,14.24,15.04,15.78,16.38,16.89,17.21,17.59,17.95,18.26,18.46,18.68,81.32,100.00
"Mello, Gary W.",0.85,1.84,2.89,3.98,4.89,5.81,6.67,7.55,8.33,8.83,9.40,9.96,10.36,10.81,11.31,11.68,12.00,12.15,87.85,100.00
"Moree, Gregg J.",0.35,0.90,1.62,2.26,2.84,3.51,4.18,4.78,5.37,5.94,6.37,6.83,7.45,7.90,8.32,8.80,9.12,9.40,90.60,100.00
"Nelson, Matthew P.",3.39,5.52,7.71,9.84,11.77,13.27,14.48,15.64,16.54,17.24,17.82,18.31,18.76,19.28,19.61,19.93,20.21,20.32,79.68,100.00
"Pascual, Jamake",0.39,0.90,1.58,2.30,3.24,3.96,4.74,5.40,5.99,6.44,6.96,7.38,7.83,8.21,8.68,8.98,9.32,9.77,90.23,100.00
"Reeves, Kenneth E.",6.34,12.72,18.75,23.52,27.29,30.37,32.81,34.45,35.76,36.37,36.74,37.04,37.34,37.58,37.72,37.92,38.11,38.28,61.72,100.00
"Seidel, Sam",4.93,10.29,16.07,21.15,25.40,29.08,31.73,33.79,35.21,35.80,36.23,36.57,36.83,37.10,37.22,37.43,37.61,37.70,62.30,100.00
"Simmons, E. Denise",7.93,16.64,24.27,30.29,35.22,38.61,41.07,42.75,43.77,44.25,44.51,44.72,44.94,45.13,45.31,45.46,45.62,45.73,54.27,100.00
"Stohlman, Jr., Thomas J.",2.15,4.35,6.77,8.93,10.64,12.15,13.55,14.58,15.53,16.24,16.72,17.14,17.52,17.91,18.30,18.60,18.89,19.17,80.83,100.00
"Toomey, Jr., Timothy J.",10.68,16.71,21.55,25.20,28.11,30.36,32.43,34.19,35.63,36.39,36.89,37.17,37.36,37.58,37.88,38.08,38.28,38.48,61.52,100.00
"Ward, Larry W.",5.23,9.96,14.46,17.88,20.56,22.72,24.57,25.95,27.20,28.00,28.73,29.10,29.52,29.76,29.98,30.18,30.48,30.61,69.39,100.00
"Williamson, James M.",1.10,1.99,2.96,3.84,4.75,5.50,6.17,6.94,7.60,8.21,8.62,9.09,9.52,9.99,10.34,10.74,11.20,11.59,88.41,100.00
"vanBeuzekom, Minka Y.",6.50,12.18,16.77,20.44,23.38,25.68,27.31,28.76,29.82,30.52,31.00,31.44,31.75,32.01,32.27,32.58,32.77,32.98,67.02,100.00
writeIns,0.15,0.28,0.38,0.47,0.52,0.54,0.60,0.64,0.68,0.71,0.72,0.74,0.75,0.75,0.76,0.77,0.78,0.78,99.22,100.00
