,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Ahimsa Porter Sumchai,2.30,8.06,12.39,87.61,100.00
Gavin Newsom,71.18,75.96,78.41,21.59,100.00
George Davis,0.45,1.55,3.18,96.82,100.00
Grasshopper Alec Kaplan,0.98,3.21,5.46,94.54,100.00
H. Brown,0.62,1.99,3.99,96.01,100.00
Harold M. Hoogasian,5.70,11.67,14.34,85.66,100.00
John Rinaldi,1.71,4.45,7.97,92.03,100.00
Josh Wolf,1.21,3.82,6.94,93.06,100.00
Lonnie S. Holmes,1.22,3.94,6.77,93.23,100.00
Michael Powers,0.36,1.53,2.97,97.03,100.00
Quintin Mecke,6.14,10.73,13.22,86.78,100.00
Wilma Pang,4.94,13.95,17.66,82.34,100.00
writeIns,0.02,0.02,0.02,99.98,100.00
