,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Did Not Rank
"Cheung, Leland",2017.00,4113.00,5720.00,6813.00,7542.00,8017.00,8328.00,8499.00,8619.00,8677.00,8715.00,8745.00,8765.00,8784.00,8817.00,8847.00,8861.00,8872.00,7099.00
"Davis, Henrietta",1436.00,2919.00,4311.00,5380.00,6157.00,6744.00,7076.00,7277.00,7413.00,7460.00,7501.00,7534.00,7566.00,7590.00,7618.00,7649.00,7665.00,7680.00,8291.00
"Decker, Marjorie C.",1123.00,2327.00,3574.00,4546.00,5204.00,5662.00,6001.00,6231.00,6356.00,6424.00,6470.00,6504.00,6550.00,6576.00,6600.00,6624.00,6666.00,6700.00,9271.00
"Kelley, Craig A.",1098.00,1987.00,2750.00,3300.00,3808.00,4221.00,4549.00,4871.00,5072.00,5165.00,5222.00,5278.00,5324.00,5360.00,5398.00,5443.00,5480.00,5507.00,10464.00
"Maher, David P.",1686.00,2915.00,3880.00,4610.00,5252.00,5801.00,6189.00,6445.00,6675.00,6782.00,6834.00,6876.00,6904.00,6941.00,6971.00,6995.00,7025.00,7047.00,8924.00
"Marquardt, Charles J.",501.00,881.00,1203.00,1471.00,1737.00,1927.00,2092.00,2275.00,2402.00,2520.00,2616.00,2698.00,2749.00,2809.00,2866.00,2917.00,2949.00,2984.00,12987.00
"Mello, Gary W.",135.00,294.00,461.00,635.00,781.00,928.00,1066.00,1206.00,1330.00,1410.00,1501.00,1590.00,1654.00,1726.00,1807.00,1866.00,1917.00,1940.00,14031.00
"Moree, Gregg J.",56.00,143.00,259.00,361.00,454.00,561.00,667.00,763.00,858.00,949.00,1017.00,1091.00,1190.00,1261.00,1329.00,1406.00,1457.00,1502.00,14469.00
"Nelson, Matthew P.",542.00,882.00,1232.00,1572.00,1879.00,2120.00,2312.00,2498.00,2642.00,2753.00,2846.00,2925.00,2996.00,3079.00,3132.00,3183.00,3227.00,3245.00,12726.00
"Pascual, Jamake",63.00,143.00,252.00,368.00,517.00,633.00,757.00,862.00,957.00,1029.00,1111.00,1179.00,1251.00,1311.00,1386.00,1434.00,1489.00,1561.00,14410.00
"Reeves, Kenneth E.",1013.00,2031.00,2994.00,3757.00,4358.00,4850.00,5240.00,5502.00,5711.00,5808.00,5868.00,5915.00,5963.00,6002.00,6025.00,6056.00,6087.00,6113.00,9858.00
"Seidel, Sam",788.00,1644.00,2566.00,3378.00,4057.00,4645.00,5068.00,5397.00,5623.00,5717.00,5787.00,5841.00,5882.00,5925.00,5945.00,5978.00,6006.00,6021.00,9950.00
"Simmons, E. Denise",1266.00,2657.00,3876.00,4837.00,5625.00,6166.00,6560.00,6827.00,6990.00,7067.00,7108.00,7143.00,7178.00,7207.00,7237.00,7261.00,7286.00,7304.00,8667.00
"Stohlman, Jr., Thomas J.",344.00,695.00,1082.00,1427.00,1699.00,1941.00,2164.00,2329.00,2481.00,2593.00,2670.00,2737.00,2798.00,2861.00,2922.00,2970.00,3017.00,3061.00,12910.00
"Toomey, Jr., Timothy J.",1705.00,2668.00,3441.00,4025.00,4489.00,4849.00,5179.00,5460.00,5691.00,5812.00,5892.00,5937.00,5967.00,6002.00,6050.00,6082.00,6113.00,6146.00,9825.00
"Ward, Larry W.",835.00,1591.00,2310.00,2856.00,3283.00,3628.00,3924.00,4145.00,4344.00,4472.00,4588.00,4647.00,4715.00,4753.00,4788.00,4820.00,4868.00,4889.00,11082.00
"Williamson, James M.",175.00,318.00,472.00,614.00,759.00,878.00,986.00,1109.00,1214.00,1312.00,1376.00,1452.00,1520.00,1595.00,1651.00,1715.00,1789.00,1851.00,14120.00
"vanBeuzekom, Minka Y.",1038.00,1946.00,2678.00,3264.00,3734.00,4101.00,4361.00,4593.00,4763.00,4875.00,4951.00,5022.00,5070.00,5112.00,5154.00,5203.00,5234.00,5268.00,10703.00
writeIns,24.00,44.00,60.00,75.00,83.00,87.00,96.00,103.00,108.00,113.00,115.00,118.00,119.00,120.00,122.00,123.00,124.00,125.00,15846.00
