,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Did Not Rank
"Benzan, Dennis A.",7.29,12.37,16.99,19.99,22.22,24.26,25.75,27.00,28.05,28.67,29.08,29.39,29.63,29.84,30.10,30.28,30.49,30.67,30.76,30.89,30.99,31.08,31.19,31.28,31.37,68.63
"Carlone, Dennis J.",6.45,11.03,14.82,17.26,19.26,20.64,21.70,22.66,23.38,23.92,24.25,24.46,24.72,24.98,25.15,25.34,25.52,25.69,25.85,26.01,26.15,26.26,26.38,26.50,26.59,73.41
"Cheung, Leland",13.40,24.69,34.08,40.31,44.82,47.87,49.92,51.20,52.11,52.44,52.68,52.85,52.96,53.05,53.13,53.23,53.30,53.32,53.41,53.47,53.55,53.64,53.70,53.74,53.80,46.20
"House, Janneke Ann",2.30,5.76,9.10,11.79,14.09,15.95,17.54,18.86,19.89,20.36,20.79,21.19,21.47,21.70,21.90,22.10,22.24,22.39,22.50,22.58,22.69,22.85,22.96,23.09,23.19,76.81
"Kelley, Craig A.",6.12,11.26,16.03,20.17,23.72,26.35,28.52,30.14,31.55,31.98,32.25,32.47,32.69,32.84,32.96,33.13,33.28,33.43,33.56,33.65,33.72,33.82,33.98,34.09,34.15,65.85
"Lee, James",0.51,1.31,2.21,3.12,4.00,4.93,5.73,6.39,7.04,7.40,7.77,8.09,8.44,8.72,8.98,9.27,9.49,9.67,9.88,10.00,10.10,10.24,10.41,10.56,10.62,89.38
"Leslie, Logan Edward",2.82,3.86,4.67,5.35,6.01,6.63,7.18,7.73,8.13,8.44,8.67,8.94,9.23,9.41,9.63,9.85,10.11,10.30,10.51,10.70,10.87,11.03,11.22,11.38,11.53,88.47
"Maher, David P.",8.20,14.83,20.17,24.37,27.52,30.29,32.15,33.64,34.72,35.28,35.68,35.93,36.16,36.32,36.45,36.64,36.80,36.95,37.02,37.13,37.29,37.36,37.42,37.50,37.57,62.43
"Mazen, Nadeem A.",5.52,10.89,15.24,18.44,20.88,22.73,24.22,25.33,26.26,26.82,27.20,27.54,27.71,27.87,28.06,28.22,28.38,28.59,28.72,28.82,28.92,29.05,29.11,29.16,29.27,70.73
"McGovern, Marc C.",6.65,12.70,18.35,22.59,25.94,28.42,30.31,31.65,32.62,33.17,33.53,33.88,34.10,34.28,34.50,34.62,34.77,34.94,35.16,35.30,35.40,35.51,35.63,35.68,35.73,64.27
"Mello, Gary W.",0.60,1.13,1.80,2.56,3.17,3.78,4.26,4.69,5.06,5.50,5.76,6.12,6.37,6.60,6.82,7.02,7.26,7.53,7.76,7.99,8.15,8.29,8.46,8.63,8.73,91.27
"Mirza, Mushtaque A.",1.59,2.86,4.06,5.02,5.98,6.80,7.58,8.38,9.08,9.58,10.02,10.33,10.66,10.98,11.18,11.36,11.55,11.71,11.95,12.17,12.36,12.48,12.60,12.74,12.84,87.16
