,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Rank 26,Did Not Rank
"Benjamin, Ronald",1.07,1.86,2.82,3.49,4.12,4.63,5.06,5.58,6.08,6.43,6.76,7.05,7.28,7.50,7.72,7.91,8.15,8.38,8.61,8.79,8.99,9.18,9.35,9.53,9.69,9.73,90.27
"Burgin, Josh M.",1.73,2.97,3.98,4.82,5.60,6.37,6.91,7.55,8.12,8.47,8.78,9.09,9.37,9.59,9.78,10.01,10.31,10.51,10.71,10.86,11.01,11.19,11.36,11.52,11.64,11.75,88.25
"Carlone, Dennis J.",5.20,10.96,16.80,22.38,27.71,31.45,33.98,35.75,37.22,38.04,38.60,38.93,39.16,39.31,39.45,39.57,39.70,39.79,39.87,39.99,40.08,40.17,40.27,40.40,40.46,40.52,59.48
"D'Ambrosio, Olivia",0.96,2.15,3.74,5.37,7.03,8.52,9.98,11.09,12.12,12.79,13.29,13.73,14.00,14.27,14.58,14.73,14.91,15.08,15.27,15.40,15.57,15.73,15.89,15.99,16.13,16.22,83.78
"Devereux, Jan",7.52,15.73,22.59,29.06,34.50,38.14,40.75,42.59,43.89,44.68,45.12,45.36,45.54,45.68,45.82,45.92,46.01,46.11,46.20,46.27,46.34,46.42,46.54,46.63,46.72,46.79,53.21
"Gebru, Samuel",3.48,6.79,10.03,12.79,15.57,18.58,20.65,22.30,23.71,24.41,24.96,25.39,25.66,25.94,26.16,26.35,26.45,26.56,26.71,26.83,26.98,27.11,27.21,27.35,27.46,27.54,72.46
"Harding, Jr., Richard",3.70,7.70,11.15,13.83,16.15,18.33,20.18,21.67,22.82,23.51,23.95,24.33,24.59,24.83,25.12,25.32,25.50,25.68,25.85,26.01,26.16,26.28,26.41,26.54,26.66,26.75,73.25
"Kelley, Craig A.",4.83,8.55,12.43,16.10,19.49,22.45,24.69,26.50,27.94,28.82,29.36,29.72,30.05,30.29,30.47,30.63,30.78,30.89,31.02,31.09,31.22,31.33,31.43,31.53,31.63,31.68,68.32
"Lenke, Dan",0.24,0.47,0.75,1.02,1.36,1.66,1.89,2.06,2.30,2.54,2.74,2.93,3.11,3.33,3.56,3.79,4.00,4.24,4.38,4.61,4.82,5.07,5.29,5.48,5.71,5.90,94.10
"Levy, Ilan",1.09,2.03,2.99,3.71,4.47,5.16,5.89,6.55,7.15,7.55,7.91,8.21,8.45,8.75,8.99,9.20,9.38,9.59,9.83,9.99,10.17,10.36,10.59,10.76,10.95,11.10,88.90
"Mallon, Alanna M.",5.88,11.37,16.71,20.97,24.89,28.15,30.63,32.64,34.21,35.14,35.76,36.08,36.38,36.63,36.78,36.94,37.03,37.13,37.25,37.39,37.46,37.55,37.67,37.76,37.84,37.90,62.10
"McGovern, Marc C.",8.32,15.83,23.37,29.65,34.46,38.60,41.87,43.94,45.22,45.96,46.42,46.70,46.91,47.08,47.18,47.26,47.36,47.43,47.50,47.59,47.70,47.79,47.85,47.95,48.04,48.11,51.89
"Moree, Gregg J.",0.20,0.49,0.77,1.10,1.44,1.77,2.03,2.25,2.50,2.72,2.91,3.09,3.29,3.46,3.64,3.85,4.11,4.31,4.51,4.68,4.92,5.18,5.39,5.59,5.78,6.01,93.99
