,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Rank 26,Did Not Rank
"Benjamin, Ronald",242.00,420.00,637.00,789.00,930.00,1046.00,1143.00,1261.00,1374.00,1454.00,1527.00,1593.00,1644.00,1694.00,1745.00,1788.00,1842.00,1894.00,1946.00,1986.00,2031.00,2074.00,2113.00,2153.00,2190.00,2199.00,20397.00
"Burgin, Josh M.",392.00,672.00,900.00,1088.00,1265.00,1439.00,1562.00,1706.00,1834.00,1915.00,1985.00,2055.00,2118.00,2168.00,2209.00,2262.00,2330.00,2375.00,2420.00,2453.00,2487.00,2528.00,2566.00,2603.00,2630.00,2655.00,19941.00
"Carlone, Dennis J.",1176.00,2477.00,3797.00,5058.00,6262.00,7107.00,7679.00,8078.00,8410.00,8595.00,8723.00,8796.00,8848.00,8883.00,8915.00,8942.00,8970.00,8991.00,9010.00,9037.00,9056.00,9077.00,9100.00,9128.00,9142.00,9156.00,13440.00
"D'Ambrosio, Olivia",216.00,485.00,846.00,1213.00,1589.00,1926.00,2254.00,2506.00,2738.00,2890.00,3003.00,3102.00,3163.00,3224.00,3295.00,3329.00,3369.00,3408.00,3450.00,3479.00,3519.00,3554.00,3590.00,3614.00,3644.00,3666.00,18930.00
"Devereux, Jan",1699.00,3554.00,5105.00,6566.00,7795.00,8618.00,9207.00,9624.00,9917.00,10095.00,10196.00,10249.00,10290.00,10322.00,10354.00,10376.00,10397.00,10419.00,10439.00,10455.00,10471.00,10489.00,10516.00,10536.00,10556.00,10573.00,12023.00
"Gebru, Samuel",787.00,1534.00,2266.00,2890.00,3518.00,4198.00,4666.00,5040.00,5358.00,5516.00,5641.00,5737.00,5799.00,5861.00,5911.00,5953.00,5977.00,6002.00,6035.00,6062.00,6097.00,6126.00,6148.00,6181.00,6204.00,6224.00,16372.00
"Harding, Jr., Richard",836.00,1739.00,2520.00,3124.00,3650.00,4141.00,4561.00,4897.00,5157.00,5312.00,5412.00,5497.00,5557.00,5610.00,5675.00,5722.00,5763.00,5802.00,5840.00,5878.00,5911.00,5939.00,5968.00,5997.00,6023.00,6045.00,16551.00
"Kelley, Craig A.",1092.00,1931.00,2809.00,3637.00,4405.00,5073.00,5579.00,5987.00,6313.00,6513.00,6635.00,6715.00,6790.00,6845.00,6884.00,6922.00,6954.00,6981.00,7009.00,7026.00,7054.00,7079.00,7103.00,7124.00,7147.00,7159.00,15437.00
"Lenke, Dan",54.00,106.00,169.00,231.00,307.00,374.00,428.00,465.00,520.00,574.00,619.00,663.00,703.00,752.00,804.00,856.00,904.00,958.00,990.00,1041.00,1090.00,1146.00,1195.00,1239.00,1290.00,1334.00,21262.00
"Levy, Ilan",246.00,459.00,675.00,838.00,1009.00,1166.00,1330.00,1481.00,1616.00,1705.00,1788.00,1855.00,1909.00,1978.00,2032.00,2078.00,2120.00,2167.00,2221.00,2257.00,2299.00,2342.00,2393.00,2432.00,2475.00,2509.00,20087.00
