,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Did Not Rank
"Benzan, Dennis A.",1301.00,2208.00,3032.00,3568.00,3966.00,4330.00,4595.00,4819.00,5005.00,5116.00,5189.00,5245.00,5288.00,5325.00,5372.00,5404.00,5441.00,5473.00,5490.00,5513.00,5530.00,5547.00,5566.00,5582.00,5598.00,12248.00
"Carlone, Dennis J.",1151.00,1968.00,2645.00,3081.00,3437.00,3684.00,3873.00,4044.00,4173.00,4269.00,4327.00,4365.00,4412.00,4458.00,4489.00,4522.00,4554.00,4584.00,4614.00,4641.00,4666.00,4687.00,4707.00,4730.00,4746.00,13100.00
"Cheung, Leland",2391.00,4406.00,6082.00,7194.00,7999.00,8542.00,8908.00,9138.00,9299.00,9359.00,9401.00,9432.00,9451.00,9467.00,9482.00,9500.00,9512.00,9516.00,9531.00,9542.00,9556.00,9573.00,9583.00,9590.00,9602.00,8244.00
"House, Janneke Ann",410.00,1028.00,1624.00,2104.00,2515.00,2847.00,3131.00,3366.00,3550.00,3633.00,3711.00,3782.00,3831.00,3872.00,3908.00,3944.00,3969.00,3996.00,4016.00,4029.00,4049.00,4077.00,4098.00,4121.00,4139.00,13707.00
"Kelley, Craig A.",1093.00,2009.00,2861.00,3600.00,4233.00,4702.00,5089.00,5379.00,5630.00,5707.00,5755.00,5795.00,5833.00,5861.00,5882.00,5912.00,5940.00,5966.00,5989.00,6005.00,6018.00,6035.00,6064.00,6084.00,6095.00,11751.00
"Lee, James",91.00,234.00,394.00,557.00,714.00,880.00,1023.00,1140.00,1257.00,1321.00,1386.00,1443.00,1506.00,1556.00,1603.00,1654.00,1694.00,1725.00,1763.00,1784.00,1802.00,1828.00,1857.00,1884.00,1896.00,15950.00
"Leslie, Logan Edward",504.00,688.00,834.00,955.00,1072.00,1183.00,1281.00,1380.00,1450.00,1507.00,1547.00,1596.00,1647.00,1679.00,1718.00,1757.00,1804.00,1838.00,1876.00,1909.00,1940.00,1968.00,2002.00,2030.00,2058.00,15788.00
"Maher, David P.",1464.00,2646.00,3600.00,4349.00,4912.00,5406.00,5738.00,6003.00,6196.00,6296.00,6367.00,6412.00,6453.00,6481.00,6504.00,6539.00,6567.00,6594.00,6607.00,6626.00,6655.00,6668.00,6678.00,6692.00,6704.00,11142.00
"Mazen, Nadeem A.",985.00,1944.00,2720.00,3291.00,3727.00,4056.00,4322.00,4520.00,4687.00,4786.00,4855.00,4914.00,4946.00,4974.00,5008.00,5037.00,5065.00,5102.00,5126.00,5144.00,5161.00,5184.00,5195.00,5204.00,5223.00,12623.00
"McGovern, Marc C.",1187.00,2266.00,3275.00,4031.00,4629.00,5071.00,5410.00,5648.00,5822.00,5919.00,5984.00,6046.00,6085.00,6117.00,6156.00,6179.00,6205.00,6235.00,6275.00,6299.00,6317.00,6338.00,6358.00,6367.00,6377.00,11469.00
"Mello, Gary W.",107.00,202.00,321.00,457.00,566.00,674.00,760.00,837.00,903.00,981.00,1028.00,1092.00,1137.00,1178.00,1217.00,1253.00,1295.00,1344.00,1384.00,1426.00,1454.00,1479.00,1510.00,1541.00,1558.00,16288.00
"Mirza, Mushtaque A.",284.00,511.00,725.00,895.00,1068.00,1214.00,1352.00,1495.00,1620.00,1710.00,1788.00,1843.00,1902.00,1960.00,1995.00,2028.00,2062.00,2090.00,2132.00,2171.00,2206.00,2228.00,2249.00,2273.00,2292.00,15554.00
"Moree, Gregg J.",38.00,86.00,142.00,197.00,260.00,310.00,356.00,420.00,469.00,508.00,557.00,607.00,648.00,696.00,729.00,763.00,801.00,841.00,874.00,920.00,959.00,1010.00,1058.00,1079.00,1110.00,16736.00
"Peden, Ronald",49.00,112.00,199.00,283.00,371.00,462.00,539.00,607.00,662.00,704.00,756.00,803.00,850.00,892.00,938.00,988.00,1026.00,1066.00,1100.00,1142.00,1194.00,1236.00,1270.00,1307.00,1322.00,16524.00
"Phillips, Lesley Rebecca",82.00,208.00,413.00,582.00,735.00,905.00,1035.00,1152.00,1264.00,1349.00,1411.00,1469.00,1517.00,1566.00,1615.00,1653.00,1690.00,1726.00,1754.00,1783.00,1814.00,1839.00,1863.00,1891.00,1906.00,15940.00
"Reeves, Kenneth E.",934.00,1964.00,2887.00,3608.00,4172.00,4625.00,4969.00,5214.00,5400.00,5507.00,5554.00,5595.00,5624.00,5651.00,5681.00,5698.00,5730.00,5761.00,5777.00,5801.00,5815.00,5835.00,5856.00,5876.00,5910.00,11936.00
"Seidel, Sam",701.00,1503.00,2363.00,3196.00,3828.00,4310.00,4707.00,4991.00,5179.00,5289.00,5367.00,5418.00,5467.00,5509.00,5537.00,5578.00,5602.00,5625.00,5657.00,5678.00,5702.00,5714.00,5727.00,5747.00,5762.00,12084.00
"Simmons, E. Denise",1184.00,2531.00,3847.00,4880.00,5721.00,6332.00,6700.00,6977.00,7181.00,7276.00,7331.00,7367.00,7397.00,7410.00,7428.00,7446.00,7460.00,7474.00,7489.00,7512.00,7526.00,7539.00,7558.00,7578.00,7591.00,10255.00
"Smith, Jefferson R.",579.00,1084.00,1587.00,2098.00,2527.00,2832.00,3094.00,3288.00,3463.00,3578.00,3661.00,3705.00,3738.00,3783.00,3823.00,3852.00,3891.00,3915.00,3946.00,3971.00,3993.00,4018.00,4043.00,4059.00,4082.00,13764.00
"Toomey, Jr., Timothy J.",1457.00,2438.00,3231.00,3837.00,4336.00,4763.00,5116.00,5359.00,5547.00,5642.00,5694.00,5742.00,5770.00,5806.00,5827.00,5842.00,5872.00,5891.00,5912.00,5930.00,5957.00,5981.00,5994.00,6014.00,6025.00,11821.00
"Vasquez, Luis",264.00,599.00,929.00,1227.00,1499.00,1712.00,1905.00,2074.00,2237.00,2337.00,2418.00,2494.00,2534.00,2576.00,2629.00,2658.00,2690.00,2724.00,2751.00,2789.00,2815.00,2837.00,2860.00,2873.00,2883.00,14963.00
"Von Hoffmann, Kristen Lane",420.00,885.00,1309.00,1755.00,2174.00,2525.00,2805.00,3060.00,3244.00,3356.00,3446.00,3511.00,3574.00,3621.00,3662.00,3693.00,3723.00,3744.00,3774.00,3798.00,3819.00,3838.00,3859.00,3878.00,3889.00,13957.00
"Williamson, James M.",74.00,148.00,234.00,332.00,421.00,521.00,612.00,697.00,773.00,831.00,881.00,929.00,988.00,1032.00,1066.00,1112.00,1150.00,1177.00,1202.00,1227.00,1267.00,1305.00,1341.00,1387.00,1415.00,16431.00
"Yarden, Elie",102.00,203.00,332.00,452.00,576.00,695.00,795.00,907.00,1006.00,1068.00,1123.00,1174.00,1233.00,1288.00,1325.00,1368.00,1392.00,1416.00,1441.00,1475.00,1505.00,1540.00,1572.00,1601.00,1638.00,16208.00
"vanBeuzekom, Minka Y.",875.00,2017.00,3079.00,3951.00,4685.00,5247.00,5757.00,6051.00,6257.00,6354.00,6420.00,6467.00,6492.00,6509.00,6535.00,6556.00,6560.00,6583.00,6601.00,6616.00,6639.00,6659.00,6669.00,6678.00,6688.00,11158.00
writeIns,16.00,31.00,48.00,56.00,67.00,76.00,86.00,92.00,98.00,103.00,104.00,105.00,106.00,110.00,111.00,112.00,114.00,117.00,121.00,124.00,125.00,131.00,136.00,140.00,146.00,17700.00
