,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Did Not Rank
"Benzan, Dennis A.",1158.00,2358.00,3433.00,4295.00,5047.00,5680.00,6131.00,6467.00,6706.00,6799.00,6870.00,6906.00,6938.00,6961.00,6986.00,7012.00,7034.00,7053.00,7067.00,7084.00,7105.00,7121.00,7132.00,10827.00
"Carlone, Dennis J.",998.00,2173.00,3148.00,3904.00,4524.00,4984.00,5341.00,5677.00,5921.00,6018.00,6072.00,6127.00,6165.00,6192.00,6217.00,6253.00,6276.00,6298.00,6317.00,6339.00,6354.00,6371.00,6390.00,11569.00
"Cheung, Leland",1187.00,2595.00,4054.00,5197.00,6075.00,6703.00,7161.00,7444.00,7645.00,7741.00,7786.00,7816.00,7838.00,7860.00,7881.00,7901.00,7921.00,7938.00,7952.00,7960.00,7972.00,7984.00,7998.00,9961.00
"Connolly, Mike",841.00,1837.00,2832.00,3619.00,4139.00,4520.00,4800.00,5000.00,5168.00,5290.00,5360.00,5419.00,5454.00,5494.00,5525.00,5565.00,5607.00,5636.00,5658.00,5682.00,5702.00,5713.00,5728.00,12231.00
"Courtney, Kim",72.00,200.00,359.00,502.00,666.00,807.00,920.00,1032.00,1158.00,1240.00,1312.00,1365.00,1405.00,1443.00,1477.00,1518.00,1558.00,1592.00,1625.00,1648.00,1679.00,1703.00,1723.00,16236.00
"Davidson, Mariko",853.00,1764.00,2458.00,2978.00,3421.00,3868.00,4204.00,4497.00,4673.00,4772.00,4850.00,4899.00,4951.00,4983.00,5019.00,5046.00,5079.00,5104.00,5126.00,5157.00,5175.00,5214.00,5224.00,12735.00
"Degoes, Jr., Plinio T.",51.00,119.00,202.00,290.00,389.00,487.00,613.00,712.00,804.00,890.00,957.00,1028.00,1080.00,1124.00,1178.00,1212.00,1247.00,1290.00,1331.00,1369.00,1406.00,1433.00,1451.00,16508.00
"Devereux, Jan",1306.00,2154.00,3002.00,3705.00,4250.00,4606.00,4897.00,5097.00,5272.00,5368.00,5459.00,5523.00,5587.00,5631.00,5665.00,5698.00,5720.00,5745.00,5769.00,5798.00,5827.00,5850.00,5868.00,12091.00
"Dietrich, Xavier",26.00,91.00,179.00,262.00,353.00,442.00,522.00,616.00,690.00,744.00,798.00,855.00,902.00,955.00,1001.00,1048.00,1086.00,1121.00,1159.00,1201.00,1237.00,1263.00,1278.00,16681.00
"Kelley, Craig A.",1433.00,2303.00,3157.00,3936.00,4644.00,5256.00,5811.00,6156.00,6386.00,6512.00,6563.00,6600.00,6625.00,6655.00,6681.00,6701.00,6727.00,6756.00,6768.00,6784.00,6792.00,6806.00,6820.00,11139.00
"Levy, Ilan S.",153.00,323.00,472.00,629.00,802.00,975.00,1127.00,1257.00,1365.00,1439.00,1508.00,1558.00,1613.00,1665.00,1704.00,1741.00,1785.00,1819.00,1854.00,1879.00,1909.00,1943.00,1965.00,15994.00
"Maher, David P.",1637.00,2952.00,4065.00,4897.00,5582.00,6128.00,6538.00,6848.00,7055.00,7158.00,7205.00,7249.00,7278.00,7291.00,7316.00,7332.00,7349.00,7373.00,7395.00,7414.00,7429.00,7445.00,7454.00,10505.00
"Mahoney, Jr., Paul F.",251.00,513.00,743.00,909.00,1039.00,1167.00,1255.00,1352.00,1446.00,1533.00,1586.00,1637.00,1692.00,1758.00,1800.00,1842.00,1877.00,1914.00,1948.00,1976.00,2000.00,2024.00,2052.00,15907.00
"Mazen, Nadeem A.",1929.00,3417.00,4685.00,5903.00,6638.00,7110.00,7493.00,7791.00,8001.00,8112.00,8165.00,8193.00,8215.00,8234.00,8253.00,8263.00,8283.00,8298.00,8316.00,8327.00,8343.00,8361.00,8378.00,9581.00
"McGovern, Marc C.",1202.00,2614.00,3849.00,4808.00,5575.00,6238.00,6716.00,7018.00,7271.00,7371.00,7445.00,7480.00,7502.00,7526.00,7560.00,7589.00,7599.00,7620.00,7639.00,7656.00,7671.00,7690.00,7703.00,10256.00
"Mello, Gary W.",117.00,230.00,339.00,438.00,543.00,643.00,732.00,820.00,912.00,993.00,1061.00,1126.00,1173.00,1214.00,1262.00,1306.00,1344.00,1388.00,1424.00,1454.00,1482.00,1513.00,1531.00,16428.00
"Moree, Gregg J.",77.00,157.00,244.00,348.00,447.00,543.00,614.00,711.00,813.00,894.00,959.00,1030.00,1095.00,1149.00,1187.00,1231.00,1270.00,1304.00,1336.00,1375.00,1410.00,1448.00,1464.00,16495.00
"Sanzone, John",32.00,89.00,181.00,278.00,357.00,436.00,536.00,625.00,684.00,734.00,792.00,853.00,902.00,946.00,985.00,1015.00,1057.00,1086.00,1124.00,1157.00,1199.00,1226.00,1270.00,16689.00
"Simmons, E. Denise",1710.00,3337.00,4722.00,5860.00,6720.00,7354.00,7788.00,8120.00,8338.00,8414.00,8458.00,8499.00,8515.00,8528.00,8539.00,8550.00,8561.00,8575.00,8593.00,8610.00,8619.00,8629.00,8642.00,9317.00
"Toomey, Jr., Timothy J.",1415.00,2454.00,3191.00,3793.00,4281.00,4770.00,5217.00,5529.00,5769.00,5882.00,5958.00,6004.00,6036.00,6062.00,6079.00,6102.00,6127.00,6146.00,6168.00,6194.00,6212.00,6232.00,6248.00,11711.00
"Waite, Romaine",273.00,639.00,1286.00,1807.00,2565.00,2974.00,3255.00,3446.00,3596.00,3673.00,3743.00,3804.00,3860.00,3920.00,3952.00,3995.00,4019.00,4048.00,4084.00,4125.00,4155.00,4179.00,4193.00,13766.00
"Williamson, James M.",72.00,166.00,252.00,348.00,497.00,603.00,705.00,813.00,892.00,971.00,1045.00,1099.00,1145.00,1205.00,1258.00,1293.00,1332.00,1372.00,1414.00,1444.00,1484.00,1519.00,1554.00,16405.00
"vanBeuzekom, Minka Y.",1014.00,1834.00,2643.00,3302.00,3941.00,4537.00,4958.00,5263.00,5481.00,5636.00,5710.00,5771.00,5829.00,5862.00,5890.00,5910.00,5932.00,5954.00,5981.00,6008.00,6038.00,6052.00,6067.00,11892.00
writeIns,26.00,38.00,50.00,56.00,66.00,76.00,89.00,100.00,111.00,115.00,119.00,119.00,120.00,122.00,124.00,124.00,124.00,124.00,125.00,126.00,128.00,132.00,136.00,17823.00
