,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Did Not Rank
"Condit, James E., III",62.00,156.00,272.00,379.00,480.00,579.00,678.00,778.00,878.00,951.00,996.00,1051.00,1101.00,1153.00,1213.00,1272.00,1326.00,1368.00,1398.00,16290.00
"Davis, Henrietta",1697.00,3287.00,4806.00,6038.00,6900.00,7553.00,7939.00,8192.00,8305.00,8340.00,8367.00,8381.00,8400.00,8418.00,8440.00,8459.00,8485.00,8503.00,8519.00,9169.00
"Decker, Marjorie C.",1525.00,3156.00,4575.00,5734.00,6577.00,7151.00,7551.00,7766.00,7871.00,7932.00,7962.00,7985.00,8001.00,8028.00,8054.00,8070.00,8088.00,8116.00,8128.00,9560.00
"Dixon, Vincent Lawrence",87.00,201.00,373.00,537.00,692.00,811.00,933.00,1045.00,1136.00,1229.00,1298.00,1349.00,1393.00,1446.00,1498.00,1551.00,1584.00,1624.00,1662.00,16026.00
"Galluccio, Anthony D.",3212.00,5052.00,6542.00,7497.00,8120.00,8557.00,8887.00,9088.00,9205.00,9268.00,9311.00,9332.00,9359.00,9370.00,9386.00,9405.00,9428.00,9447.00,9460.00,8228.00
"Hall, Robert L.",149.00,294.00,462.00,643.00,858.00,1050.00,1195.00,1324.00,1444.00,1538.00,1612.00,1677.00,1738.00,1786.00,1829.00,1886.00,1924.00,1957.00,1981.00,15707.00
"Horowitz, Jacob",150.00,432.00,820.00,1238.00,1754.00,2273.00,2605.00,2824.00,2988.00,3103.00,3184.00,3270.00,3324.00,3362.00,3401.00,3438.00,3481.00,3521.00,3537.00,14151.00
"Iskovitz, Steve",340.00,547.00,722.00,902.00,1080.00,1250.00,1416.00,1560.00,1694.00,1796.00,1888.00,1954.00,2021.00,2089.00,2126.00,2175.00,2212.00,2242.00,2273.00,15415.00
"Jens, Steven E.",275.00,388.00,468.00,565.00,697.00,801.00,895.00,980.00,1058.00,1128.00,1199.00,1276.00,1354.00,1416.00,1473.00,1508.00,1561.00,1606.00,1630.00,16058.00
"King, Ethridge A.",370.00,1003.00,1789.00,2563.00,3329.00,3941.00,4312.00,4561.00,4740.00,4819.00,4878.00,4944.00,4992.00,5042.00,5092.00,5126.00,5143.00,5166.00,5187.00,12501.00
"Maher, David P.",1008.00,2311.00,3533.00,4539.00,5226.00,5727.00,6079.00,6316.00,6465.00,6552.00,6610.00,6650.00,6686.00,6717.00,6752.00,6783.00,6808.00,6826.00,6839.00,10849.00
"Murphy, Brian",1707.00,2895.00,3877.00,4747.00,5425.00,5922.00,6233.00,6419.00,6558.00,6634.00,6689.00,6730.00,6771.00,6813.00,6852.00,6884.00,6918.00,6938.00,6957.00,10731.00
"Peixoto, Helder",61.00,203.00,353.00,511.00,703.00,865.00,992.00,1096.00,1196.00,1262.00,1345.00,1414.00,1464.00,1515.00,1569.00,1624.00,1670.00,1713.00,1747.00,15941.00
"Pitkin, John",1084.00,1975.00,2699.00,3337.00,3991.00,4567.00,4892.00,5097.00,5226.00,5295.00,5352.00,5399.00,5451.00,5490.00,5523.00,5571.00,5610.00,5643.00,5665.00,12023.00
"Reeves, Kenneth E.",1133.00,2197.00,3076.00,3916.00,4695.00,5213.00,5618.00,5894.00,6063.00,6126.00,6170.00,6210.00,6237.00,6260.00,6281.00,6307.00,6335.00,6364.00,6402.00,11286.00
"Simmons, Denise",1327.00,2902.00,4327.00,5394.00,6183.00,6769.00,7099.00,7296.00,7428.00,7478.00,7523.00,7557.00,7584.00,7601.00,7618.00,7637.00,7652.00,7675.00,7701.00,9987.00
"Sullivan, Michael A.",1297.00,3102.00,4599.00,5432.00,5982.00,6414.00,6742.00,6932.00,7063.00,7142.00,7186.00,7224.00,7260.00,7287.00,7312.00,7331.00,7352.00,7372.00,7389.00,10299.00
"Toomey, Timothy J., Jr.",1387.00,2352.00,3386.00,4374.00,4944.00,5328.00,5617.00,5826.00,5956.00,6035.00,6080.00,6124.00,6156.00,6188.00,6212.00,6234.00,6259.00,6283.00,6292.00,11396.00
"Williamson, James M.",55.00,130.00,223.00,314.00,406.00,505.00,597.00,692.00,802.00,880.00,937.00,993.00,1049.00,1115.00,1167.00,1212.00,1269.00,1309.00,1345.00,16343.00
writeIns,30.00,37.00,56.00,75.00,87.00,105.00,117.00,121.00,123.00,129.00,130.00,133.00,134.00,138.00,142.00,142.00,144.00,146.00,148.00,17540.00
