,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Did Not Rank
"Davis, Henrietta",1591.00,3073.00,4367.00,5297.00,5953.00,6365.00,6641.00,6829.00,6914.00,6967.00,7021.00,7057.00,7082.00,7119.00,7147.00,7168.00,6553.00
"Decker, Marjorie C.",1068.00,2425.00,3662.00,4562.00,5215.00,5694.00,6004.00,6197.00,6319.00,6386.00,6440.00,6482.00,6517.00,6550.00,6585.00,6605.00,7116.00
"Galluccio, Anthony D.",521.00,1295.00,1984.00,2457.00,2819.00,3078.00,3262.00,3426.00,3527.00,3591.00,3622.00,3655.00,3701.00,3761.00,3798.00,3852.00,9869.00
"Janik, Jonathan S.",260.00,493.00,747.00,1013.00,1322.00,1568.00,1820.00,2025.00,2185.00,2297.00,2397.00,2485.00,2559.00,2635.00,2680.00,2720.00,11001.00
"Kelley, Craig A.",1118.00,1835.00,2497.00,3101.00,3607.00,4062.00,4412.00,4676.00,4871.00,4976.00,5041.00,5096.00,5148.00,5195.00,5235.00,5253.00,8468.00
"Maher, David P.",1310.00,2203.00,3006.00,3631.00,4150.00,4601.00,4934.00,5182.00,5378.00,5485.00,5557.00,5613.00,5672.00,5707.00,5740.00,5762.00,7959.00
"Moore, M. Kevin",250.00,605.00,975.00,1278.00,1548.00,1788.00,1994.00,2172.00,2318.00,2430.00,2542.00,2632.00,2701.00,2754.00,2793.00,2819.00,10902.00
"Moree, Gregg J.",111.00,228.00,354.00,500.00,640.00,771.00,901.00,1004.00,1086.00,1180.00,1275.00,1375.00,1463.00,1541.00,1628.00,1690.00,12031.00
"Murphy, Brian",1159.00,2209.00,3136.00,3933.00,4561.00,5038.00,5408.00,5691.00,5865.00,5937.00,6003.00,6060.00,6113.00,6157.00,6179.00,6196.00,7525.00
"Podgers, Kathy",92.00,205.00,363.00,540.00,680.00,848.00,1000.00,1128.00,1251.00,1356.00,1446.00,1536.00,1638.00,1711.00,1791.00,1830.00,11891.00
"Reeves, Kenneth E.",1216.00,2005.00,2717.00,3310.00,3749.00,4067.00,4291.00,4470.00,4638.00,4726.00,4776.00,4818.00,4863.00,4907.00,4952.00,5012.00,8709.00
"Seidel, Sam",1037.00,1980.00,2750.00,3403.00,3925.00,4317.00,4567.00,4759.00,4910.00,4989.00,5046.00,5118.00,5167.00,5228.00,5289.00,5331.00,8390.00
"Simmons, E. Denise",994.00,2290.00,3498.00,4486.00,5217.00,5698.00,6051.00,6288.00,6440.00,6516.00,6548.00,6583.00,6608.00,6636.00,6671.00,6692.00,7029.00
"Sullivan, Edward J.",829.00,1648.00,2290.00,2665.00,2961.00,3153.00,3327.00,3488.00,3635.00,3717.00,3804.00,3885.00,3953.00,4017.00,4070.00,4102.00,9619.00
"Toomey, Timothy J., Jr.",1336.00,2289.00,3095.00,3657.00,4091.00,4452.00,4730.00,4964.00,5126.00,5239.00,5322.00,5369.00,5404.00,5441.00,5476.00,5503.00,8218.00
"Ward, Larry W.",698.00,1340.00,1981.00,2493.00,2942.00,3313.00,3617.00,3832.00,3991.00,4094.00,4167.00,4227.00,4290.00,4338.00,4382.00,4420.00,9301.00
writeIns,25.00,34.00,47.00,55.00,65.00,73.00,75.00,84.00,87.00,90.00,93.00,95.00,96.00,98.00,101.00,105.00,13616.00
