,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Did Not Rank
"Benzan, Dennis A.",1300.00,2206.00,3030.00,3566.00,3963.00,4327.00,4592.00,4814.00,4999.00,5110.00,5183.00,5239.00,5282.00,5318.00,5365.00,5397.00,5434.00,5465.00,5482.00,5505.00,5522.00,5539.00,5558.00,5574.00,5590.00,12256.00
"Carlone, Dennis J.",1151.00,1967.00,2644.00,3080.00,3435.00,3682.00,3869.00,4039.00,4167.00,4262.00,4319.00,4357.00,4404.00,4450.00,4481.00,4514.00,4546.00,4576.00,4606.00,4633.00,4658.00,4678.00,4698.00,4721.00,4737.00,13109.00
"Cheung, Leland",2391.00,4406.00,6080.00,7192.00,7997.00,8539.00,8905.00,9134.00,9294.00,9352.00,9394.00,9424.00,9443.00,9458.00,9473.00,9491.00,9503.00,9507.00,9522.00,9533.00,9547.00,9564.00,9574.00,9581.00,9593.00,8253.00
"House, Janneke Ann",409.00,1027.00,1623.00,2101.00,2511.00,2843.00,3127.00,3362.00,3543.00,3626.00,3702.00,3772.00,3821.00,3862.00,3898.00,3933.00,3958.00,3985.00,4005.00,4018.00,4038.00,4066.00,4087.00,4110.00,4128.00,13718.00
"Kelley, Craig A.",1093.00,2009.00,2860.00,3596.00,4228.00,4697.00,5084.00,5373.00,5622.00,5699.00,5745.00,5784.00,5821.00,5848.00,5868.00,5898.00,5926.00,5952.00,5975.00,5991.00,6003.00,6020.00,6049.00,6069.00,6080.00,11766.00
"Lee, James",91.00,234.00,393.00,556.00,713.00,879.00,1020.00,1137.00,1254.00,1318.00,1383.00,1439.00,1501.00,1551.00,1597.00,1647.00,1687.00,1718.00,1756.00,1777.00,1795.00,1821.00,1850.00,1877.00,1889.00,15957.00
"Leslie, Logan Edward",504.00,687.00,833.00,954.00,1071.00,1181.00,1279.00,1378.00,1448.00,1504.00,1544.00,1593.00,1643.00,1675.00,1714.00,1753.00,1800.00,1833.00,1870.00,1903.00,1934.00,1962.00,1996.00,2024.00,2052.00,15794.00
"Maher, David P.",1463.00,2644.00,3597.00,4346.00,4908.00,5401.00,5733.00,5997.00,6190.00,6289.00,6359.00,6404.00,6445.00,6473.00,6496.00,6530.00,6558.00,6585.00,6598.00,6616.00,6643.00,6656.00,6666.00,6680.00,6692.00,11154.00
"Mazen, Nadeem A.",985.00,1944.00,2719.00,3290.00,3726.00,4055.00,4320.00,4518.00,4685.00,4784.00,4853.00,4912.00,4944.00,4971.00,5004.00,5033.00,5060.00,5097.00,5121.00,5139.00,5156.00,5179.00,5189.00,5198.00,5217.00,12629.00
"McGovern, Marc C.",1187.00,2266.00,3274.00,4029.00,4627.00,5069.00,5408.00,5646.00,5820.00,5917.00,5982.00,6043.00,6081.00,6113.00,6152.00,6175.00,6200.00,6230.00,6270.00,6293.00,6311.00,6332.00,6351.00,6360.00,6370.00,11476.00
"Mello, Gary W.",107.00,202.00,320.00,456.00,564.00,671.00,757.00,834.00,900.00,977.00,1024.00,1088.00,1132.00,1172.00,1211.00,1247.00,1289.00,1338.00,1377.00,1418.00,1446.00,1470.00,1501.00,1532.00,1549.00,16297.00
"Mirza, Mushtaque A.",283.00,510.00,724.00,894.00,1067.00,1213.00,1351.00,1494.00,1619.00,1708.00,1786.00,1841.00,1899.00,1957.00,1991.00,2023.00,2056.00,2083.00,2125.00,2164.00,2198.00,2220.00,2241.00,2265.00,2284.00,15562.00
"Moree, Gregg J.",37.00,84.00,140.00,195.00,258.00,308.00,354.00,418.00,467.00,506.00,555.00,605.00,646.00,694.00,726.00,758.00,796.00,836.00,868.00,913.00,952.00,1003.00,1051.00,1072.00,1103.00,16743.00
"Peden, Ronald",49.00,111.00,198.00,281.00,368.00,457.00,534.00,602.00,657.00,699.00,750.00,797.00,844.00,885.00,930.00,980.00,1018.00,1058.00,1090.00,1131.00,1182.00,1224.00,1258.00,1295.00,1310.00,16536.00
"Phillips, Lesley Rebecca",82.00,208.00,413.00,582.00,735.00,904.00,1034.00,1151.00,1263.00,1348.00,1409.00,1467.00,1515.00,1564.00,1613.00,1651.00,1688.00,1721.00,1749.00,1778.00,1808.00,1833.00,1857.00,1885.00,1900.00,15946.00
"Reeves, Kenneth E.",933.00,1961.00,2884.00,3604.00,4168.00,4621.00,4965.00,5210.00,5396.00,5502.00,5549.00,5588.00,5617.00,5644.00,5674.00,5691.00,5721.00,5752.00,5767.00,5790.00,5804.00,5824.00,5845.00,5865.00,5899.00,11947.00
"Seidel, Sam",701.00,1503.00,2361.00,3194.00,3826.00,4307.00,4701.00,4985.00,5173.00,5283.00,5361.00,5412.00,5460.00,5502.00,5530.00,5570.00,5594.00,5617.00,5649.00,5670.00,5694.00,5706.00,5719.00,5739.00,5754.00,12092.00
"Simmons, E. Denise",1183.00,2528.00,3844.00,4877.00,5717.00,6327.00,6695.00,6972.00,7176.00,7270.00,7325.00,7361.00,7391.00,7404.00,7421.00,7439.00,7453.00,7466.00,7481.00,7504.00,7518.00,7531.00,7550.00,7569.00,7582.00,10264.00
"Smith, Jefferson R.",579.00,1083.00,1586.00,2097.00,2526.00,2831.00,3093.00,3287.00,3461.00,3576.00,3659.00,3703.00,3736.00,3780.00,3820.00,3848.00,3886.00,3910.00,3940.00,3965.00,3987.00,4010.00,4035.00,4051.00,4074.00,13772.00
"Toomey, Jr., Timothy J.",1456.00,2437.00,3230.00,3835.00,4334.00,4760.00,5112.00,5352.00,5540.00,5635.00,5687.00,5735.00,5762.00,5798.00,5819.00,5834.00,5863.00,5882.00,5903.00,5921.00,5948.00,5971.00,5983.00,6003.00,6014.00,11832.00
"Vasquez, Luis",263.00,598.00,926.00,1223.00,1495.00,1708.00,1901.00,2070.00,2233.00,2333.00,2414.00,2488.00,2527.00,2569.00,2622.00,2651.00,2683.00,2717.00,2744.00,2782.00,2808.00,2830.00,2853.00,2866.00,2876.00,14970.00
"Von Hoffmann, Kristen Lane",420.00,885.00,1308.00,1754.00,2170.00,2520.00,2800.00,3055.00,3239.00,3351.00,3440.00,3505.00,3568.00,3615.00,3656.00,3687.00,3716.00,3737.00,3766.00,3790.00,3811.00,3830.00,3851.00,3870.00,3881.00,13965.00
"Williamson, James M.",74.00,146.00,232.00,329.00,418.00,517.00,607.00,692.00,768.00,825.00,875.00,923.00,981.00,1025.00,1059.00,1105.00,1143.00,1170.00,1195.00,1220.00,1260.00,1297.00,1333.00,1379.00,1407.00,16439.00
"Yarden, Elie",102.00,203.00,332.00,452.00,575.00,693.00,792.00,904.00,1002.00,1064.00,1118.00,1169.00,1228.00,1282.00,1319.00,1362.00,1386.00,1410.00,1435.00,1468.00,1498.00,1533.00,1565.00,1594.00,1631.00,16215.00
"vanBeuzekom, Minka Y.",872.00,2014.00,3076.00,3948.00,4681.00,5241.00,5751.00,6045.00,6251.00,6348.00,6414.00,6461.00,6486.00,6503.00,6528.00,6549.00,6553.00,6575.00,6593.00,6608.00,6630.00,6650.00,6660.00,6669.00,6679.00,11167.00
writeIns,15.00,30.00,47.00,55.00,66.00,75.00,84.00,89.00,95.00,100.00,101.00,101.00,102.00,105.00,106.00,107.00,109.00,112.00,116.00,119.00,120.00,126.00,131.00,134.00,140.00,17706.00
