,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Did Not Rank
"Cheung, Leland",2016.00,4112.00,5719.00,6811.00,7540.00,8015.00,8325.00,8496.00,8616.00,8673.00,8710.00,8740.00,8760.00,8778.00,8810.00,8840.00,8854.00,8865.00,7106.00
"Davis, Henrietta",1435.00,2918.00,4308.00,5377.00,6153.00,6740.00,7071.00,7272.00,7408.00,7454.00,7494.00,7527.00,7559.00,7583.00,7611.00,7642.00,7658.00,7673.00,8298.00
"Decker, Marjorie C.",1122.00,2324.00,3571.00,4543.00,5201.00,5659.00,5998.00,6227.00,6351.00,6419.00,6465.00,6499.00,6545.00,6571.00,6595.00,6619.00,6661.00,6695.00,9276.00
"Kelley, Craig A.",1097.00,1984.00,2747.00,3297.00,3805.00,4217.00,4545.00,4864.00,5065.00,5158.00,5215.00,5271.00,5317.00,5353.00,5391.00,5436.00,5473.00,5500.00,10471.00
"Maher, David P.",1685.00,2913.00,3877.00,4605.00,5246.00,5794.00,6182.00,6437.00,6667.00,6774.00,6826.00,6868.00,6896.00,6933.00,6963.00,6987.00,7017.00,7039.00,8932.00
"Marquardt, Charles J.",499.00,879.00,1199.00,1467.00,1732.00,1922.00,2086.00,2268.00,2392.00,2509.00,2605.00,2686.00,2737.00,2797.00,2854.00,2905.00,2937.00,2972.00,12999.00
"Mello, Gary W.",135.00,292.00,459.00,632.00,778.00,925.00,1063.00,1203.00,1326.00,1404.00,1495.00,1584.00,1647.00,1719.00,1800.00,1859.00,1910.00,1933.00,14038.00
"Moree, Gregg J.",56.00,142.00,256.00,357.00,448.00,555.00,661.00,757.00,851.00,942.00,1007.00,1080.00,1179.00,1249.00,1317.00,1394.00,1445.00,1490.00,14481.00
"Nelson, Matthew P.",542.00,881.00,1231.00,1570.00,1877.00,2117.00,2309.00,2495.00,2638.00,2748.00,2840.00,2916.00,2987.00,3070.00,3123.00,3174.00,3218.00,3236.00,12735.00
"Pascual, Jamake",63.00,143.00,252.00,368.00,516.00,632.00,755.00,860.00,955.00,1027.00,1107.00,1175.00,1244.00,1304.00,1378.00,1426.00,1481.00,1553.00,14418.00
"Reeves, Kenneth E.",1011.00,2028.00,2991.00,3753.00,4354.00,4846.00,5236.00,5497.00,5706.00,5802.00,5862.00,5909.00,5957.00,5994.00,6017.00,6046.00,6077.00,6103.00,9868.00
"Seidel, Sam",788.00,1643.00,2564.00,3376.00,4054.00,4641.00,5064.00,5393.00,5618.00,5712.00,5782.00,5835.00,5876.00,5919.00,5938.00,5971.00,5999.00,6014.00,9957.00
"Simmons, E. Denise",1262.00,2651.00,3870.00,4830.00,5618.00,6159.00,6553.00,6820.00,6983.00,7060.00,7101.00,7136.00,7171.00,7199.00,7226.00,7250.00,7275.00,7293.00,8678.00
"Stohlman, Jr., Thomas J.",344.00,695.00,1082.00,1427.00,1699.00,1941.00,2164.00,2329.00,2481.00,2591.00,2668.00,2735.00,2794.00,2856.00,2917.00,2964.00,3011.00,3055.00,12916.00
"Toomey, Jr., Timothy J.",1701.00,2664.00,3435.00,4018.00,4482.00,4842.00,5172.00,5453.00,5684.00,5805.00,5885.00,5930.00,5960.00,5995.00,6043.00,6074.00,6105.00,6138.00,9833.00
"Ward, Larry W.",835.00,1590.00,2308.00,2854.00,3280.00,3625.00,3921.00,4142.00,4341.00,4469.00,4585.00,4643.00,4711.00,4749.00,4784.00,4816.00,4864.00,4885.00,11086.00
"Williamson, James M.",175.00,318.00,471.00,611.00,756.00,874.00,982.00,1105.00,1209.00,1307.00,1371.00,1445.00,1512.00,1587.00,1643.00,1707.00,1780.00,1842.00,14129.00
"vanBeuzekom, Minka Y.",1038.00,1946.00,2678.00,3264.00,3733.00,4100.00,4360.00,4592.00,4762.00,4874.00,4948.00,5019.00,5067.00,5108.00,5150.00,5198.00,5229.00,5263.00,10708.00
writeIns,24.00,44.00,60.00,75.00,83.00,87.00,96.00,103.00,108.00,113.00,115.00,118.00,119.00,120.00,122.00,122.00,123.00,124.00,15847.00
