,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Did Not Rank
"Adkins, Lawrence J.",242.00,498.00,756.00,998.00,1157.00,1321.00,1480.00,1618.00,1734.00,1831.00,1921.00,1988.00,2053.00,2123.00,2174.00,2233.00,2278.00,2304.00,13898.00
"Condit, James E., III",41.00,131.00,241.00,362.00,453.00,557.00,675.00,780.00,873.00,949.00,1033.00,1118.00,1181.00,1234.00,1304.00,1362.00,1432.00,1481.00,14721.00
"Davis, Henrietta",1457.00,2896.00,4323.00,5431.00,6218.00,6823.00,7181.00,7418.00,7571.00,7634.00,7673.00,7703.00,7731.00,7757.00,7780.00,7812.00,7836.00,7856.00,8346.00
"Decker, Marjorie C.",1524.00,3151.00,4596.00,5741.00,6589.00,7081.00,7401.00,7626.00,7785.00,7848.00,7881.00,7915.00,7947.00,7972.00,8001.00,8027.00,8060.00,8088.00,8114.00
"Galluccio, Anthony D.",1997.00,3593.00,4945.00,5860.00,6489.00,6929.00,7290.00,7544.00,7717.00,7816.00,7868.00,7904.00,7927.00,7944.00,7964.00,7984.00,8017.00,8052.00,8150.00
"Gordon, Jesse A.",625.00,1123.00,1625.00,2060.00,2463.00,2769.00,3024.00,3202.00,3312.00,3421.00,3517.00,3596.00,3667.00,3716.00,3759.00,3811.00,3842.00,3870.00,12332.00
"Green, Andre Lerone",181.00,361.00,552.00,727.00,939.00,1096.00,1226.00,1330.00,1431.00,1519.00,1602.00,1683.00,1769.00,1845.00,1905.00,1953.00,2001.00,2023.00,14179.00
"Hall, Robert Lee, Sr.",74.00,182.00,324.00,462.00,597.00,754.00,894.00,989.00,1098.00,1197.00,1281.00,1365.00,1436.00,1529.00,1597.00,1660.00,1703.00,1730.00,14472.00
"Hees, Bill",197.00,362.00,514.00,647.00,777.00,911.00,1057.00,1170.00,1279.00,1345.00,1430.00,1504.00,1598.00,1665.00,1750.00,1814.00,1845.00,1876.00,14326.00
"Kelley, Craig A.",1041.00,1790.00,2309.00,2743.00,3106.00,3437.00,3684.00,3893.00,4044.00,4125.00,4203.00,4281.00,4334.00,4406.00,4458.00,4512.00,4556.00,4581.00,11621.00
"LaTremouille, Robert J.",118.00,234.00,386.00,541.00,694.00,859.00,982.00,1105.00,1220.00,1298.00,1374.00,1450.00,1522.00,1575.00,1646.00,1699.00,1770.00,1829.00,14373.00
"Maher, David P.",900.00,1827.00,2815.00,3673.00,4337.00,4849.00,5272.00,5587.00,5824.00,5939.00,5999.00,6061.00,6110.00,6150.00,6180.00,6215.00,6242.00,6263.00,9939.00
"Murphy, Brian",1236.00,2238.00,3220.00,4091.00,4856.00,5388.00,5826.00,6141.00,6328.00,6411.00,6469.00,6513.00,6552.00,6583.00,6626.00,6655.00,6683.00,6698.00,9504.00
"Reeves, Kenneth E.",1205.00,2284.00,3255.00,4087.00,4798.00,5318.00,5675.00,5935.00,6131.00,6220.00,6270.00,6313.00,6341.00,6377.00,6412.00,6450.00,6469.00,6509.00,9693.00
"Seidel, Sam",973.00,1858.00,2519.00,3075.00,3458.00,3782.00,4025.00,4217.00,4323.00,4423.00,4486.00,4548.00,4605.00,4648.00,4689.00,4734.00,4782.00,4845.00,11357.00
"Simmons, Denise",1327.00,2783.00,4118.00,5111.00,5890.00,6420.00,6849.00,7139.00,7316.00,7389.00,7425.00,7449.00,7483.00,7521.00,7544.00,7573.00,7605.00,7625.00,8577.00
"Sullivan, Michael A.",1462.00,3220.00,4669.00,5527.00,6198.00,6701.00,7012.00,7289.00,7516.00,7587.00,7625.00,7662.00,7693.00,7725.00,7752.00,7779.00,7808.00,7828.00,8374.00
"Toomey, Timothy J., Jr.",1431.00,2326.00,3159.00,3922.00,4399.00,4793.00,5090.00,5331.00,5528.00,5621.00,5701.00,5738.00,5769.00,5803.00,5841.00,5871.00,5899.00,5937.00,10265.00
writeIns,15.00,30.00,48.00,55.00,66.00,81.00,87.00,94.00,99.00,105.00,106.00,106.00,107.00,109.00,109.00,110.00,112.00,114.00,16088.00
