,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Did Not Rank
"Bellew, Carole K.",729.00,1482.00,2219.00,2854.00,3481.00,3960.00,4300.00,4554.00,4705.00,4834.00,4917.00,4991.00,5064.00,5117.00,5176.00,5214.00,5262.00,5301.00,5331.00,5354.00,15604.00
"Davis, Henrietta",1831.00,3638.00,5137.00,6276.00,7111.00,7744.00,8190.00,8479.00,8653.00,8723.00,8776.00,8815.00,8848.00,8878.00,8916.00,8937.00,8967.00,8990.00,9018.00,9037.00,11921.00
"DeBergalis, Matt S.",1203.00,1596.00,1924.00,2250.00,2614.00,2929.00,3211.00,3423.00,3598.00,3713.00,3804.00,3889.00,3955.00,4026.00,4085.00,4139.00,4175.00,4218.00,4267.00,4299.00,16659.00
"Decker, Marjorie C.",1367.00,2941.00,4503.00,5705.00,6576.00,7202.00,7628.00,7947.00,8155.00,8232.00,8275.00,8324.00,8369.00,8412.00,8447.00,8475.00,8504.00,8532.00,8561.00,8576.00,12382.00
"Dixon, Vincent Lawrence",64.00,158.00,319.00,482.00,659.00,824.00,965.00,1118.00,1236.00,1322.00,1403.00,1478.00,1558.00,1648.00,1719.00,1788.00,1857.00,1910.00,1959.00,1995.00,18963.00
"Galluccio, Anthony D.",2977.00,5147.00,6858.00,7998.00,8700.00,9138.00,9455.00,9675.00,9870.00,9976.00,10028.00,10080.00,10120.00,10147.00,10190.00,10216.00,10244.00,10274.00,10303.00,10329.00,10629.00
"Greenwood, Dan J.",39.00,119.00,216.00,311.00,412.00,521.00,629.00,759.00,873.00,976.00,1058.00,1150.00,1226.00,1301.00,1378.00,1468.00,1536.00,1607.00,1645.00,1668.00,19290.00
"Hall, Robert L., Sr.",93.00,210.00,372.00,545.00,732.00,913.00,1084.00,1244.00,1384.00,1507.00,1619.00,1706.00,1789.00,1869.00,1931.00,2010.00,2076.00,2118.00,2166.00,2194.00,18764.00
"Kelley, Craig A.",983.00,1569.00,2053.00,2484.00,2843.00,3160.00,3425.00,3609.00,3783.00,3908.00,4008.00,4095.00,4173.00,4238.00,4303.00,4354.00,4418.00,4474.00,4518.00,4543.00,16415.00
"King, Ethridge A., Jr.",353.00,731.00,1205.00,1638.00,2158.00,2627.00,2992.00,3276.00,3462.00,3618.00,3725.00,3811.00,3886.00,3958.00,4014.00,4068.00,4108.00,4161.00,4203.00,4229.00,16729.00
"LaTremouille, Robert J.",122.00,248.00,398.00,540.00,696.00,829.00,939.00,1074.00,1204.00,1307.00,1407.00,1484.00,1556.00,1633.00,1701.00,1771.00,1848.00,1919.00,1995.00,2038.00,18920.00
"Maher, David P.",1177.00,2673.00,4091.00,5187.00,5837.00,6356.00,6759.00,7036.00,7248.00,7379.00,7467.00,7523.00,7594.00,7641.00,7689.00,7728.00,7766.00,7804.00,7827.00,7846.00,13112.00
"Murphy, Brian",1356.00,2711.00,3829.00,4799.00,5682.00,6249.00,6738.00,7082.00,7299.00,7405.00,7464.00,7532.00,7585.00,7640.00,7684.00,7712.00,7740.00,7778.00,7800.00,7815.00,13143.00
"Pitkin, John",1005.00,1780.00,2326.00,2799.00,3220.00,3607.00,3860.00,4080.00,4269.00,4381.00,4472.00,4562.00,4629.00,4690.00,4767.00,4835.00,4884.00,4913.00,4959.00,4993.00,15965.00
"Reeves, Kenneth E.",1509.00,2665.00,3672.00,4579.00,5369.00,5960.00,6370.00,6637.00,6840.00,6937.00,7011.00,7064.00,7109.00,7146.00,7182.00,7223.00,7259.00,7298.00,7337.00,7381.00,13577.00
"Simmons, Denise",1165.00,2695.00,3986.00,5060.00,5955.00,6607.00,7051.00,7349.00,7583.00,7685.00,7746.00,7790.00,7818.00,7855.00,7882.00,7915.00,7958.00,7994.00,8012.00,8035.00,12923.00
"Smith, Aimee Louise",477.00,918.00,1278.00,1552.00,1820.00,2031.00,2225.00,2395.00,2524.00,2630.00,2736.00,2800.00,2862.00,2905.00,2961.00,3024.00,3075.00,3131.00,3178.00,3241.00,17717.00
"Sullivan, Michael A.",1634.00,3577.00,5453.00,6456.00,7119.00,7588.00,7919.00,8196.00,8390.00,8509.00,8586.00,8649.00,8682.00,8717.00,8741.00,8775.00,8809.00,8835.00,8867.00,8893.00,12065.00
"Taymorberry, Laurie",176.00,490.00,915.00,1344.00,1736.00,2104.00,2438.00,2681.00,2893.00,3024.00,3136.00,3209.00,3272.00,3337.00,3383.00,3435.00,3480.00,3538.00,3592.00,3619.00,17339.00
"Toomey, Timothy J., Jr.",1599.00,2745.00,3869.00,5131.00,5758.00,6216.00,6581.00,6879.00,7097.00,7217.00,7315.00,7367.00,7413.00,7442.00,7476.00,7502.00,7535.00,7569.00,7607.00,7638.00,13320.00
writeIns,37.00,68.00,87.00,105.00,126.00,144.00,151.00,157.00,165.00,170.00,174.00,177.00,179.00,181.00,184.00,189.00,189.00,191.00,195.00,199.00,20759.00
