,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Did Not Rank
"Adkins, Lawrence J.",0.64,1.42,2.43,3.50,4.40,5.12,5.73,6.42,7.11,7.57,8.06,8.54,8.85,9.23,9.58,9.90,10.18,10.44,10.69,10.83,89.17
"Cheung, Leland",4.70,8.82,12.89,16.34,19.02,21.08,22.60,23.95,24.92,25.60,26.05,26.35,26.75,26.99,27.19,27.33,27.52,27.66,27.79,27.92,72.08
"Davis, Henrietta",11.55,22.40,31.18,38.33,42.80,45.66,47.41,48.40,49.11,49.44,49.65,49.83,49.96,50.15,50.26,50.38,50.51,50.66,50.77,50.88,49.12
"Decker, Marjorie C.",7.99,11.72,14.02,15.68,16.83,17.69,18.25,18.73,19.04,19.22,19.33,19.38,19.40,19.42,19.42,19.43,19.44,19.45,19.47,19.50,80.50
"Flanagan, Mark F.",0.69,1.50,2.59,3.73,4.75,5.49,6.27,6.80,7.45,7.91,8.36,8.80,9.16,9.58,9.97,10.18,10.40,10.66,10.89,11.05,88.95
"Glick, Silvia P.",1.59,3.62,5.71,7.59,9.34,10.87,11.94,13.10,13.92,14.46,14.93,15.35,15.69,16.01,16.26,16.53,16.75,16.92,17.09,17.26,82.74
"Kelley, Craig A.",7.77,13.31,18.27,22.42,25.77,28.49,30.56,32.09,32.99,33.44,33.77,34.04,34.30,34.52,34.75,34.93,35.11,35.23,35.40,35.50,64.50
"Leavitt, Neal W.",0.85,1.92,3.08,4.34,5.64,6.83,8.05,8.87,9.66,10.18,10.62,11.07,11.46,11.77,12.12,12.41,12.68,12.92,13.10,13.27,86.73
"Maher, David P.",7.99,14.96,20.69,25.30,29.35,32.59,35.03,36.79,37.88,38.34,38.62,38.85,39.06,39.26,39.48,39.68,39.84,39.96,40.09,40.15,59.85
"Marquardt, Charles J.",2.40,4.36,6.23,7.56,8.74,9.69,10.73,11.47,12.25,12.70,13.13,13.58,13.93,14.22,14.56,14.91,15.19,15.44,15.61,15.72,84.28
"Moree, Gregg J.",0.29,0.75,1.36,1.87,2.37,2.86,3.39,4.03,4.40,4.84,5.23,5.58,5.91,6.17,6.42,6.77,7.12,7.45,7.73,7.96,92.04
"Podgers, Kathy",0.49,1.23,2.17,3.22,4.16,5.08,5.75,6.37,7.06,7.56,8.00,8.37,8.66,8.93,9.22,9.46,9.76,10.04,10.32,10.48,89.52
"Reeves, Kenneth E.",7.25,14.83,20.96,24.83,28.22,30.38,31.86,32.96,33.70,34.10,34.36,34.57,34.69,34.85,34.96,35.08,35.20,35.39,35.56,35.82,64.18
"Seidel, Sam",5.59,12.79,19.93,25.42,29.56,32.67,34.83,36.46,37.32,37.71,37.98,38.16,38.34,38.45,38.65,38.84,38.98,39.10,39.30,39.37,60.63
"Simmons, E. Denise",11.08,21.83,31.17,37.34,41.70,44.50,46.27,47.44,48.12,48.40,48.58,48.65,48.72,48.82,48.90,49.02,49.17,49.33,49.44,49.60,50.40
"Stohlman, Jr., Thomas J.",2.35,4.72,7.02,8.89,10.45,12.08,13.40,14.45,15.32,15.90,16.31,16.69,17.05,17.30,17.59,17.83,18.06,18.34,18.53,18.65,81.35
"Sullivan, Edward J.",5.49,11.45,15.57,18.00,19.78,20.95,21.89,22.52,23.19,23.69,24.16,24.48,24.77,25.09,25.27,25.45,25.60,25.83,26.01,26.13,73.87
"Toomey, Jr., Timothy J.",10.86,17.68,23.72,27.69,30.56,32.93,35.07,36.84,37.76,38.33,38.57,38.84,39.00,39.15,39.33,39.45,39.60,39.70,39.81,39.92,60.08
"Ward, Larry W.",4.57,9.49,15.06,19.49,23.50,26.45,28.83,30.64,32.14,32.73,33.12,33.36,33.52,33.70,33.83,33.98,34.17,34.31,34.41,34.49,65.51
"Williamson, James M.",0.55,1.19,1.79,2.53,3.09,3.74,4.38,5.00,5.64,6.03,6.48,6.88,7.27,7.62,7.88,8.18,8.46,8.82,9.05,9.25,90.75
"vanBeuzekom, Minka Y.",4.24,8.10,11.74,14.64,16.99,18.83,20.26,21.30,22.18,22.63,22.95,23.27,23.58,23.77,24.01,24.30,24.52,24.69,24.95,25.15,74.85
writeIns,0.21,0.31,0.44,0.50,0.55,0.62,0.66,0.72,0.73,0.74,0.76,0.77,0.79,0.80,0.80,0.80,0.80,0.81,0.85,0.90,99.10
