,Al Flowers,Aswar Rahman,Betsy Hodges,Captain Jack Sparrow,Charlie Gers,Christopher Zimmerman,David John Wilson,David Rosenfeld,Gregg A. Iverson,Ian Simpson,Jacob Frey,L.A. Nik,Nekima Levy-Pounds,Raymond Dehn,Ronald Lischeid,Theron Preston Washington,Tom Hoch,Troy Benjegerdes,writeIns
first_choice,0.68,0.72,18.10,0.42,1.18,0.00,0.21,0.46,0.32,0.11,24.99,0.59,15.04,17.32,0.31,0.00,19.25,0.18,0.13
Al Flowers,,8.93,2.04,6.29,1.10,0.00,3.85,2.22,5.10,2.13,1.09,2.59,4.90,1.45,0.41,0.00,2.02,4.23,3.92
Aswar Rahman,6.69,,2.23,3.14,2.87,0.00,4.49,4.94,3.14,6.38,1.62,2.12,3.04,1.43,4.15,0.00,2.23,3.52,0.00
Betsy Hodges,19.72,12.40,,8.29,5.75,0.00,5.77,13.33,26.27,6.38,19.41,3.77,24.85,23.92,6.22,0.00,13.81,5.63,11.76
Captain Jack Sparrow,3.35,2.81,0.81,,6.52,0.00,14.10,7.41,5.49,10.64,0.89,7.31,0.87,0.75,5.39,0.00,1.70,8.45,9.80
Charlie Gers,1.23,2.48,0.48,5.43,,0.00,5.13,1.98,2.75,11.70,0.82,25.00,0.25,0.23,14.11,0.00,1.92,3.52,9.80
Christopher Zimmerman,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David John Wilson,1.06,1.32,0.29,8.86,4.09,0.00,,2.72,0.78,3.19,0.32,3.30,0.28,0.22,4.15,0.00,0.57,3.52,7.84
David Rosenfeld,1.76,1.82,0.72,7.43,1.55,0.00,4.49,,3.92,0.00,0.42,1.65,1.22,1.30,3.32,0.00,0.53,2.11,5.88
Gregg A. Iverson,2.11,1.82,1.61,1.14,1.22,0.00,3.21,0.99,,1.06,1.35,2.83,0.53,0.23,2.90,0.00,1.10,1.41,3.92
Ian Simpson,0.88,0.50,0.18,5.43,4.42,0.00,5.13,2.47,1.57,,0.11,3.30,0.10,0.06,3.73,0.00,0.24,4.23,0.00
Jacob Frey,9.33,17.36,24.45,11.43,11.27,0.00,16.03,7.41,18.04,9.57,,12.50,17.02,15.66,9.54,0.00,48.51,18.31,15.69
L.A. Nik,1.06,1.16,0.31,8.86,23.31,0.00,3.21,2.22,1.18,5.32,0.46,,0.26,0.26,13.69,0.00,1.36,7.04,7.84
Nekima Levy-Pounds,22.89,15.54,23.59,8.00,1.55,100.00,6.41,20.49,5.49,6.38,12.54,2.12,,41.57,4.15,0.00,10.66,9.15,3.92
Raymond Dehn,11.80,13.72,25.46,8.00,4.09,0.00,7.05,20.99,7.06,6.38,14.82,1.89,35.12,,7.05,0.00,14.28,11.97,5.88
Ronald Lischeid,0.53,1.32,0.24,4.00,8.29,0.00,3.21,3.21,2.75,10.64,0.20,8.73,0.22,0.16,,0.00,0.56,7.04,0.00
Theron Preston Washington,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
Tom Hoch,16.55,17.52,17.30,12.00,19.01,0.00,13.46,6.67,12.55,11.70,45.61,17.22,11.12,12.59,17.84,0.00,,9.15,11.76
Troy Benjegerdes,0.70,1.16,0.16,1.43,1.77,0.00,3.85,2.72,3.53,8.51,0.23,3.07,0.10,0.09,3.32,0.00,0.30,,1.96
writeIns,0.35,0.17,0.14,0.29,3.20,0.00,0.64,0.25,0.39,0.00,0.14,2.59,0.13,0.09,0.00,0.00,0.24,0.70,
