,A. JACKSON MATTESON,ADRIAN BERMUDEZ,AHSHA SAFAI,ELI M. HORN,JOHN AVALOS,JULIO RAMOS,MARY GOODNATURE,MYRNA LIM,RANDY KNOX,writeIns
first_choice,0.00,1.68,24.18,1.60,28.23,14.78,1.86,18.08,9.47,0.12
A. JACKSON MATTESON,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADRIAN BERMUDEZ,0.00,,3.97,4.71,3.48,10.70,8.65,2.85,2.61,0.00
AHSHA SAFAI,0.00,20.47,,20.88,23.20,20.62,18.58,25.65,25.82,0.00
ELI M. HORN,0.00,2.97,2.99,,2.00,2.93,8.14,2.67,6.68,0.00
JOHN AVALOS,0.00,16.91,26.23,15.82,,31.25,10.43,22.33,24.57,33.33
JULIO RAMOS,0.00,34.42,20.13,11.78,28.92,,14.76,23.01,19.24,0.00
MARY GOODNATURE,0.00,8.61,4.22,7.07,2.33,3.54,,10.44,3.64,0.00
MYRNA LIM,100.00,10.98,24.65,15.49,14.15,21.30,27.23,,17.34,66.67
RANDY KNOX,0.00,5.34,17.64,23.91,25.82,9.58,12.21,12.93,,0.00
writeIns,0.00,0.30,0.17,0.34,0.11,0.07,0.00,0.12,0.11,
