,"Bellew, Carole K.","Davis, Henrietta","DeBergalis, Matt S.","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Greenwood, Dan J.","Hall, Robert L., Sr.","Kelley, Craig A.","King, Ethridge A., Jr.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Smith, Aimee Louise","Sullivan, Michael A.","Taymorberry, Laurie","Toomey, Timothy J., Jr.",writeIns
first_choice,3.66,9.19,6.01,6.86,0.32,14.91,0.19,0.48,4.94,1.80,0.63,5.93,6.78,5.03,7.59,5.88,2.39,8.25,0.94,8.03,0.19
"Bellew, Carole K.",,8.81,6.22,3.97,0.00,1.96,2.78,6.25,5.90,4.39,3.57,1.52,6.81,8.73,1.66,3.41,5.72,1.11,10.43,3.59,4.76
"Davis, Henrietta",21.27,,9.54,21.34,4.76,4.50,5.56,6.25,12.01,6.90,9.82,3.23,28.77,18.71,7.27,13.82,7.32,4.31,16.56,3.66,14.29
"DeBergalis, Matt S.",5.91,3.58,,1.71,7.94,1.34,11.11,1.25,2.40,10.03,3.57,0.72,2.40,1.98,1.15,0.81,10.53,0.85,5.52,1.22,0.00
"Decker, Marjorie C.",7.83,23.08,9.34,,6.35,5.44,2.78,3.75,7.31,4.39,4.46,4.39,9.82,11.54,8.71,18.04,7.09,5.49,11.04,3.44,9.52
"Dixon, Vincent Lawrence",0.59,0.34,1.71,0.70,,0.18,0.00,2.50,0.44,1.88,2.68,0.18,0.23,0.52,0.43,0.45,1.37,0.78,0.61,0.22,4.76
"Galluccio, Anthony D.",10.19,8.47,6.22,12.23,14.29,,2.78,13.75,12.12,15.36,3.57,32.71,6.42,5.51,10.87,4.13,2.06,29.41,1.84,28.62,9.52
"Greenwood, Dan J.",0.30,0.11,1.71,0.08,9.52,0.44,,2.50,0.66,1.57,0.89,0.27,0.54,0.52,0.00,0.09,1.37,0.00,0.61,0.29,0.00
"Hall, Robert L., Sr.",0.00,0.28,0.90,0.39,6.35,0.73,30.56,,1.97,1.88,0.00,0.18,0.08,0.62,0.65,0.63,1.37,0.39,0.61,0.36,0.00
"Kelley, Craig A.",5.91,2.44,5.42,3.66,4.76,2.90,2.78,17.50,,4.70,8.93,2.24,3.87,11.64,1.01,1.71,4.35,1.83,3.07,1.00,9.52
"King, Ethridge A., Jr.",2.07,2.05,5.12,1.79,4.76,1.56,8.33,5.00,2.18,,8.04,1.25,1.93,3.12,3.38,1.97,2.29,0.72,2.45,0.79,9.52
"LaTremouille, Robert J.",0.89,0.23,1.20,0.39,4.76,0.51,2.78,5.00,1.20,2.19,,0.18,0.54,1.66,0.72,0.36,2.52,0.59,1.84,0.14,0.00
"Maher, David P.",2.81,3.58,2.51,4.21,1.59,24.16,8.33,6.25,5.24,7.52,0.89,,9.05,3.33,3.02,1.62,0.23,16.01,2.45,10.19,0.00
"Murphy, Brian",9.45,16.32,19.18,9.66,4.76,3.52,5.56,1.25,9.50,4.70,6.25,12.54,,13.83,3.38,5.30,6.18,3.20,7.36,1.22,0.00
"Pitkin, John",9.01,6.42,1.91,5.61,4.76,1.96,2.78,5.00,18.67,5.96,8.93,2.96,6.57,,1.80,4.04,4.35,1.24,4.91,1.36,4.76
"Reeves, Kenneth E.",2.95,5.80,5.32,10.51,4.76,7.29,2.78,5.00,4.26,8.15,9.82,3.94,4.72,3.12,,25.13,5.72,4.44,3.68,3.44,19.05
"Simmons, Denise",6.94,11.20,3.41,13.24,7.94,3.48,0.00,8.75,4.48,6.90,7.14,1.70,7.89,5.51,40.68,,19.91,3.27,8.59,1.94,4.76
"Smith, Aimee Louise",3.10,1.31,10.74,2.02,1.59,0.33,11.11,1.25,2.84,1.88,4.46,0.54,1.70,3.43,2.66,6.91,,0.72,9.20,0.93,4.76
"Sullivan, Michael A.",3.84,2.50,3.11,4.52,7.94,24.74,0.00,2.50,4.37,5.96,2.68,23.30,4.64,2.81,8.14,4.67,4.35,,3.68,36.15,4.76
"Taymorberry, Laurie",2.07,1.76,1.81,1.48,1.59,0.47,0.00,3.75,1.53,3.45,8.93,0.18,2.63,1.46,0.65,3.95,10.07,1.24,,1.29,0.00
"Toomey, Timothy J., Jr.",4.58,1.71,3.71,2.49,1.59,14.40,0.00,1.25,2.62,1.88,4.46,7.80,1.31,1.87,3.74,2.69,3.20,24.31,5.52,,0.00
writeIns,0.30,0.00,0.90,0.00,0.00,0.11,0.00,1.25,0.33,0.31,0.89,0.18,0.08,0.10,0.07,0.27,0.00,0.07,0.00,0.14,
