,"Akiba, Sukia","Azeem, Burhan","Carlone, Dennis J.","Franklin, Charles J.","Kelley, Craig A.","Kopon, Derek Andrew","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","McNary, Jeffery","Mednick, Risa","Moree, Gregg J.","Musgrave, Adriane","Nolan, Patricia M.","Pitkin, John","Siddiqui, Sumbul","Simmons, E. Denise","Simon, Ben","Sobrinho-Wheeler, Jivan","Toomey, Jr., Timothy J.","Williams, Nicola A.","Zondervan, Quinton Y.",writeIns
first_choice,1.70,4.52,6.96,1.52,6.70,2.32,0.52,5.91,7.63,0.36,1.15,0.22,3.42,7.93,2.52,11.85,9.45,1.38,6.22,8.14,2.97,6.51,0.08
"Akiba, Sukia",,3.85,0.47,4.33,0.63,2.03,4.55,2.23,0.80,3.90,0.82,4.26,1.38,1.13,1.12,3.18,2.04,2.72,2.20,1.45,2.06,1.74,0.00
"Azeem, Burhan",15.47,,0.54,6.19,0.84,1.83,1.82,1.99,2.84,2.60,3.28,0.00,9.37,0.83,0.75,6.32,2.09,2.72,12.64,0.64,3.01,2.68,0.00
"Carlone, Dennis J.",2.49,1.04,,6.50,18.64,11.97,11.82,2.63,3.08,0.00,8.61,0.00,2.34,18.81,7.28,2.15,2.94,5.44,3.26,2.89,4.75,17.95,0.00
"Franklin, Charles J.",5.52,4.06,7.98,,0.98,1.42,6.36,1.04,0.49,6.49,1.23,4.26,2.75,0.77,1.12,1.19,1.30,5.78,2.88,0.81,5.55,2.89,5.88
"Kelley, Craig A.",2.49,1.04,22.72,3.72,,12.98,6.36,4.22,5.92,3.90,3.28,2.13,4.41,18.46,12.50,3.02,3.24,2.04,0.91,11.80,2.69,4.78,0.00
"Kopon, Derek Andrew",1.66,1.35,3.65,6.81,5.70,,10.00,0.56,0.62,2.60,0.82,6.38,0.96,5.04,9.33,0.44,0.35,1.36,0.91,0.29,2.22,2.82,0.00
"Levy, Ilan",1.38,0.52,0.20,0.93,0.42,1.62,,0.64,0.25,5.19,0.41,4.26,0.28,0.65,1.31,0.32,0.15,0.00,0.61,1.39,0.16,0.58,0.00
"Mallon, Alanna M.",9.94,15.92,2.50,4.33,6.19,1.83,2.73,,15.67,3.90,5.74,0.00,14.19,3.74,3.17,17.73,8.22,2.72,4.54,6.71,1.58,2.97,0.00
"McGovern, Marc C.",2.21,8.01,3.25,4.64,7.31,1.62,1.82,18.63,,7.79,6.15,2.13,10.88,4.04,3.54,9.42,15.20,2.72,3.03,13.77,1.43,4.34,11.76
"McNary, Jeffery",1.10,0.73,0.34,2.79,0.21,1.22,1.82,0.56,0.49,,0.82,4.26,0.28,0.65,0.93,0.16,0.55,1.02,0.38,0.40,0.16,0.14,5.88
"Mednick, Risa",2.76,1.98,1.08,2.48,1.05,0.41,1.82,2.15,1.85,6.49,,0.00,3.99,1.07,1.49,1.91,1.64,2.04,3.03,0.23,1.58,0.94,0.00
"Moree, Gregg J.",0.28,0.21,0.00,0.00,0.35,1.42,0.00,0.40,0.43,0.00,2.87,,0.41,0.18,0.37,0.16,0.20,0.00,0.08,0.64,0.32,0.07,5.88
"Musgrave, Adriane",3.31,11.03,0.74,4.95,2.18,2.84,0.91,6.61,4.94,5.19,9.84,8.51,,1.60,1.12,4.89,2.94,0.68,6.74,1.33,2.06,1.59,0.00
"Nolan, Patricia M.",4.70,1.66,20.76,6.81,19.90,19.68,4.55,3.98,3.39,5.19,10.66,10.64,4.55,,11.94,2.98,2.44,5.44,2.20,3.30,15.53,8.39,11.76
"Pitkin, John",1.66,0.62,1.89,3.10,3.59,17.24,2.73,1.04,1.54,2.60,5.33,2.13,1.65,5.22,,0.60,1.30,2.72,0.68,0.87,2.38,2.39,0.00
"Siddiqui, Sumbul",11.60,17.17,3.58,4.64,4.64,2.43,3.64,28.66,17.15,6.49,15.98,4.26,18.18,6.35,6.16,,18.73,7.14,15.75,6.59,6.81,11.87,0.00
"Simmons, E. Denise",8.56,4.89,2.03,5.88,5.77,0.61,3.64,8.28,20.42,9.09,6.56,8.51,4.41,3.32,4.66,16.85,,5.78,2.73,19.61,10.94,4.05,5.88
"Simon, Ben",2.49,0.62,0.41,5.57,1.05,1.42,4.55,0.40,0.62,2.60,0.41,4.26,0.83,1.60,2.80,1.23,1.79,,11.81,0.87,6.66,2.68,5.88
"Sobrinho-Wheeler, Jivan",4.97,13.94,1.49,9.60,1.20,2.43,0.91,2.23,2.59,5.19,4.51,0.00,9.23,1.25,1.87,6.76,1.69,19.39,,0.93,4.91,10.56,0.00
"Toomey, Jr., Timothy J.",1.38,1.25,1.01,2.17,3.80,1.42,4.55,5.18,8.57,6.49,1.23,14.89,1.38,1.90,2.99,3.82,15.35,4.76,2.20,,2.06,2.32,11.76
"Williams, Nicola A.",7.73,1.66,3.18,3.10,2.60,4.26,5.45,1.51,1.11,1.30,2.46,0.00,1.10,7.77,9.14,2.15,4.98,7.82,5.53,1.16,,12.45,0.00
"Zondervan, Quinton Y.",3.59,3.75,19.74,8.05,9.21,6.90,11.82,4.14,2.71,7.79,5.74,0.00,4.55,13.77,12.31,7.15,2.74,12.59,15.59,3.59,19.65,,0.00
writeIns,0.00,0.00,0.14,0.00,0.07,0.00,0.91,0.16,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.00,0.00,
exhaust,4.70,4.68,2.30,3.41,3.66,2.43,7.27,2.79,4.38,5.19,3.28,19.15,2.89,1.84,4.10,7.59,10.11,5.10,2.27,20.59,3.49,1.81,35.29
