,"Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",writeIns
first_choice,1.51,0.26,9.08,9.48,12.45,3.90,1.13,0.47,1.23,6.48,0.73,5.61,7.69,7.51,6.05,8.28,9.11,8.91,0.11
"Adkins, Lawrence J.",,5.56,1.01,1.03,0.98,1.85,1.27,4.55,0.00,3.88,3.81,0.24,0.43,3.57,2.32,4.19,1.48,0.75,0.00
"Condit, James E., III",6.19,,0.29,0.28,0.22,0.34,1.90,1.52,12.02,0.20,0.00,0.24,0.09,0.18,0.84,0.56,0.52,0.58,0.00
"Davis, Henrietta",7.08,11.11,,23.66,4.80,10.96,2.53,3.03,1.64,11.94,10.48,5.12,23.36,6.51,13.20,14.34,4.45,3.09,0.00
"Decker, Marjorie C.",7.96,11.11,31.75,,8.56,11.80,2.53,0.00,1.09,9.49,5.71,5.24,15.86,9.53,9.50,21.68,6.16,4.67,33.33
"Galluccio, Anthony D.",4.87,5.56,5.32,11.66,,5.73,6.33,13.64,8.74,8.47,2.86,26.79,4.86,11.46,5.28,5.56,25.61,26.38,0.00
"Gordon, Jesse A.",3.54,8.33,3.38,4.34,1.64,,9.49,6.06,4.37,8.37,5.71,2.02,5.88,1.19,8.34,2.58,1.11,0.58,16.67
"Green, Andre Lerone",0.88,5.56,0.79,0.62,0.71,4.89,,9.09,22.95,1.53,4.76,0.24,0.17,0.37,0.74,0.73,0.45,1.34,16.67
"Hall, Robert Lee, Sr.",0.44,2.78,0.43,0.21,1.20,0.84,9.49,,4.92,0.92,0.95,0.12,0.00,0.92,0.42,0.56,0.52,0.58,0.00
"Hees, Bill",0.88,13.89,0.36,0.28,0.93,1.69,27.85,10.61,,2.14,4.76,0.60,0.77,0.46,0.74,0.32,0.45,0.75,0.00
"Kelley, Craig A.",9.73,0.00,4.24,2.90,3.54,8.94,6.33,7.58,12.57,,13.33,2.50,4.35,1.74,30.20,2.74,1.86,1.67,0.00
"LaTremouille, Robert J.",1.33,5.56,0.86,0.69,0.71,1.18,1.90,0.00,3.83,1.94,,0.24,0.51,0.64,1.06,0.40,0.59,0.33,0.00
"Maher, David P.",1.77,8.33,3.59,2.69,16.30,1.01,4.43,6.06,8.20,4.69,6.67,,6.65,2.66,3.06,2.18,13.59,8.68,0.00
"Murphy, Brian",2.65,0.00,15.95,10.83,3.38,11.30,3.16,1.52,3.83,10.10,6.67,10.12,,3.85,12.14,5.56,3.41,1.00,16.67
"Reeves, Kenneth E.",23.01,0.00,5.53,9.31,8.56,6.24,3.80,18.18,0.55,4.08,9.52,4.88,6.99,,2.32,22.97,6.24,3.42,0.00
"Seidel, Sam",5.75,8.33,7.18,5.66,1.58,20.57,3.16,6.06,7.65,20.00,8.57,3.81,13.30,3.94,,3.87,1.26,1.00,0.00
"Simmons, Denise",17.26,2.78,13.22,16.90,5.07,8.94,6.96,9.09,2.19,5.71,6.67,3.57,9.21,38.86,6.76,,6.01,4.26,16.67
"Sullivan, Michael A.",3.98,8.33,4.31,5.59,29.06,2.02,3.80,3.03,2.73,3.88,6.67,24.64,5.88,10.91,2.11,8.22,,40.73,0.00
"Toomey, Timothy J., Jr.",2.65,2.78,1.80,3.31,12.65,1.52,3.80,0.00,2.73,2.45,1.90,9.64,1.71,3.12,0.95,3.46,26.13,,0.00
writeIns,0.00,0.00,0.00,0.07,0.11,0.17,1.27,0.00,0.00,0.20,0.95,0.00,0.00,0.09,0.00,0.08,0.15,0.17,
