,"Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
first_choice,63.00,1713.00,1540.00,92.00,3230.00,153.00,155.00,345.00,278.00,378.00,1017.00,1716.00,69.00,1091.00,1141.00,1339.00,1315.00,1402.00,58.00,31.00
"Condit, James E., III",,4.00,1.00,1.00,8.00,2.00,0.00,1.00,30.00,1.00,3.00,12.00,1.00,6.00,4.00,3.00,8.00,6.00,6.00,0.00
"Davis, Henrietta",6.00,,322.00,3.00,148.00,4.00,15.00,31.00,9.00,47.00,35.00,363.00,5.00,244.00,78.00,195.00,48.00,48.00,2.00,2.00
"Decker, Marjorie C.",4.00,383.00,,8.00,217.00,53.00,4.00,36.00,7.00,26.00,52.00,272.00,2.00,109.00,109.00,231.00,56.00,68.00,5.00,1.00
"Dixon, Vincent Lawrence",6.00,10.00,7.00,,17.00,1.00,0.00,9.00,10.00,5.00,5.00,2.00,0.00,9.00,7.00,6.00,11.00,10.00,2.00,1.00
"Galluccio, Anthony D.",5.00,133.00,178.00,7.00,,19.00,6.00,10.00,39.00,28.00,330.00,118.00,9.00,56.00,141.00,79.00,346.00,336.00,4.00,5.00
"Hall, Robert L.",2.00,3.00,20.00,5.00,51.00,,3.00,2.00,5.00,4.00,7.00,16.00,0.00,7.00,5.00,10.00,4.00,4.00,1.00,0.00
"Horowitz, Jacob",1.00,120.00,11.00,2.00,18.00,6.00,,12.00,8.00,15.00,5.00,34.00,1.00,24.00,3.00,13.00,4.00,2.00,3.00,1.00
"Iskovitz, Steve",4.00,13.00,26.00,4.00,18.00,1.00,25.00,,5.00,7.00,4.00,22.00,2.00,28.00,7.00,24.00,3.00,3.00,9.00,3.00
"Jens, Steven E.",10.00,6.00,5.00,10.00,27.00,0.00,4.00,8.00,,7.00,8.00,6.00,1.00,9.00,1.00,3.00,3.00,5.00,1.00,1.00
"King, Ethridge A.",1.00,109.00,60.00,5.00,71.00,7.00,33.00,23.00,13.00,,15.00,84.00,0.00,59.00,64.00,82.00,5.00,8.00,2.00,0.00
"Maher, David P.",4.00,51.00,43.00,1.00,694.00,6.00,1.00,3.00,32.00,17.00,,76.00,3.00,31.00,34.00,15.00,203.00,99.00,0.00,0.00
"Murphy, Brian",0.00,269.00,224.00,3.00,101.00,13.00,13.00,34.00,5.00,48.00,42.00,,3.00,214.00,34.00,147.00,33.00,11.00,3.00,1.00
"Peixoto, Helder",2.00,8.00,6.00,1.00,29.00,1.00,0.00,6.00,4.00,4.00,7.00,24.00,,9.00,3.00,3.00,9.00,28.00,1.00,0.00
"Pitkin, John",1.00,165.00,107.00,8.00,73.00,5.00,15.00,40.00,8.00,25.00,21.00,261.00,4.00,,21.00,100.00,19.00,16.00,6.00,1.00
"Reeves, Kenneth E.",0.00,81.00,126.00,4.00,274.00,8.00,4.00,12.00,7.00,43.00,33.00,62.00,6.00,41.00,,279.00,53.00,42.00,3.00,1.00
"Simmons, Denise",1.00,226.00,212.00,6.00,144.00,9.00,15.00,67.00,9.00,54.00,29.00,205.00,1.00,141.00,395.00,,39.00,28.00,4.00,0.00
"Sullivan, Michael A.",1.00,36.00,70.00,5.00,701.00,4.00,2.00,1.00,16.00,8.00,254.00,55.00,9.00,35.00,90.00,38.00,,487.00,1.00,1.00
"Toomey, Timothy J., Jr.",2.00,25.00,39.00,4.00,348.00,1.00,1.00,6.00,9.00,4.00,77.00,10.00,6.00,24.00,43.00,27.00,355.00,,2.00,0.00
"Williamson, James M.",6.00,2.00,2.00,6.00,8.00,2.00,1.00,18.00,4.00,2.00,1.00,5.00,3.00,6.00,5.00,5.00,1.00,3.00,,0.00
writeIns,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,2.00,0.00,
exhaust,6.00,68.00,81.00,9.00,283.00,11.00,13.00,26.00,57.00,33.00,89.00,89.00,12.00,39.00,97.00,79.00,114.00,196.00,3.00,13.00
