,Al Flowers,Aswar Rahman,Betsy Hodges,Captain Jack Sparrow,Charlie Gers,Christopher Zimmerman,David John Wilson,David Rosenfeld,Gregg A. Iverson,Ian Simpson,Jacob Frey,L.A. Nik,Nekima Levy-Pounds,Raymond Dehn,Ronald Lischeid,Theron Preston Washington,Tom Hoch,Troy Benjegerdes,writeIns
first_choice,711.00,756.00,18915.00,438.00,1233.00,1.00,220.00,477.00,335.00,119.00,26116.00,612.00,15716.00,18101.00,325.00,0.00,20125.00,184.00,138.00
Al Flowers,,54.00,321.00,22.00,10.00,0.00,6.00,9.00,13.00,2.00,233.00,11.00,717.00,250.00,1.00,0.00,348.00,6.00,2.00
Aswar Rahman,38.00,,351.00,11.00,26.00,0.00,7.00,20.00,8.00,6.00,347.00,9.00,445.00,247.00,10.00,0.00,385.00,5.00,0.00
Betsy Hodges,112.00,75.00,,29.00,52.00,0.00,9.00,54.00,67.00,6.00,4166.00,16.00,3638.00,4134.00,15.00,0.00,2384.00,8.00,6.00
Captain Jack Sparrow,19.00,17.00,128.00,,59.00,0.00,22.00,30.00,14.00,10.00,190.00,31.00,128.00,129.00,13.00,0.00,293.00,12.00,5.00
Charlie Gers,7.00,15.00,76.00,19.00,,0.00,8.00,8.00,7.00,11.00,177.00,106.00,36.00,39.00,34.00,0.00,331.00,5.00,5.00
Christopher Zimmerman,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David John Wilson,6.00,8.00,45.00,31.00,37.00,0.00,,11.00,2.00,3.00,68.00,14.00,41.00,38.00,10.00,0.00,99.00,5.00,4.00
David Rosenfeld,10.00,11.00,113.00,26.00,14.00,0.00,7.00,,10.00,0.00,90.00,7.00,178.00,224.00,8.00,0.00,91.00,3.00,3.00
Gregg A. Iverson,12.00,11.00,253.00,4.00,11.00,0.00,5.00,4.00,,1.00,289.00,12.00,77.00,40.00,7.00,0.00,190.00,2.00,2.00
Ian Simpson,5.00,3.00,28.00,19.00,40.00,0.00,8.00,10.00,4.00,,23.00,14.00,15.00,11.00,9.00,0.00,42.00,6.00,0.00
Jacob Frey,53.00,105.00,3842.00,40.00,102.00,0.00,25.00,30.00,46.00,9.00,,53.00,2491.00,2706.00,23.00,0.00,8376.00,26.00,8.00
L.A. Nik,6.00,7.00,48.00,31.00,211.00,0.00,5.00,9.00,3.00,5.00,98.00,,38.00,45.00,33.00,0.00,234.00,10.00,4.00
Nekima Levy-Pounds,130.00,94.00,3706.00,28.00,14.00,1.00,10.00,83.00,14.00,6.00,2693.00,9.00,,7184.00,10.00,0.00,1840.00,13.00,2.00
Raymond Dehn,67.00,83.00,4000.00,28.00,37.00,0.00,11.00,85.00,18.00,6.00,3182.00,8.00,5140.00,,17.00,0.00,2466.00,17.00,3.00
Ronald Lischeid,3.00,8.00,37.00,14.00,75.00,0.00,5.00,13.00,7.00,10.00,42.00,37.00,32.00,27.00,,0.00,96.00,10.00,0.00
Theron Preston Washington,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
Tom Hoch,94.00,106.00,2718.00,42.00,172.00,0.00,21.00,27.00,32.00,11.00,9791.00,73.00,1627.00,2176.00,43.00,0.00,,13.00,6.00
Troy Benjegerdes,4.00,7.00,25.00,5.00,16.00,0.00,6.00,11.00,9.00,8.00,49.00,13.00,15.00,15.00,8.00,0.00,52.00,,1.00
writeIns,2.00,1.00,22.00,1.00,29.00,0.00,1.00,1.00,1.00,0.00,30.00,11.00,19.00,16.00,0.00,0.00,41.00,1.00,
exhaust,143.00,151.00,3202.00,88.00,328.00,0.00,64.00,72.00,80.00,25.00,4648.00,188.00,1079.00,820.00,84.00,0.00,2857.00,42.00,87.00
