,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,6.49,5.61,6.66,4.71,0.40,4.78,0.29,7.32,0.15,8.03,0.86,9.17,1.41,10.80,6.73,0.67,0.44,0.18,9.61,7.93,1.53,0.40,5.68,0.15
"Benzan, Dennis A.",,2.64,6.46,2.55,1.47,2.30,4.65,1.82,4.00,5.46,2.10,8.70,6.28,4.27,14.10,3.67,7.81,0.00,23.22,10.61,9.69,8.96,4.95,0.00
"Carlone, Dennis J.",7.41,,4.97,21.36,4.41,3.63,2.33,24.74,0.00,5.99,3.50,2.31,0.45,10.96,2.51,7.34,0.00,0.00,3.05,1.48,3.49,4.48,9.89,0.00
"Cheung, Leland",8.08,8.23,,4.85,1.47,8.96,2.33,7.30,4.00,16.17,6.29,8.76,5.38,5.89,14.97,4.59,10.94,10.34,10.60,6.87,3.49,1.49,12.32,8.33
"Connolly, Mike",2.02,23.37,3.05,,4.41,7.26,11.63,13.48,8.00,3.97,13.29,1.19,4.04,7.39,2.60,4.59,1.56,3.45,2.35,5.57,5.04,7.46,8.95,16.67
"Courtney, Kim",0.67,0.10,0.96,1.46,,1.21,0.00,0.63,44.00,0.52,5.59,0.20,0.45,0.75,0.17,5.50,0.00,0.00,0.70,0.26,1.16,0.00,1.05,8.33
"Davidson, Mariko",1.54,2.85,5.50,7.40,8.82,,13.95,3.89,8.00,3.44,11.19,0.59,0.45,24.99,3.55,4.59,4.69,13.79,1.78,1.04,13.18,1.49,5.16,0.00
"Degoes, Jr., Plinio T.",0.10,0.00,0.79,0.61,5.88,1.69,,0.63,0.00,0.07,1.40,0.20,0.00,0.29,0.09,1.83,0.00,0.00,0.25,0.09,1.16,1.49,0.42,0.00
"Devereux, Jan",1.06,15.75,4.45,15.41,14.71,7.51,11.63,,4.00,5.84,5.59,3.75,4.04,5.37,3.29,3.67,0.00,3.45,2.09,0.52,6.98,2.99,8.32,8.33
"Dietrich, Xavier",0.29,0.00,0.26,0.12,30.88,0.12,6.98,0.95,,0.15,1.40,0.00,0.45,0.06,0.26,1.83,0.00,3.45,0.19,0.09,0.78,0.00,0.32,0.00
"Kelley, Craig A.",4.91,5.49,11.34,4.13,0.00,4.12,2.33,4.28,16.00,,3.50,6.85,4.48,3.29,7.09,8.26,4.69,6.90,4.51,5.65,1.16,4.48,9.79,8.33
"Levy, Ilan S.",0.77,0.61,0.26,1.94,2.94,1.33,4.65,1.51,0.00,1.27,,0.79,0.90,0.69,0.09,6.42,0.00,3.45,0.70,2.17,0.78,4.48,1.05,0.00
"Maher, David P.",8.66,3.56,10.12,1.94,1.47,1.45,4.65,6.66,0.00,15.19,2.80,,25.11,4.39,9.17,8.26,9.38,10.34,8.12,28.61,1.16,2.99,3.79,0.00
"Mahoney, Jr., Paul F.",1.06,0.61,0.87,0.97,1.47,0.00,0.00,0.48,0.00,0.60,2.10,6.85,,0.58,0.95,6.42,4.69,0.00,0.63,5.04,0.78,0.00,0.42,8.33
"Mazen, Nadeem A.",4.62,20.63,6.72,15.41,4.41,31.36,9.30,14.67,0.00,7.26,7.69,4.74,4.48,,6.66,4.59,10.94,10.34,5.71,2.70,25.19,8.96,11.16,25.00
"McGovern, Marc C.",10.30,4.67,17.63,4.61,0.00,3.39,0.00,4.68,4.00,13.32,0.70,15.94,5.83,7.50,,3.67,7.81,0.00,11.17,8.09,5.43,7.46,7.47,8.33
