,"Bellew, Carole K.","Davis, Henrietta","DeBergalis, Matt S.","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Greenwood, Dan J.","Hall, Robert L., Sr.","Kelley, Craig A.","King, Ethridge A., Jr.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Smith, Aimee Louise","Sullivan, Michael A.","Taymorberry, Laurie","Toomey, Timothy J., Jr.",writeIns
first_choice,3.66,9.19,6.01,6.86,0.32,14.91,0.19,0.48,4.94,1.80,0.63,5.93,6.78,5.03,7.59,5.88,2.39,8.25,0.94,8.03,0.19
"Bellew, Carole K.",,8.40,5.14,3.70,0.00,1.80,2.56,5.21,5.44,3.88,3.17,1.43,6.46,8.32,1.51,3.22,5.21,1.03,9.04,3.10,2.63
"Davis, Henrietta",19.59,,7.88,19.88,4.69,4.14,5.13,5.21,11.09,6.09,8.73,3.03,27.31,17.82,6.62,13.04,6.67,3.99,14.36,3.16,7.89
"DeBergalis, Matt S.",5.44,3.41,,1.60,7.81,1.24,10.26,1.04,2.22,8.86,3.17,0.67,2.28,1.88,1.05,0.76,9.58,0.79,4.79,1.05,0.00
"Decker, Marjorie C.",7.21,21.99,7.71,,6.25,5.01,2.56,3.12,6.75,3.88,3.97,4.12,9.32,10.99,7.93,17.02,6.46,5.07,9.57,2.98,5.26
"Dixon, Vincent Lawrence",0.54,0.33,1.41,0.65,,0.17,0.00,2.08,0.40,1.66,2.38,0.17,0.22,0.50,0.39,0.42,1.25,0.72,0.53,0.19,2.63
"Galluccio, Anthony D.",9.39,8.07,5.14,11.39,14.06,,2.56,11.46,11.19,13.57,3.17,30.67,6.09,5.25,9.90,3.90,1.88,27.17,1.60,24.74,5.26
"Greenwood, Dan J.",0.27,0.11,1.41,0.07,9.38,0.40,,2.08,0.60,1.39,0.79,0.25,0.51,0.50,0.00,0.08,1.25,0.00,0.53,0.25,0.00
"Hall, Robert L., Sr.",0.00,0.27,0.75,0.36,6.25,0.67,28.21,,1.81,1.66,0.00,0.17,0.07,0.59,0.59,0.59,1.25,0.36,0.53,0.31,0.00
"Kelley, Craig A.",5.44,2.33,4.48,3.41,4.69,2.67,2.56,14.58,,4.16,7.94,2.10,3.67,11.09,0.92,1.61,3.96,1.69,2.66,0.87,5.26
"King, Ethridge A., Jr.",1.90,1.95,4.23,1.67,4.69,1.44,7.69,4.17,2.02,,7.14,1.18,1.84,2.97,3.08,1.86,2.08,0.66,2.13,0.68,5.26
"LaTremouille, Robert J.",0.82,0.22,1.00,0.36,4.69,0.47,2.56,4.17,1.11,1.94,,0.17,0.51,1.58,0.66,0.34,2.29,0.54,1.60,0.12,0.00
"Maher, David P.",2.59,3.41,2.07,3.92,1.56,22.24,7.69,5.21,4.84,6.65,0.79,,8.59,3.17,2.75,1.52,0.21,14.79,2.13,8.80,0.00
"Murphy, Brian",8.71,15.55,15.84,9.00,4.69,3.24,5.13,1.04,8.77,4.16,5.56,11.76,,13.17,3.08,5.00,5.62,2.96,6.38,1.05,0.00
"Pitkin, John",8.30,6.12,1.58,5.22,4.69,1.80,2.56,4.17,17.24,5.26,7.94,2.77,6.24,,1.64,3.81,3.96,1.15,4.26,1.18,2.63
"Reeves, Kenneth E.",2.72,5.53,4.39,9.80,4.69,6.71,2.56,4.17,3.93,7.20,8.73,3.70,4.48,2.97,,23.71,5.21,4.11,3.19,2.98,10.53
"Simmons, Denise",6.39,10.67,2.82,12.34,7.81,3.21,0.00,7.29,4.13,6.09,6.35,1.60,7.49,5.25,37.05,,18.12,3.02,7.45,1.67,2.63
"Smith, Aimee Louise",2.86,1.25,8.87,1.89,1.56,0.30,10.26,1.04,2.62,1.66,3.97,0.50,1.62,3.27,2.43,6.52,,0.66,7.98,0.81,2.63
"Sullivan, Michael A.",3.54,2.38,2.57,4.21,7.81,22.78,0.00,2.08,4.03,5.26,2.38,21.85,4.41,2.67,7.41,4.40,3.96,,3.19,31.25,2.63
"Taymorberry, Laurie",1.90,1.68,1.49,1.38,1.56,0.43,0.00,3.12,1.41,3.05,7.94,0.17,2.50,1.39,0.59,3.73,9.17,1.15,,1.12,0.00
"Toomey, Timothy J., Jr.",4.22,1.63,3.07,2.32,1.56,13.26,0.00,1.04,2.42,1.66,3.97,7.31,1.25,1.78,3.41,2.54,2.92,22.46,4.79,,0.00
writeIns,0.27,0.00,0.75,0.00,0.00,0.10,0.00,1.04,0.30,0.28,0.79,0.17,0.07,0.10,0.07,0.25,0.00,0.06,0.00,0.12,
exhaust,7.89,4.71,17.41,6.82,1.56,7.92,7.69,16.67,7.66,11.63,11.11,6.22,5.07,4.75,8.92,5.67,8.96,7.61,13.30,13.58,44.74
