,"Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,12.73,9.06,7.09,6.93,10.64,3.16,0.85,0.35,3.42,0.40,6.39,4.97,7.99,2.17,10.76,5.27,1.10,6.55,0.15
"Cheung, Leland",,20.96,15.94,21.13,12.57,9.58,9.63,7.14,14.21,3.17,8.09,19.16,11.22,18.90,12.67,10.54,10.29,25.34,12.50
"Davis, Henrietta",17.30,,17.90,10.29,7.53,2.00,2.22,1.79,12.55,1.59,5.03,14.97,9.24,12.79,3.99,8.14,6.29,12.81,0.00
"Decker, Marjorie C.",10.01,17.76,,6.10,9.13,2.20,5.19,0.00,5.90,3.17,8.09,7.36,9.08,3.20,5.81,6.71,5.14,4.14,4.17
"Kelley, Craig A.",7.88,5.99,5.61,,6.35,17.37,5.93,3.57,4.06,6.35,2.47,7.87,2.37,9.01,3.81,5.15,2.86,8.57,4.17
"Maher, David P.",8.38,7.03,9.71,8.47,,9.18,5.19,10.71,7.93,0.00,5.23,7.87,6.00,2.62,21.76,6.11,3.43,2.60,0.00
"Marquardt, Charles J.",2.78,1.25,0.53,6.10,2.49,,8.15,5.36,0.74,4.76,0.69,1.90,0.24,3.20,4.57,1.20,4.00,3.66,4.17
"Mello, Gary W.",0.74,0.14,0.53,0.64,0.59,8.98,,10.71,1.29,9.52,0.10,0.13,0.32,1.74,0.94,0.24,5.14,1.54,0.00
"Moree, Gregg J.",0.30,0.28,0.09,0.36,0.53,2.00,8.15,,0.74,1.59,0.10,0.00,0.08,0.58,0.88,1.20,2.29,0.39,0.00
"Nelson, Matthew P.",2.18,3.06,1.96,1.46,1.25,3.39,1.48,5.36,,4.76,1.28,2.28,0.79,2.33,2.64,4.07,4.00,3.18,0.00
"Pascual, Jamake",0.40,0.21,0.45,0.27,0.42,0.80,7.41,0.00,2.77,,0.30,0.13,0.39,0.87,0.06,0.36,3.43,0.29,0.00
"Reeves, Kenneth E.",5.06,3.97,9.35,3.46,5.10,1.60,6.67,7.14,4.06,3.17,,4.70,24.25,2.62,5.92,10.54,2.86,3.56,4.17
"Seidel, Sam",8.58,8.22,4.72,9.84,4.63,3.19,1.48,3.57,5.72,1.59,7.31,,3.00,8.72,1.29,4.19,5.14,6.36,0.00
"Simmons, E. Denise",7.09,9.47,13.18,5.65,6.41,1.60,2.22,5.36,5.72,7.94,33.86,8.50,,3.78,7.68,14.61,8.00,5.20,0.00
"Stohlman, Jr., Thomas J.",3.17,1.39,0.89,2.28,1.25,5.19,5.19,3.57,1.85,14.29,0.59,2.66,1.50,,1.00,1.68,5.14,6.74,4.17
"Toomey, Jr., Timothy J.",5.50,2.58,4.72,3.10,22.42,8.58,4.44,10.71,8.30,4.76,5.92,3.05,7.35,2.33,,3.71,2.29,2.50,4.17
"Ward, Larry W.",3.22,3.90,2.85,4.55,5.52,4.99,4.44,0.00,10.89,6.35,6.81,5.08,8.37,4.65,3.40,,9.14,5.88,0.00
"Williamson, James M.",0.69,0.63,0.36,0.73,0.59,1.40,2.96,3.57,1.29,9.52,0.39,0.51,0.87,0.29,0.59,2.04,,2.31,4.17
"vanBeuzekom, Minka Y.",10.61,8.15,4.72,9.93,2.67,5.19,5.19,5.36,5.72,3.17,1.78,6.85,4.03,15.99,2.17,7.54,12.57,,4.17
writeIns,0.05,0.07,0.00,0.09,0.18,0.60,0.74,0.00,0.18,0.00,0.10,0.00,0.00,0.00,0.29,0.00,1.14,0.10,
exhaust,6.05,4.94,6.50,5.56,10.38,12.18,13.33,16.07,6.09,14.29,11.85,6.98,10.90,6.40,20.53,11.98,6.86,4.82,54.17
