,"Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
first_choice,0.37,10.00,8.99,0.54,18.86,0.89,0.91,2.01,1.62,2.21,5.94,10.02,0.40,6.37,6.66,7.82,7.68,8.19,0.34,0.18
"Condit, James E., III",,0.24,0.07,1.20,0.27,1.41,0.00,0.31,13.57,0.29,0.32,0.74,1.75,0.57,0.38,0.24,0.67,0.50,10.91,0.00
"Davis, Henrietta",10.53,,22.07,3.61,5.02,2.82,10.56,9.72,4.07,13.62,3.77,22.31,8.77,23.19,7.47,15.48,4.00,3.98,3.64,11.11
"Decker, Marjorie C.",7.02,23.28,,9.64,7.36,37.32,2.82,11.29,3.17,7.54,5.60,16.72,3.51,10.36,10.44,18.33,4.66,5.64,9.09,5.56
"Dixon, Vincent Lawrence",10.53,0.61,0.48,,0.58,0.70,0.00,2.82,4.52,1.45,0.54,0.12,0.00,0.86,0.67,0.48,0.92,0.83,3.64,5.56
"Galluccio, Anthony D.",8.77,8.09,12.20,8.43,,13.38,4.23,3.13,17.65,8.12,35.56,7.25,15.79,5.32,13.51,6.27,28.81,27.86,7.27,27.78
"Hall, Robert L.",3.51,0.18,1.37,6.02,1.73,,2.11,0.63,2.26,1.16,0.75,0.98,0.00,0.67,0.48,0.79,0.33,0.33,1.82,0.00
"Horowitz, Jacob",1.75,7.29,0.75,2.41,0.61,4.23,,3.76,3.62,4.35,0.54,2.09,1.75,2.28,0.29,1.03,0.33,0.17,5.45,5.56
"Iskovitz, Steve",7.02,0.79,1.78,4.82,0.61,0.70,17.61,,2.26,2.03,0.43,1.35,3.51,2.66,0.67,1.90,0.25,0.25,16.36,16.67
"Jens, Steven E.",17.54,0.36,0.34,12.05,0.92,0.00,2.82,2.51,,2.03,0.86,0.37,1.75,0.86,0.10,0.24,0.25,0.41,1.82,5.56
"King, Ethridge A.",1.75,6.63,4.11,6.02,2.41,4.93,23.24,7.21,5.88,,1.62,5.16,0.00,5.61,6.13,6.51,0.42,0.66,3.64,0.00
"Maher, David P.",7.02,3.10,2.95,1.20,23.55,4.23,0.70,0.94,14.48,4.93,,4.67,5.26,2.95,3.26,1.19,16.90,8.21,0.00,0.00
"Murphy, Brian",0.00,16.35,15.35,3.61,3.43,9.15,9.15,10.66,2.26,13.91,4.53,,5.26,20.34,3.26,11.67,2.75,0.91,5.45,5.56
"Peixoto, Helder",3.51,0.49,0.41,1.20,0.98,0.70,0.00,1.88,1.81,1.16,0.75,1.48,,0.86,0.29,0.24,0.75,2.32,1.82,0.00
"Pitkin, John",1.75,10.03,7.33,9.64,2.48,3.52,10.56,12.54,3.62,7.25,2.26,16.04,7.02,,2.01,7.94,1.58,1.33,10.91,5.56
"Reeves, Kenneth E.",0.00,4.92,8.64,4.82,9.30,5.63,2.82,3.76,3.17,12.46,3.56,3.81,10.53,3.90,,22.14,4.41,3.48,5.45,5.56
"Simmons, Denise",1.75,13.74,14.53,7.23,4.89,6.34,10.56,21.00,4.07,15.65,3.12,12.60,1.75,13.40,37.84,,3.25,2.32,7.27,0.00
"Sullivan, Michael A.",1.75,2.19,4.80,6.02,23.79,2.82,1.41,0.31,7.24,2.32,27.37,3.38,15.79,3.33,8.62,3.02,,40.38,1.82,5.56
"Toomey, Timothy J., Jr.",3.51,1.52,2.67,4.82,11.81,0.70,0.70,1.88,4.07,1.16,8.30,0.61,10.53,2.28,4.12,2.14,29.56,,3.64,0.00
"Williamson, James M.",10.53,0.12,0.14,7.23,0.27,1.41,0.70,5.64,1.81,0.58,0.11,0.31,5.26,0.57,0.48,0.40,0.08,0.25,,0.00
writeIns,1.75,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,1.75,0.00,0.00,0.00,0.08,0.17,0.00,
