,"Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
first_choice,15.95,2.24,3.20,11.45,3.05,11.45,14.35,13.32,1.78,10.00,12.91,0.29
"Fantini, Alfred B.",,9.68,6.47,11.65,22.02,9.31,4.79,3.45,11.65,8.64,6.85,6.90
"Forster, Bill",5.10,,9.62,1.41,5.63,1.85,2.82,2.92,5.97,1.52,1.06,3.45
"Gerber, Joyce C.",3.52,26.58,,2.29,6.62,2.56,5.32,3.30,3.98,3.44,2.82,1.72
"Harding, Jr., Richard",15.62,5.18,10.25,,5.63,10.86,8.74,10.77,21.31,4.35,5.75,3.45
"Holland, John J.",7.29,4.50,6.47,2.91,,2.12,2.75,2.73,2.27,2.37,1.49,1.72
"McGovern, Marc C.",14.16,8.33,10.09,15.71,10.26,,16.03,10.58,5.40,12.48,12.25,0.00
"Nolan, Patricia M.",6.56,8.11,14.98,7.90,9.44,19.06,,18.70,3.69,14.65,17.73,3.45
"Osborne, Mervan F.",2.85,8.11,9.78,12.00,7.45,8.30,14.34,,11.65,11.77,10.10,3.45
"Stead, Sr., Charles Lewis",3.45,6.53,2.84,9.31,2.98,1.68,1.37,3.75,,0.76,1.14,1.72
"Tauber, Nancy",8.05,6.31,10.41,7.02,9.77,14.65,17.29,15.51,9.94,,26.46,0.00
"Turkel, Alice L.",7.73,5.63,7.57,8.69,5.30,16.24,15.67,14.52,6.53,28.50,,1.72
writeIns,0.13,0.23,0.00,0.09,0.00,0.04,0.11,0.08,0.28,0.00,0.08,
exhaust,25.54,10.81,11.51,21.01,14.90,13.33,10.78,13.69,17.33,11.52,14.29,72.41
