,"Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
first_choice,3156.00,444.00,634.00,2266.00,604.00,2266.00,2839.00,2637.00,352.00,1979.00,2555.00,58.00
"Fantini, Alfred B.",,43.00,41.00,264.00,133.00,211.00,136.00,91.00,41.00,171.00,175.00,4.00
"Forster, Bill",161.00,,61.00,32.00,34.00,42.00,80.00,77.00,21.00,30.00,27.00,2.00
"Gerber, Joyce C.",111.00,118.00,,52.00,40.00,58.00,151.00,87.00,14.00,68.00,72.00,1.00
"Harding, Jr., Richard",493.00,23.00,65.00,,34.00,246.00,248.00,284.00,75.00,86.00,147.00,2.00
"Holland, John J.",230.00,20.00,41.00,66.00,,48.00,78.00,72.00,8.00,47.00,38.00,1.00
"McGovern, Marc C.",447.00,37.00,64.00,356.00,62.00,,455.00,279.00,19.00,247.00,313.00,0.00
"Nolan, Patricia M.",207.00,36.00,95.00,179.00,57.00,432.00,,493.00,13.00,290.00,453.00,2.00
"Osborne, Mervan F.",90.00,36.00,62.00,272.00,45.00,188.00,407.00,,41.00,233.00,258.00,2.00
"Stead, Sr., Charles Lewis",109.00,29.00,18.00,211.00,18.00,38.00,39.00,99.00,,15.00,29.00,1.00
"Tauber, Nancy",254.00,28.00,66.00,159.00,59.00,332.00,491.00,409.00,35.00,,676.00,0.00
"Turkel, Alice L.",244.00,25.00,48.00,197.00,32.00,368.00,445.00,383.00,23.00,564.00,,1.00
writeIns,4.00,1.00,0.00,2.00,0.00,1.00,3.00,2.00,1.00,0.00,2.00,
exhaust,806.00,48.00,73.00,476.00,90.00,302.00,306.00,361.00,61.00,228.00,365.00,42.00
