,"Adkins, Lawrence J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,0.65,4.74,11.65,8.05,0.70,1.60,7.83,0.85,8.06,2.41,0.29,0.49,7.31,5.64,11.19,2.37,5.55,10.96,4.61,0.56,4.27,0.21
"Adkins, Lawrence J.",,1.19,0.54,0.16,1.79,1.17,0.48,0.00,0.31,1.56,0.00,2.56,1.11,0.56,0.90,0.53,0.90,0.34,2.04,14.44,0.59,3.03
"Cheung, Leland",7.77,,5.49,2.33,8.04,8.98,5.84,10.29,1.63,9.35,4.26,8.97,2.32,6.22,3.08,6.61,2.03,2.92,3.40,5.56,10.70,9.09
"Davis, Henrietta",3.88,16.40,,21.71,8.04,13.28,16.56,8.82,10.58,4.42,0.00,3.85,7.72,21.44,13.78,12.43,2.82,5.26,14.81,3.33,16.57,0.00
"Decker, Marjorie C.",0.97,2.65,7.10,,0.89,6.64,3.44,2.21,4.59,2.60,2.13,2.56,3.86,3.78,5.10,2.12,2.71,2.57,5.03,0.00,3.67,0.00
"Flanagan, Mark F.",6.80,2.12,0.75,0.39,,0.78,0.24,1.47,0.70,1.04,0.00,0.00,0.69,0.11,0.39,0.00,1.92,1.03,0.41,4.44,1.47,3.03
"Glick, Silvia P.",2.91,3.84,2.15,0.86,13.39,,5.04,5.15,0.70,2.86,4.26,10.26,0.77,2.22,1.40,2.91,1.58,0.51,0.54,4.44,4.55,3.03
"Kelley, Craig A.",5.83,7.80,9.63,5.21,3.57,9.77,,7.35,6.69,10.13,8.51,5.13,1.89,8.89,3.03,9.52,4.63,4.12,5.03,6.67,8.50,6.06
"Leavitt, Neal W.",0.97,2.12,1.13,0.78,4.46,2.73,1.76,,0.86,2.60,2.13,1.28,0.51,1.89,0.39,1.85,0.68,0.51,0.82,1.11,1.17,0.00
"Maher, David P.",0.97,4.89,8.93,6.46,4.46,2.73,7.52,5.88,,7.79,2.13,7.69,2.92,6.67,3.53,6.35,20.45,14.47,6.79,1.11,2.35,3.03
"Marquardt, Charles J.",4.85,2.25,0.97,0.62,3.57,4.30,4.72,3.68,1.87,,0.00,1.28,1.03,1.00,0.90,2.65,4.18,2.69,0.95,1.11,3.37,3.03
"Moree, Gregg J.",0.00,1.06,0.16,0.00,0.00,0.00,0.48,1.47,1.09,1.82,,6.41,0.43,0.33,0.28,0.79,0.34,0.40,0.27,1.11,0.15,0.00
"Podgers, Kathy",0.00,1.72,0.65,0.62,0.89,3.12,0.48,1.47,0.31,1.56,27.66,,0.43,0.56,0.56,0.79,0.56,0.17,0.14,5.56,1.32,3.03
"Reeves, Kenneth E.",18.45,2.65,6.35,8.64,5.36,5.08,3.36,2.94,5.52,2.34,8.51,7.69,,4.11,25.99,1.85,3.62,6.98,13.59,6.67,3.52,12.12
"Seidel, Sam",2.91,6.88,13.29,7.00,3.57,7.42,14.64,11.03,6.14,4.94,4.26,5.13,7.80,,6.89,14.81,1.81,2.23,6.79,3.33,9.09,0.00
"Simmons, E. Denise",9.71,6.75,16.31,16.65,9.82,7.42,8.00,8.09,4.82,4.16,4.26,6.41,36.79,14.33,,5.82,3.73,6.69,17.12,12.22,8.21,3.03
"Stohlman, Jr., Thomas J.",1.94,5.69,2.96,1.71,2.68,2.34,3.28,4.41,2.02,2.60,4.26,5.13,1.11,4.33,1.40,,1.47,0.86,2.85,4.44,4.55,3.03
"Sullivan, Edward J.",0.97,3.04,1.24,4.28,4.46,0.78,2.40,2.94,16.72,7.53,6.38,2.56,4.29,2.33,3.53,4.76,,21.97,2.04,0.00,2.35,0.00
"Toomey, Jr., Timothy J.",3.88,4.89,3.88,5.29,1.79,1.95,3.84,4.41,21.62,7.01,6.38,0.00,4.97,3.44,7.17,2.12,28.59,,5.43,4.44,3.67,3.03
"Ward, Larry W.",9.71,3.97,6.19,4.90,0.89,3.12,5.44,2.21,3.50,2.34,2.13,3.85,5.83,6.67,8.29,6.35,1.58,4.63,,6.67,5.43,0.00
"Williamson, James M.",2.91,0.93,0.16,0.39,0.89,0.78,0.48,0.74,0.23,0.52,0.00,2.56,0.69,0.22,0.56,0.00,1.02,0.51,2.17,,1.91,0.00
"vanBeuzekom, Minka Y.",5.83,8.73,5.38,4.44,6.25,12.50,7.44,3.68,0.47,3.64,4.26,2.56,1.46,5.11,3.31,8.20,1.92,1.66,3.53,5.56,,0.00
writeIns,0.00,0.13,0.11,0.08,0.00,0.00,0.08,0.74,0.08,0.00,0.00,0.00,0.17,0.00,0.11,0.00,0.11,0.00,0.27,0.00,0.44,
exhaust,8.74,10.32,6.62,7.47,15.18,5.08,4.48,11.03,9.56,19.22,8.51,14.10,13.21,5.78,9.41,9.52,13.33,19.45,5.98,7.78,6.45,45.45
