,"Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Janik, Jonathan S.","Kelley, Craig A.","Maher, David P.","Moore, M. Kevin","Moree, Gregg J.","Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Ward, Larry W.",writeIns
first_choice,1592.00,1069.00,522.00,261.00,1118.00,1312.00,251.00,111.00,1160.00,92.00,1217.00,1037.00,996.00,831.00,1339.00,699.00,26.00
"Davis, Henrietta",,251.00,17.00,29.00,161.00,71.00,10.00,2.00,248.00,6.00,86.00,207.00,172.00,25.00,94.00,105.00,1.00
"Decker, Marjorie C.",422.00,,45.00,15.00,89.00,84.00,11.00,6.00,156.00,5.00,106.00,90.00,140.00,38.00,95.00,54.00,1.00
"Galluccio, Anthony D.",49.00,77.00,,13.00,25.00,99.00,9.00,3.00,32.00,0.00,64.00,22.00,29.00,90.00,229.00,33.00,1.00
"Janik, Jonathan S.",24.00,14.00,10.00,,26.00,18.00,5.00,5.00,23.00,2.00,8.00,45.00,7.00,14.00,12.00,19.00,1.00
"Kelley, Craig A.",116.00,53.00,28.00,14.00,,78.00,4.00,7.00,91.00,10.00,33.00,111.00,41.00,24.00,47.00,60.00,0.00
"Maher, David P.",73.00,48.00,81.00,16.00,98.00,,7.00,8.00,76.00,2.00,32.00,42.00,26.00,164.00,200.00,20.00,0.00
"Moore, M. Kevin",3.00,17.00,18.00,19.00,27.00,21.00,,18.00,10.00,13.00,65.00,19.00,45.00,24.00,7.00,49.00,1.00
"Moree, Gregg J.",5.00,5.00,4.00,2.00,15.00,15.00,19.00,,1.00,1.00,9.00,7.00,3.00,9.00,15.00,7.00,0.00
"Murphy, Brian",236.00,105.00,18.00,21.00,140.00,111.00,11.00,7.00,,4.00,48.00,171.00,53.00,28.00,39.00,58.00,1.00
"Podgers, Kathy",8.00,10.00,4.00,5.00,18.00,8.00,3.00,6.00,10.00,,7.00,10.00,7.00,7.00,6.00,3.00,1.00
"Reeves, Kenneth E.",70.00,80.00,48.00,10.00,41.00,42.00,49.00,7.00,66.00,7.00,,38.00,191.00,29.00,64.00,46.00,2.00
"Seidel, Sam",158.00,85.00,14.00,29.00,182.00,43.00,15.00,5.00,169.00,16.00,60.00,,63.00,10.00,15.00,75.00,4.00
"Simmons, E. Denise",231.00,140.00,25.00,8.00,85.00,45.00,29.00,6.00,83.00,10.00,369.00,93.00,,22.00,59.00,91.00,0.00
"Sullivan, Edward J.",15.00,27.00,58.00,9.00,24.00,271.00,8.00,6.00,21.00,4.00,55.00,19.00,40.00,,241.00,20.00,1.00
"Toomey, Timothy J., Jr.",42.00,54.00,96.00,14.00,47.00,246.00,11.00,10.00,23.00,2.00,84.00,17.00,38.00,251.00,,17.00,1.00
"Ward, Larry W.",67.00,43.00,12.00,25.00,75.00,30.00,36.00,4.00,50.00,4.00,62.00,110.00,80.00,18.00,26.00,,0.00
writeIns,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,1.00,1.00,
exhaust,73.00,60.00,42.00,31.00,65.00,130.00,24.00,11.00,101.00,6.00,129.00,35.00,60.00,76.00,189.00,41.00,11.00
