Ballots with first choice:,Number of Ballots,"% of votes to Kelley, Craig A.","% of votes to Decker, Marjorie C.","% of votes to Seidel, Sam","% of votes to Reeves, Kenneth E.","% of votes to Maher, David P.","% of votes to Toomey, Jr., Timothy J.","% of votes to Cheung, Leland","% of votes to Simmons, E. Denise","% of votes to Davis, Henrietta",% of votes to exhaust,percent_sum
"Adkins, Lawrence J.",103.0,10.68,1.94,5.83,37.86,2.91,0.0,16.5,0.0,0.0,24.27,100.0
"Cheung, Leland",756.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"Davis, Henrietta",1858.0,2.37,1.13,2.85,1.4,1.24,0.48,0.86,2.58,85.9,1.18,99.99999999999999
"Decker, Marjorie C.",1285.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Flanagan, Mark F.",112.0,8.04,1.79,13.39,9.82,8.04,0.0,25.89,0.0,0.0,33.04,100.0
"Glick, Silvia P.",256.0,17.19,10.16,14.45,9.77,5.08,0.0,23.05,0.0,0.0,20.31,100.0
"Kelley, Craig A.",1250.0,96.96,0.16,1.52,0.24,0.48,0.0,0.4,0.0,0.0,0.24,99.99999999999999
"Leavitt, Neal W.",136.0,10.29,5.15,20.59,8.09,8.09,0.0,22.06,0.0,0.0,25.74,99.99999999999999
"Maher, David P.",1286.0,0.0,0.93,1.71,0.0,94.01,0.0,1.17,0.0,0.0,2.18,100.0
"Marquardt, Charles J.",385.0,14.55,4.94,11.17,3.64,10.39,0.0,19.22,0.0,0.0,36.1,100.0
"Moree, Gregg J.",47.0,14.89,2.13,10.64,17.02,4.26,0.0,12.77,0.0,0.0,38.3,100.0
"Podgers, Kathy",78.0,10.26,3.85,8.97,7.69,8.97,0.0,25.64,0.0,0.0,34.62,99.99999999999999
"Reeves, Kenneth E.",1166.0,0.0,1.46,2.57,92.71,1.29,0.0,0.86,0.0,0.0,1.11,99.99999999999997
"Seidel, Sam",900.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Simmons, E. Denise",1785.0,0.56,1.18,2.07,5.21,1.18,0.78,0.9,86.72,0.0,1.4,99.99999999999999
"Stohlman, Jr., Thomas J.",378.0,13.23,2.91,29.89,3.44,12.96,0.0,16.93,0.0,0.0,20.63,99.99999999999999
"Sullivan, Edward J.",885.0,0.0,7.68,10.28,0.0,0.0,0.0,12.09,0.0,0.0,69.94,100.0
"Toomey, Jr., Timothy J.",1748.0,0.8,0.74,1.2,1.54,1.95,89.99,0.86,0.0,0.0,2.92,99.99999999999997
"Ward, Larry W.",736.0,0.0,8.42,20.24,24.32,14.27,0.0,9.78,0.0,0.0,22.96,99.99999999999999
"Williamson, James M.",90.0,13.33,4.44,15.56,13.33,8.89,0.0,24.44,0.0,0.0,20.0,100.0
"vanBeuzekom, Minka Y.",682.0,14.96,5.87,21.26,6.6,5.87,0.0,23.75,0.0,0.0,21.7,99.99999999999999
writeIns,33.0,9.09,6.06,0.0,9.09,3.03,0.0,24.24,0.0,0.0,48.48,99.99999999999999
