Ballots with first choice:,Number of Ballots,"% of votes to Kelley, Craig A.","% of votes to Decker, Marjorie C.","% of votes to Simmons, Denise","% of votes to Galluccio, Anthony D.","% of votes to Sullivan, Michael A.","% of votes to Murphy, Brian","% of votes to Toomey, Timothy J., Jr.","% of votes to Reeves, Kenneth E.","% of votes to Davis, Henrietta",% of votes to exhaust,percent_sum
"Adkins, Lawrence J.",243.0,16.46,9.05,20.16,0.0,0.0,3.29,3.7,22.22,9.05,16.05,99.99999999999999
"Condit, James E., III",42.0,11.9,9.52,7.14,0.0,9.52,2.38,2.38,2.38,11.9,42.86,100.0
"Davis, Henrietta",1459.0,0.14,0.0,1.1,0.0,0.0,0.96,0.0,0.27,97.4,0.14,100.0
"Decker, Marjorie C.",1524.0,0.46,94.75,1.44,0.0,0.0,0.46,0.13,0.52,1.97,0.26,99.99999999999997
"Galluccio, Anthony D.",2001.0,1.1,1.6,1.25,80.36,6.3,1.0,3.6,2.45,1.1,1.25,99.99999999999999
"Gordon, Jesse A.",626.0,22.84,13.26,10.06,0.0,0.0,12.62,2.08,7.03,11.82,20.29,100.0
"Green, Andre Lerone",181.0,21.55,3.31,9.39,0.0,5.52,5.52,9.94,5.52,3.87,35.36,99.99999999999999
"Hall, Robert Lee, Sr.",75.0,25.33,4.0,10.67,0.0,5.33,2.67,1.33,17.33,6.67,26.67,100.0
"Hees, Bill",198.0,31.31,2.53,3.54,0.0,0.0,7.58,10.1,2.02,5.05,37.88,100.0
"Kelley, Craig A.",1042.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"LaTremouille, Robert J.",118.0,25.42,5.08,7.63,0.0,7.63,7.63,1.69,11.02,10.17,23.73,99.99999999999999
"Maher, David P.",902.0,8.31,0.0,7.76,0.0,0.0,18.51,28.27,9.09,0.0,28.05,99.99999999999999
"Murphy, Brian",1236.0,0.32,0.0,0.0,0.0,0.0,98.46,0.0,0.32,0.0,0.89,99.99999999999999
"Reeves, Kenneth E.",1207.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,98.84,0.0,0.41,100.0
"Seidel, Sam",973.0,53.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.25,100.0
"Simmons, Denise",1330.0,0.68,0.0,94.89,0.0,0.0,0.98,0.0,3.01,0.0,0.45,100.0
"Sullivan, Michael A.",1464.0,0.14,0.07,0.0,0.0,99.39,0.07,0.2,0.07,0.0,0.07,99.99999999999999
"Toomey, Timothy J., Jr.",1432.0,1.82,0.0,3.91,0.0,0.0,2.93,84.64,6.15,0.0,0.56,100.0
writeIns,17.0,0.0,11.76,5.88,0.0,0.0,17.65,0.0,0.0,0.0,64.71,100.0
