D:\Cambridge\Election2005\Council\Tuesday\Council Detail Report


November 8, 2005 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA
Election-Night Preliminary Results

CANDIDATES:
	Adkins, Lawrence J.
	Condit, James E., III
	Davis, Henrietta
	Decker, Marjorie C.
	Galluccio, Anthony D.
	Gordon, Jesse A.
	Green, Andre Lerone
	Hall, Robert Lee, Sr.
	Hees, Bill
	Kelley, Craig A.
	LaTremouille, Robert J.
	Maher, David P.
	Murphy, Brian
	Reeves, Kenneth E.
	Seidel, Sam
	Simmons, Denise
	Sullivan, Michael A.
	Toomey, Timothy J., Jr.
	Write-In 1
	Write-In 2
	Write-In 3
	Write-In 4
	Write-In 5
	Write-In 6
	Write-In 7
	Write-In 8
	Write-In 9

ELECTION RULES:
               System:  Choice Voting
       Threshold Type:  Droop
    Surplus Transfers:  Random, every nth ballot (Cambridge style)
                        Avoid exhausted ballots if possible
                        Elected immediately (after the 1st round)
    Simultaneous Drop:  Those with less than 50 votes
                 Ties:  1) Previous Round method
                        2) By election official
                        3) Random (by computer)

--------------------------------------------------
15,897 valid ballots.
Electing 9 candidates.
Winning threshold is 1590 votes.
There were 97 invalid ballots.
(15,994 total ballots processed.)
--------------------------------------------------



********************************************************************************


ROUND 1 -- Tally of 1st place votes.

CANDIDATE                   THIS ROUND          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Galluccio, Anthony D.            +1980           1980  ELECTED -- 1st round
Decker, Marjorie C.              +1505           1505  CONTINUING
Sullivan, Michael A.             +1450           1450  CONTINUING
Davis, Henrietta                 +1446           1446  CONTINUING
Toomey, Timothy J., Jr.          +1418           1418  CONTINUING
Simmons, Denise                  +1320           1320  CONTINUING
Murphy, Brian                    +1229           1229  CONTINUING
Reeves, Kenneth E.               +1191           1191  CONTINUING
Kelley, Craig A.                 +1033           1033  CONTINUING
Seidel, Sam                       +967            967  CONTINUING
Maher, David P.                   +896            896  CONTINUING
Gordon, Jesse A.                  +615            615  CONTINUING
Adkins, Lawrence J.               +239            239  CONTINUING
Hees, Bill                        +195            195  CONTINUING
Green, Andre Lerone               +178            178  CONTINUING
LaTremouille, Robert J.           +116            116  CONTINUING
Hall, Robert Lee, Sr.              +75             75  CONTINUING
Condit, James E., III              +41             41  CONTINUING
Write-In 1                          +3              3  CONTINUING
Write-In 2                           0              0  CONTINUING
Write-In 3                           0              0  CONTINUING
Write-In 4                           0              0  CONTINUING
Write-In 5                           0              0  CONTINUING
Write-In 6                           0              0  CONTINUING
Write-In 7                           0              0  CONTINUING
Write-In 8                           0              0  CONTINUING
Write-In 9                           0              0  CONTINUING

EXHAUSTED PILE:                      0              0  
TOTALS:                         +15897          15897  



-- Galluccio, Anthony D. has been ELECTED because s/he has met the threshold.


********************************************************************************


ROUND 2 -- Galluccio, Anthony D. has been ELECTED -- transferring surplus votes.

CANDIDATE                   THIS ROUND          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Galluccio, Anthony D.             -390           1590  ELECTED -- 1st round
Sullivan, Michael A.              +124           1574  CONTINUING
Decker, Marjorie C.                +34           1539  CONTINUING
Davis, Henrietta                   +23           1469  CONTINUING
Toomey, Timothy J., Jr.            +50           1468  CONTINUING
Simmons, Denise                    +16           1336  CONTINUING
Murphy, Brian                      +14           1243  CONTINUING
Reeves, Kenneth E.                 +32           1223  CONTINUING
Kelley, Craig A.                   +16           1049  CONTINUING
Seidel, Sam                         +6            973  CONTINUING
Maher, David P.                    +51            947  CONTINUING
Gordon, Jesse A.                   +10            625  CONTINUING
Adkins, Lawrence J.                 +3            242  CONTINUING
Hees, Bill                          +2            197  CONTINUING
Green, Andre Lerone                 +3            181  CONTINUING
LaTremouille, Robert J.             +2            118  CONTINUING
Hall, Robert Lee, Sr.               +4             79  CONTINUING
Condit, James E., III                0             41  DEFEATED -- 2nd round
Write-In 1                           0              3  DEFEATED -- 2nd round
Write-In 2                           0              0  DEFEATED -- 2nd round
Write-In 3                           0              0  DEFEATED -- 2nd round
Write-In 4                           0              0  DEFEATED -- 2nd round
Write-In 5                           0              0  DEFEATED -- 2nd round
Write-In 6                           0              0  DEFEATED -- 2nd round
Write-In 7                           0              0  DEFEATED -- 2nd round
Write-In 8                           0              0  DEFEATED -- 2nd round
Write-In 9                           0              0  DEFEATED -- 2nd round

EXHAUSTED PILE:                      0              0  
TOTALS:                              0          15897  



-- Write-In 9 is declared DEFEATED, as s/he has less than 50 votes.
-- Write-In 8 is declared DEFEATED, as s/he has less than 50 votes.
-- Write-In 7 is declared DEFEATED, as s/he has less than 50 votes.
-- Write-In 6 is declared DEFEATED, as s/he has less than 50 votes.
-- Write-In 5 is declared DEFEATED, as s/he has less than 50 votes.
-- Write-In 4 is declared DEFEATED, as s/he has less than 50 votes.
-- Write-In 3 is declared DEFEATED, as s/he has less than 50 votes.
-- Write-In 2 is declared DEFEATED, as s/he has less than 50 votes.
-- Write-In 1 is declared DEFEATED, as s/he has less than 50 votes.
-- Condit, James E., III is declared DEFEATED, as s/he has less than 50 votes.


********************************************************************************


ROUND 3 -- Transferring all votes simultaneously from all defeated candidates.

CANDIDATE                   THIS ROUND          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Galluccio, Anthony D.                0           1590  ELECTED -- 1st round
Sullivan, Michael A.                +3           1577  CONTINUING
Decker, Marjorie C.                 +5           1544  CONTINUING
Davis, Henrietta                    +5           1474  CONTINUING
Toomey, Timothy J., Jr.             +1           1469  CONTINUING
Simmons, Denise                     +1           1337  CONTINUING
Murphy, Brian                        0           1243  CONTINUING
Reeves, Kenneth E.                   0           1223  CONTINUING
Kelley, Craig A.                     0           1049  CONTINUING
Seidel, Sam                         +3            976  CONTINUING
Maher, David P.                     +3            950  CONTINUING
Gordon, Jesse A.                    +3            628  CONTINUING
Adkins, Lawrence J.                 +2            244  CONTINUING
Hees, Bill                          +5            202  CONTINUING
Green, Andre Lerone                 +2            183  CONTINUING
LaTremouille, Robert J.             +2            120  CONTINUING
Hall, Robert Lee, Sr.               +2             81  DEFEATED -- 3rd round
Condit, James E., III              -41              0  DEFEATED -- 2nd round
Write-In 1                          -3              0  DEFEATED -- 2nd round
Write-In 2                           0              0  DEFEATED -- 2nd round
Write-In 3                           0              0  DEFEATED -- 2nd round
Write-In 4                           0              0  DEFEATED -- 2nd round
Write-In 5                           0              0  DEFEATED -- 2nd round
Write-In 6                           0              0  DEFEATED -- 2nd round
Write-In 7                           0              0  DEFEATED -- 2nd round
Write-In 8                           0              0  DEFEATED -- 2nd round
Write-In 9                           0              0  DEFEATED -- 2nd round

EXHAUSTED PILE:                     +7              7  
TOTALS:                              0          15897  



-- Hall, Robert Lee, Sr. is declared DEFEATED because s/he has the lowest
   number of votes.


********************************************************************************


ROUND 4 -- Hall, Robert Lee, Sr. has been DEFEATED -- transferring all votes.

CANDIDATE                   THIS ROUND          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Galluccio, Anthony D.                0           1590  ELECTED -- 1st round
Sullivan, Michael A.                +6           1583  CONTINUING
Decker, Marjorie C.                 +2           1546  CONTINUING
Davis, Henrietta                    +3           1477  CONTINUING
Toomey, Timothy J., Jr.             +1           1470  CONTINUING
Simmons, Denise                     +7           1344  CONTINUING
