"condorcet winner: Cheung, Leland","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Cheung, Leland",,58.52,63.74,70.42,61.33,84.30,90.79,93.25,82.07,92.82,66.96,69.18,59.82,84.40,64.29,71.71,90.11,70.55,99.07
"Davis, Henrietta",41.48,,58.46,65.31,56.31,78.81,87.22,90.90,77.76,90.78,60.50,63.18,53.77,78.70,58.29,66.35,87.50,64.42,98.74
"Decker, Marjorie C.",36.26,41.54,,59.63,49.69,74.91,85.30,89.40,72.93,89.46,55.24,55.86,47.35,73.78,52.96,60.43,85.20,58.40,98.54
"Kelley, Craig A.",29.58,34.69,40.37,,42.25,71.82,82.13,86.99,68.19,85.81,47.26,47.91,39.54,70.34,45.20,54.80,82.00,51.77,98.25
"Maher, David P.",38.67,43.69,50.31,57.75,,77.54,86.44,90.35,74.49,89.40,56.30,57.20,47.91,75.88,56.83,63.21,85.88,59.55,98.72
"Marquardt, Charles J.",15.70,21.19,25.09,28.18,22.46,,70.65,78.49,49.15,74.74,28.19,28.12,23.55,50.62,26.52,33.63,67.08,30.44,96.65
"Mello, Gary W.",9.21,12.78,14.70,17.87,13.56,29.35,,67.46,34.35,62.81,17.52,17.79,13.81,35.19,16.31,20.12,51.27,19.17,94.84
"Moree, Gregg J.",6.75,9.10,10.60,13.01,9.65,21.51,32.54,,26.15,51.33,12.57,13.00,9.74,27.15,11.96,14.32,41.15,14.36,93.43
"Nelson, Matthew P.",17.93,22.24,27.07,31.81,25.51,50.85,65.65,73.85,,76.99,30.83,30.14,25.24,53.29,30.12,36.21,69.28,33.12,97.00
"Pascual, Jamake",7.18,9.22,10.54,14.19,10.60,25.26,37.19,48.67,23.01,,12.91,14.18,9.66,29.73,13.30,16.03,44.61,15.69,93.73
"Reeves, Kenneth E.",33.04,39.50,44.76,52.74,43.70,71.81,82.48,87.43,69.17,87.09,,51.68,41.76,71.95,51.01,58.58,83.98,54.17,98.42
"Seidel, Sam",30.82,36.82,44.14,52.09,42.80,71.88,82.21,87.00,69.86,85.82,48.32,,43.31,72.75,50.26,58.21,83.90,54.86,98.41
"Simmons, E. Denise",40.18,46.23,52.65,60.46,52.09,76.45,86.19,90.26,74.76,90.34,58.24,56.69,,76.81,58.69,65.95,87.69,61.30,98.70
"Stohlman, Jr., Thomas J.",15.60,21.30,26.22,29.66,24.12,49.38,64.81,72.85,46.71,70.27,28.05,27.25,23.19,,29.38,35.05,69.31,29.80,96.67
"Toomey, Jr., Timothy J.",35.71,41.71,47.04,54.80,43.17,73.48,83.69,88.04,69.88,86.70,48.99,49.74,41.31,70.62,,58.70,84.50,54.85,98.63
"Ward, Larry W.",28.29,33.65,39.57,45.20,36.79,66.37,79.88,85.68,63.79,83.97,41.42,41.79,34.05,64.95,41.30,,82.96,44.96,98.13
"Williamson, James M.",9.89,12.50,14.80,18.00,14.12,32.92,48.73,58.85,30.72,55.39,16.02,16.10,12.31,30.69,15.50,17.04,,16.48,94.61
"vanBeuzekom, Minka Y.",29.45,35.58,41.60,48.23,40.45,69.56,80.83,85.64,66.88,84.31,45.83,45.14,38.70,70.20,45.15,55.04,83.52,,98.24
writeIns,0.93,1.26,1.46,1.75,1.28,3.35,5.16,6.57,3.00,6.27,1.58,1.59,1.30,3.33,1.37,1.87,5.39,1.76,
