"condorcet winner: Davis, Henrietta","Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",writeIns
"Adkins, Lawrence J.",,1935.00,1427.00,1430.00,1448.00,1602.00,1791.00,1829.00,1793.00,1494.00,1844.00,1608.00,1490.00,1307.00,1468.00,1176.00,1356.00,1521.00,2312.00
"Condit, James E., III",779.00,,747.00,776.00,728.00,887.00,964.00,982.00,921.00,841.00,1021.00,786.00,769.00,753.00,795.00,692.00,669.00,740.00,1487.00
"Davis, Henrietta",7280.00,7557.00,,5125.00,6006.00,6850.00,7501.00,7577.00,7519.00,6463.00,7503.00,6509.00,5586.00,5984.00,6165.00,5333.00,5962.00,6505.00,7859.00
"Decker, Marjorie C.",7494.00,7760.00,5108.00,,6186.00,7121.00,7747.00,7802.00,7768.00,6700.00,7722.00,6716.00,6055.00,6293.00,6510.00,5650.00,6051.00,6641.00,8093.00
"Galluccio, Anthony D.",7514.00,7750.00,5942.00,5744.00,,7335.00,7686.00,7782.00,7691.00,6924.00,7757.00,6325.00,6479.00,6357.00,6848.00,6152.00,5499.00,6191.00,8062.00
"Gordon, Jesse A.",3257.00,3385.00,2224.00,2193.00,2759.00,,3422.00,3459.00,3426.00,2788.00,3442.00,3004.00,2468.00,2866.00,2618.00,2443.00,2837.00,3085.00,3878.00
"Green, Andre Lerone",1437.00,1525.00,1096.00,1123.00,1095.00,1179.00,,1601.00,1533.00,1336.00,1617.00,1319.00,1261.00,1205.00,1316.00,1134.00,1148.00,1268.00,2027.00
"Hall, Robert Lee, Sr.",1149.00,1233.00,881.00,874.00,778.00,955.00,1014.00,,1263.00,1104.00,1311.00,1033.00,1020.00,888.00,1117.00,836.00,830.00,983.00,1737.00
"Hees, Bill",1336.00,1383.00,1030.00,1038.00,982.00,1106.00,1150.00,1251.00,,1245.00,1472.00,1167.00,1146.00,1150.00,1235.00,1094.00,1023.00,1166.00,1882.00
"Kelley, Craig A.",4003.00,4153.00,2983.00,3058.00,3285.00,3495.00,3955.00,4027.00,3941.00,,4173.00,3613.00,3221.00,3599.00,3180.00,3223.00,3424.00,3745.00,4588.00
"LaTremouille, Robert J.",1259.00,1357.00,920.00,903.00,947.00,1067.00,1221.00,1252.00,1196.00,989.00,,1169.00,1061.00,1069.00,1153.00,971.00,966.00,1102.00,1833.00
"Maher, David P.",5743.00,5937.00,4029.00,4081.00,3465.00,5427.00,5798.00,5902.00,5782.00,5064.00,5818.00,,4528.00,4820.00,5053.00,4459.00,3726.00,4522.00,6266.00
"Murphy, Brian",6215.00,6392.00,4128.00,4145.00,4658.00,5644.00,6275.00,6359.00,6289.00,5332.00,6290.00,4903.00,,5255.00,5216.00,4669.00,4817.00,5375.00,6697.00
"Reeves, Kenneth E.",6009.00,6230.00,4329.00,4065.00,4475.00,5494.00,6092.00,6187.00,6140.00,5448.00,6152.00,5045.00,4643.00,,5359.00,4170.00,4697.00,5194.00,6511.00
"Seidel, Sam",4298.00,4448.00,3077.00,3210.00,3698.00,3703.00,4299.00,4370.00,4302.00,3576.00,4312.00,3847.00,3112.00,3730.00,,3358.00,3819.00,4086.00,4848.00
"Simmons, Denise",7101.00,7371.00,4845.00,4749.00,5672.00,6567.00,7229.00,7320.00,7281.00,6285.00,7245.00,6178.00,5418.00,5413.00,5980.00,,5963.00,6496.00,7629.00
"Sullivan, Michael A.",7381.00,7570.00,5860.00,5758.00,4824.00,7099.00,7410.00,7509.00,7402.00,6674.00,7464.00,5831.00,6108.00,6049.00,6652.00,5723.00,,6020.00,7824.00
"Toomey, Timothy J., Jr.",5516.00,5682.00,4507.00,4398.00,3580.00,5329.00,5546.00,5616.00,5554.00,5154.00,5592.00,4206.00,4636.00,4408.00,5136.00,4262.00,3230.00,,5942.00
writeIns,101.00,109.00,85.00,74.00,79.00,82.00,97.00,102.00,102.00,83.00,99.00,95.00,85.00,84.00,82.00,71.00,85.00,92.00,
