"condorcet winner: Galluccio, Anthony D.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
"Condit, James E., III",,769.00,754.00,1071.00,583.00,1021.00,1010.00,1022.00,969.00,908.00,721.00,788.00,1008.00,853.00,774.00,734.00,617.00,655.00,917.00,1437.00
"Davis, Henrietta",8304.00,,5781.00,8318.00,6232.00,8175.00,7991.00,8058.00,8326.00,7362.00,6989.00,5976.00,8290.00,6677.00,6753.00,5923.00,6906.00,7178.00,8296.00,8572.00
"Decker, Marjorie C.",7909.00,5262.00,,7924.00,5764.00,7828.00,7614.00,7709.00,7949.00,7124.00,6553.00,6026.00,7912.00,6606.00,6506.00,5817.00,6340.00,6629.00,7920.00,8195.00
"Dixon, Vincent Lawrence",1216.00,859.00,821.00,,856.00,1315.00,1253.00,1263.00,1308.00,1130.00,977.00,1049.00,1299.00,1052.00,967.00,870.00,840.00,896.00,1256.00,1690.00
"Galluccio, Anthony D.",9272.00,7415.00,7250.00,9224.00,,9170.00,9017.00,9167.00,9226.00,8503.00,7776.00,7944.00,9243.00,8329.00,7933.00,7712.00,7288.00,7663.00,9302.00,9504.00
"Hall, Robert L.",1564.00,1072.00,983.00,1525.00,868.00,,1606.00,1646.00,1653.00,1419.00,1142.00,1257.00,1642.00,1368.00,1199.00,1106.00,1096.00,1176.00,1593.00,2022.00
"Horowitz, Jacob",3180.00,1189.00,1908.00,3134.00,2411.00,2995.00,,3049.00,3251.00,2200.00,2774.00,1647.00,3201.00,1917.00,2607.00,1593.00,2782.00,2842.00,3174.00,3582.00
"Iskovitz, Steve",1893.00,1176.00,1142.00,1837.00,1382.00,1750.00,1458.00,,1960.00,1594.00,1649.00,1391.00,1923.00,1465.00,1523.00,1247.00,1617.00,1639.00,1897.00,2311.00
"Jens, Steven E.",1239.00,951.00,961.00,1202.00,745.00,1147.00,1109.00,1137.00,,1186.00,921.00,1082.00,1278.00,1112.00,1044.00,1000.00,876.00,938.00,1275.00,1668.00
"King, Ethridge A.",4906.00,2431.00,3066.00,4841.00,3675.00,4711.00,3961.00,4533.00,4815.00,,4296.00,3068.00,4897.00,3459.00,3782.00,2660.00,4268.00,4422.00,4916.00,5248.00
"Maher, David P.",6585.00,4890.00,4787.00,6542.00,3257.00,6403.00,6298.00,6456.00,6496.00,5901.00,,5558.00,6583.00,5830.00,5499.00,5357.00,4403.00,4952.00,6635.00,6884.00
"Murphy, Brian",6679.00,4454.00,4701.00,6613.00,5185.00,6439.00,6091.00,6374.00,6613.00,5674.00,5608.00,,6707.00,5403.00,5868.00,4927.00,5760.00,6014.00,6677.00,7001.00
"Peixoto, Helder",1387.00,902.00,905.00,1373.00,748.00,1319.00,1253.00,1283.00,1322.00,1095.00,956.00,1015.00,,1215.00,1102.00,994.00,935.00,941.00,1433.00,1787.00
"Pitkin, John",5396.00,3240.00,3738.00,5332.00,4224.00,5240.00,4696.00,5063.00,5315.00,4287.00,4593.00,3161.00,5278.00,,4629.00,3720.00,4764.00,4873.00,5375.00,5710.00
"Reeves, Kenneth E.",6188.00,4293.00,3987.00,6130.00,3941.00,6014.00,5794.00,5936.00,6110.00,5360.00,4820.00,4729.00,6059.00,5188.00,,4378.00,4771.00,4989.00,6187.00,6441.00
"Simmons, Denise",7509.00,4936.00,5211.00,7447.00,5776.00,7287.00,6949.00,7145.00,7457.00,6357.00,6537.00,5296.00,7366.00,5825.00,5858.00,,6649.00,6763.00,7502.00,7745.00
"Sullivan, Michael A.",7206.00,5847.00,5709.00,7147.00,3795.00,7021.00,6986.00,7093.00,7093.00,6587.00,5076.00,6186.00,7106.00,6496.00,5928.00,5886.00,,5481.00,7246.00,7435.00
"Toomey, Timothy J., Jr.",6125.00,5026.00,4817.00,6071.00,3226.00,6051.00,5950.00,5998.00,6036.00,5611.00,4240.00,5414.00,6010.00,5552.00,4947.00,5075.00,3459.00,,6159.00,6355.00
"Williamson, James M.",1033.00,684.00,657.00,974.00,607.00,962.00,931.00,876.00,975.00,825.00,724.00,727.00,930.00,735.00,710.00,604.00,609.00,635.00,,1381.00
writeIns,134.00,96.00,86.00,137.00,96.00,128.00,132.00,121.00,133.00,120.00,110.00,107.00,129.00,121.00,111.00,102.00,107.00,110.00,136.00,
