condorcet winner: LIBBY SCHAAF,CAT BROOKS,CEDRIC A. TROUPE,JESSE A.J. SMITH,KEN HOUSTON,LIBBY SCHAAF,MARCHON TATMON,NANCY SIDEBOTHAM,PAMELA PRICE,PETER YUAN LIU,SAIED KARAMOOZ
CAT BROOKS,,94.26,95.57,92.48,36.51,89.99,91.39,56.68,95.33,89.03
CEDRIC A. TROUPE,5.74,,57.84,43.90,4.08,30.47,41.69,5.24,60.19,25.70
JESSE A.J. SMITH,4.43,42.16,,37.24,2.91,25.47,35.07,4.12,53.18,20.89
KEN HOUSTON,7.52,56.10,62.76,,5.19,35.75,47.02,7.03,65.50,30.38
LIBBY SCHAAF,63.49,95.92,97.09,94.81,,91.34,95.92,65.33,97.79,88.85
MARCHON TATMON,10.01,69.53,74.53,64.25,8.66,,61.56,7.64,76.92,43.59
NANCY SIDEBOTHAM,8.61,58.31,64.93,52.98,4.08,38.44,,7.42,68.09,32.22
PAMELA PRICE,43.32,94.76,95.88,92.97,34.67,92.36,92.58,,95.61,88.74
PETER YUAN LIU,4.67,39.81,46.82,34.50,2.21,23.08,31.91,4.39,,18.59
SAIED KARAMOOZ,10.97,74.30,79.11,69.62,11.15,56.41,67.78,11.26,81.41,
