"condorcet winner: Cheung, Leland","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"Benzan, Dennis A.",,4585.00,3870.00,4746.00,4508.00,5200.00,5250.00,4489.00,4543.00,4184.00,5274.00,5154.00,5375.00,5302.00,5174.00,4419.00,4443.00,3986.00,4684.00,4561.00,4877.00,4729.00,5224.00,5143.00,4194.00,5589.00
"Carlone, Dennis J.",3680.00,,3305.00,3898.00,3616.00,4387.00,4371.00,3912.00,3634.00,3769.00,4380.00,4328.00,4483.00,4449.00,4352.00,4024.00,3730.00,3726.00,3929.00,3986.00,4155.00,3967.00,4329.00,4283.00,3398.00,4736.00
"Cheung, Leland",8080.00,8194.00,,8672.00,8003.00,9292.00,9207.00,7949.00,8196.00,7882.00,9353.00,9212.00,9444.00,9400.00,9289.00,8139.00,8160.00,7509.00,8537.00,8087.00,8987.00,8640.00,9327.00,9272.00,7632.00,9593.00
"House, Janneke Ann",3076.00,2698.00,2303.00,,3039.00,3765.00,3773.00,3277.00,2839.00,3007.00,3810.00,3729.00,3899.00,3859.00,3693.00,3348.00,3061.00,2952.00,3231.00,3366.00,3526.00,3205.00,3734.00,3665.00,2762.00,4133.00
"Kelley, Craig A.",4871.00,4824.00,3392.00,5101.00,,5768.00,5725.00,4609.00,4967.00,4691.00,5777.00,5673.00,5889.00,5858.00,5745.00,4854.00,4827.00,4432.00,5191.00,4692.00,5498.00,5221.00,5776.00,5692.00,4380.00,6084.00
"Lee, James",1127.00,1186.00,762.00,1188.00,1106.00,,1544.00,1253.00,1257.00,1229.00,1547.00,1473.00,1650.00,1604.00,1484.00,1243.00,1232.00,1082.00,1313.00,1187.00,1317.00,1278.00,1500.00,1455.00,1085.00,1890.00
"Leslie, Logan Edward",1433.00,1428.00,1074.00,1400.00,1358.00,1527.00,,1367.00,1495.00,1493.00,1728.00,1659.00,1788.00,1756.00,1665.00,1497.00,1449.00,1366.00,1530.00,1406.00,1558.00,1494.00,1683.00,1645.00,1371.00,2053.00
"Maher, David P.",5455.00,5769.00,3893.00,5857.00,5112.00,6288.00,6222.00,,5858.00,5286.00,6459.00,6305.00,6522.00,6493.00,6365.00,5266.00,5466.00,4863.00,5833.00,5015.00,6142.00,5945.00,6437.00,6367.00,5247.00,6692.00
"Mazen, Nadeem A.",3977.00,3740.00,3413.00,4110.00,4014.00,4728.00,4782.00,4343.00,,4141.00,4935.00,4707.00,5032.00,4983.00,4878.00,4432.00,4266.00,4045.00,4397.00,4504.00,4614.00,4416.00,4900.00,4816.00,3786.00,5217.00
"McGovern, Marc C.",4931.00,5102.00,3957.00,5405.00,4963.00,5906.00,5904.00,4723.00,5101.00,,6072.00,5946.00,6154.00,6116.00,6009.00,5263.00,5124.00,4774.00,5430.00,5207.00,5773.00,5524.00,6029.00,5985.00,4828.00,6370.00
"Mello, Gary W.",939.00,904.00,690.00,980.00,877.00,1056.00,1062.00,880.00,831.00,854.00,,1149.00,1281.00,1255.00,1156.00,1012.00,1011.00,894.00,1075.00,918.00,1085.00,1043.00,1170.00,1151.00,882.00,1549.00
"Mirza, Mushtaque A.",1565.00,1551.00,1190.00,1596.00,1538.00,1777.00,1877.00,1605.00,1277.00,1466.00,1838.00,,2067.00,1995.00,1880.00,1662.00,1577.00,1449.00,1675.00,1692.00,1715.00,1635.00,1935.00,1871.00,1373.00,2287.00
"Moree, Gregg J.",534.00,593.00,407.00,609.00,506.00,621.00,651.00,466.00,520.00,485.00,633.00,569.00,,796.00,718.00,609.00,615.00,534.00,674.00,534.00,651.00,619.00,747.00,695.00,548.00,1104.00
"Peden, Ronald",700.00,727.00,543.00,760.00,704.00,844.00,857.00,684.00,622.00,681.00,847.00,788.00,885.00,,930.00,779.00,779.00,696.00,814.00,768.00,831.00,797.00,954.00,900.00,674.00,1314.00
"Phillips, Lesley Rebecca",1293.00,1309.00,867.00,1275.00,1180.00,1452.00,1507.00,1143.00,1128.00,1157.00,1488.00,1377.00,1546.00,1494.00,,1272.00,1304.00,1056.00,1372.00,1241.00,1413.00,1249.00,1595.00,1500.00,1107.00,1897.00
"Reeves, Kenneth E.",4587.00,5087.00,3417.00,5096.00,4596.00,5511.00,5469.00,4208.00,4882.00,4426.00,5574.00,5416.00,5641.00,5599.00,5473.00,,4847.00,3678.00,5079.00,4572.00,5338.00,5241.00,5652.00,5593.00,4561.00,5901.00
"Seidel, Sam",4502.00,4434.00,3160.00,4733.00,4216.00,5273.00,5345.00,4198.00,4477.00,3940.00,5359.00,5217.00,5473.00,5409.00,5269.00,4562.00,,4238.00,4796.00,4782.00,5191.00,4884.00,5485.00,5396.00,4065.00,5753.00
"Simmons, E. Denise",6078.00,6393.00,4628.00,6643.00,6017.00,7211.00,7235.00,5796.00,6306.00,5741.00,7303.00,7107.00,7361.00,7302.00,7161.00,5636.00,6103.00,,6634.00,6261.00,6992.00,6751.00,7358.00,7299.00,5838.00,7581.00
"Smith, Jefferson R.",3010.00,3069.00,2323.00,3222.00,3006.00,3621.00,3648.00,3066.00,2960.00,2778.00,3695.00,3570.00,3770.00,3725.00,3617.00,3217.00,2861.00,2805.00,,3312.00,3540.00,3344.00,3789.00,3753.00,2831.00,4078.00
"Toomey, Jr., Timothy J.",4917.00,5304.00,3876.00,5339.00,4805.00,5686.00,5595.00,4019.00,5181.00,4750.00,5728.00,5607.00,5786.00,5764.00,5660.00,4387.00,4916.00,4072.00,5172.00,,5569.00,5415.00,5809.00,5742.00,4867.00,6017.00
"Vasquez, Luis",1887.00,2146.00,1667.00,2220.00,2082.00,2457.00,2517.00,2101.00,1828.00,1961.00,2494.00,2380.00,2589.00,2503.00,2414.00,2039.00,2064.00,1736.00,2077.00,2012.00,,2286.00,2602.00,2546.00,1830.00,2876.00
"Von Hoffmann, Kristen Lane",3016.00,2853.00,2151.00,2920.00,2740.00,3461.00,3490.00,2912.00,2792.00,2678.00,3517.00,3407.00,3616.00,3537.00,3360.00,3005.00,2709.00,2573.00,2931.00,2997.00,3202.00,,3621.00,3557.00,2440.00,3877.00
"Williamson, James M.",837.00,838.00,695.00,927.00,812.00,1006.00,1057.00,847.00,768.00,818.00,1012.00,944.00,1074.00,1025.00,933.00,827.00,787.00,686.00,815.00,788.00,794.00,740.00,,1025.00,662.00,1405.00
"Yarden, Elie",1090.00,1081.00,818.00,1102.00,1024.00,1226.00,1298.00,1060.00,947.00,1033.00,1259.00,1170.00,1330.00,1278.00,1125.00,1009.00,1010.00,846.00,1048.00,989.00,1014.00,898.00,1138.00,,808.00,1626.00
"vanBeuzekom, Minka Y.",5496.00,5178.00,3950.00,5619.00,4958.00,6318.00,6314.00,5302.00,5195.00,5184.00,6366.00,6226.00,6494.00,6421.00,6282.00,5328.00,5230.00,4650.00,5590.00,5383.00,6131.00,5828.00,6454.00,6373.00,,6675.00
writeIns,92.00,100.00,78.00,98.00,96.00,106.00,100.00,99.00,91.00,88.00,107.00,100.00,110.00,111.00,108.00,94.00,95.00,90.00,99.00,86.00,102.00,105.00,115.00,112.00,93.00,
