"condorcet winner: Cheung, Leland","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"Benzan, Dennis A.",,55.47,32.38,60.68,48.06,82.19,78.56,45.14,53.32,45.90,84.89,76.71,90.96,88.34,80.01,49.07,49.67,39.61,60.88,48.12,72.10,61.06,86.19,82.51,43.28,98.38
"Carlone, Dennis J.",44.53,,28.74,59.10,42.84,78.72,75.38,40.41,49.28,42.49,82.89,73.62,88.32,85.95,76.88,44.17,45.69,36.82,56.14,42.91,65.94,58.17,83.78,79.85,39.62,97.93
"Cheung, Leland",67.62,71.26,,79.02,70.23,92.42,89.55,67.13,70.60,66.58,93.13,88.56,95.87,94.54,91.46,70.43,72.08,61.87,78.61,67.60,84.35,80.07,93.07,91.89,65.90,99.19
"House, Janneke Ann",39.32,40.90,20.98,,37.33,76.01,72.94,35.88,40.85,35.75,79.54,70.03,86.49,83.55,74.34,39.65,39.27,30.77,50.07,38.67,61.36,52.33,80.11,76.88,32.96,97.68
"Kelley, Craig A.",51.94,57.16,29.77,62.67,,83.91,80.83,47.41,55.31,48.59,86.82,78.67,92.09,89.27,82.96,51.37,53.38,42.42,63.33,49.41,72.53,65.58,87.67,84.75,46.91,98.45
"Lee, James",17.81,21.28,7.58,23.99,16.09,,50.28,16.62,21.00,17.22,59.43,45.32,72.66,65.52,50.54,18.40,18.94,13.05,26.61,17.27,34.90,26.97,59.86,54.27,14.66,94.69
"Leslie, Logan Edward",21.44,24.62,10.45,27.06,19.17,49.72,,18.01,23.82,20.18,61.94,46.92,73.31,67.20,52.49,21.49,21.33,15.88,29.55,20.08,38.23,29.98,61.42,55.90,17.84,95.36
"Maher, David P.",54.86,59.59,32.87,64.12,52.59,83.38,81.99,,57.43,52.81,88.01,79.71,93.33,90.47,84.78,55.58,56.56,45.62,65.55,55.51,74.51,67.12,88.37,85.73,49.74,98.54
"Mazen, Nadeem A.",46.68,50.72,29.40,59.15,44.69,79.00,76.18,42.57,,44.81,85.59,78.66,90.63,88.90,81.22,47.58,48.79,39.08,59.77,46.50,71.62,61.27,86.45,83.57,42.16,98.29
"McGovern, Marc C.",54.10,57.51,33.42,64.25,51.41,82.78,79.82,47.19,55.19,,87.67,80.22,92.69,89.98,83.85,54.32,56.53,45.40,66.15,52.29,74.64,67.35,88.05,85.28,48.22,98.64
