ballotID,rank1,rank2,rank3,duplicates,exhausted,exhausted_by_abstention,exhausted_by_overvote,exhausted_by_rank_limit,exhausted_by_skipvote,first_round_overvote_bool,fully_ranked,modified_fully_ranked,overvote,ranked_multiple_bool,ranked_single_bool,skipped,undervote,irregular_bool
22183,skipped,skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
22186,"Curry, Glenn Chip",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22190,"Pattavina, Charles F.","Curry, Glenn Chip","Stanicki, Robyn M.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
22191,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
22192,"Curry, Glenn Chip","Curry, Glenn Chip","Curry, Glenn Chip",True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
22197,"Pattavina, Charles F.",skipped,skipped,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
22198,"Pattavina, Charles F.","Stanicki, Robyn M.",skipped,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
22199,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
22204,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
22209,skipped,skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
22212,skipped,skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
22214,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
22215,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
22217,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
22219,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
22223,"Stanicki, Robyn M.",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22226,"Pattavina, Charles F.","Stanicki, Robyn M.",skipped,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
22227,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
