Precinct,rank1,rank2,rank3,weight
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-6 P-05,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-11,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-01,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Charles Exner,AK Hassan,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-2 P-11,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-03,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-01,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-05,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-01,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-02,Charles Exner,UWI,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-03,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Charles Exner,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-08,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-6 P-03,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-08,AK Hassan,undervote,undervote,1
