Precinct,rank1,rank2,rank3,weight
MINNEAPOLIS W-8 P-02,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-03,Andrea Jenkins,Terry White,April Kane,1
MINNEAPOLIS W-8 P-02,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-05,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-07,Terry White,Andrea Jenkins,undervote,1
MINNEAPOLIS W-8 P-06,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-07,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-08,Terry White,David Holsinger,undervote,1
MINNEAPOLIS W-8 P-07,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-05,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-05,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-03,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-05,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-06,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-05,Andrea Jenkins,April Kane,undervote,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,Terry White,April Kane,1
MINNEAPOLIS W-8 P-04,Andrea Jenkins,April Kane,undervote,1
MINNEAPOLIS W-8 P-06,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-04,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-07,April Kane,Andrea Jenkins,Terry White,1
MINNEAPOLIS W-8 P-05,Andrea Jenkins,Andrea Jenkins,April Kane,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-05,Andrea Jenkins,April Kane,undervote,1
MINNEAPOLIS W-8 P-07,Andrea Jenkins,April Kane,undervote,1
MINNEAPOLIS W-8 P-05,Terry White,Andrea Jenkins,April Kane,1
MINNEAPOLIS W-8 P-06,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-05,Terry White,Andrea Jenkins,undervote,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-02,UWI,undervote,undervote,1
MINNEAPOLIS W-8 P-02,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,April Kane,undervote,1
MINNEAPOLIS W-8 P-07,Terry White,Andrea Jenkins,April Kane,1
MINNEAPOLIS W-8 P-04,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-06,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-06,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-02,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-07,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-07,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-07,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-03,Terry White,undervote,undervote,1
MINNEAPOLIS W-8 P-07,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-02,David Holsinger,undervote,undervote,1
MINNEAPOLIS W-8 P-03,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-06,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-01,David Holsinger,Andrea Jenkins,April Kane,1
MINNEAPOLIS W-8 P-02,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-02,Terry White,Andrea Jenkins,David Holsinger,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-07,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-01,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-05,Andrea Jenkins,April Kane,undervote,1
MINNEAPOLIS W-8 P-03,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-07,Andrea Jenkins,undervote,undervote,1
MINNEAPOLIS W-8 P-03,Andrea Jenkins,Terry White,April Kane,1
MINNEAPOLIS W-8 P-01,Andrea Jenkins,Terry White,undervote,1
MINNEAPOLIS W-8 P-03,Andrea Jenkins,April Kane,Terry White,1
MINNEAPOLIS W-8 P-08,Andrea Jenkins,Terry White,undervote,1
