Ballots with first choice:,Number of Ballots,"% of votes to Maher, David P.","% of votes to Carlone, Dennis J.","% of votes to Benzan, Dennis A.","% of votes to Cheung, Leland","% of votes to Kelley, Craig A.","% of votes to McGovern, Marc C.","% of votes to Simmons, E. Denise","% of votes to Toomey, Jr., Timothy J.","% of votes to Mazen, Nadeem A.",% of votes to exhaust,percent_sum
"Benzan, Dennis A.",1300.0,0.0,0.92,97.0,0.0,0.69,1.0,0.0,0.0,0.31,0.08,100.0
"Carlone, Dennis J.",1151.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Cheung, Leland",2391.0,3.47,1.67,1.38,74.19,4.64,4.22,3.43,1.34,2.8,2.84,100.0
"House, Janneke Ann",409.0,6.11,18.58,6.36,0.0,13.2,9.05,7.33,2.69,22.74,13.94,99.99999999999999
"Kelley, Craig A.",1093.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
"Lee, James",91.0,5.49,5.49,6.59,0.0,3.3,12.09,14.29,6.59,18.68,27.47,100.0
"Leslie, Logan Edward",504.0,13.1,5.95,4.96,0.0,9.13,6.75,2.58,8.73,6.35,42.46,100.0
"Maher, David P.",1463.0,96.58,0.48,0.27,0.0,0.41,0.41,0.62,1.09,0.0,0.14,99.99999999999997
"Mazen, Nadeem A.",985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"McGovern, Marc C.",1187.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Mello, Gary W.",107.0,5.61,24.3,5.61,0.0,22.43,6.54,0.0,4.67,11.21,19.63,100.0
"Mirza, Mushtaque A.",283.0,3.53,6.01,0.35,0.0,3.18,6.36,4.24,3.53,35.69,37.1,99.99999999999999
"Moree, Gregg J.",37.0,8.11,2.7,5.41,0.0,2.7,5.41,10.81,21.62,8.11,35.14,99.99999999999999
"Peden, Ronald",49.0,0.0,4.08,14.29,0.0,12.24,10.2,14.29,4.08,12.24,28.57,99.99999999999999
"Phillips, Lesley Rebecca",82.0,2.44,4.88,6.1,0.0,9.76,4.88,18.29,7.32,18.29,28.05,100.0
"Reeves, Kenneth E.",933.0,0.0,2.79,16.4,0.0,7.18,5.89,36.55,8.47,3.54,19.19,100.0
"Seidel, Sam",701.0,10.13,14.12,6.28,0.0,17.4,15.98,8.42,3.57,9.27,14.84,99.99999999999999
"Simmons, E. Denise",1183.0,0.0,0.85,2.79,0.0,2.03,2.87,88.59,0.0,1.52,1.35,100.0
"Smith, Jefferson R.",579.0,7.25,10.88,8.46,0.0,8.29,13.64,9.67,6.91,17.44,17.44,100.0
"Toomey, Jr., Timothy J.",1456.0,0.0,0.07,0.48,0.0,0.27,0.07,0.0,98.83,0.14,0.14,100.0
"Vasquez, Luis",263.0,6.46,4.94,19.77,0.0,5.7,11.03,11.03,9.13,12.17,19.77,100.0
"Von Hoffmann, Kristen Lane",420.0,5.95,10.48,9.05,0.0,17.62,12.62,9.29,5.24,11.9,17.86,100.0
"Williamson, James M.",74.0,1.35,31.08,6.76,0.0,5.41,2.7,12.16,5.41,14.86,20.27,100.00000000000001
"Yarden, Elie",102.0,4.9,12.75,15.69,0.0,8.82,9.8,7.84,0.98,27.45,11.76,100.0
"vanBeuzekom, Minka Y.",872.0,0.0,21.79,0.0,0.0,22.25,16.51,0.0,0.0,14.91,24.54,100.0
writeIns,15.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,0.0,86.67,99.99999999999999
