Ballots with first choice:,Number of Ballots,"% of votes to Galluccio, Anthony D.","% of votes to Toomey, Timothy J., Jr.","% of votes to Sullivan, Michael A.","% of votes to Davis, Henrietta","% of votes to Decker, Marjorie C.","% of votes to Murphy, Brian","% of votes to Simmons, Denise","% of votes to Reeves, Kenneth E.","% of votes to Maher, David P.",% of votes to exhaust,percent_sum
"Bellew, Carole K.",735.0,0.0,6.8,5.99,0.0,14.56,16.73,15.92,6.12,12.38,21.5,99.99999999999999
"Davis, Henrietta",1846.0,0.0,0.0,0.0,99.4,0.16,0.22,0.05,0.11,0.05,0.0,100.0
"DeBergalis, Matt S.",1206.0,0.0,0.0,0.0,0.0,0.0,0.0,15.51,13.93,13.02,57.55,99.99999999999999
"Decker, Marjorie C.",1378.0,0.0,0.0,0.0,0.0,96.15,0.0,1.74,1.38,0.58,0.15,100.0
"Dixon, Vincent Lawrence",64.0,0.0,6.25,7.81,4.69,6.25,6.25,18.75,6.25,12.5,31.25,100.0
"Galluccio, Anthony D.",2994.0,67.1,5.24,8.15,1.7,1.7,1.44,1.84,3.21,8.78,0.84,99.99999999999999
"Greenwood, Dan J.",39.0,0.0,5.13,2.56,7.69,2.56,10.26,5.13,15.38,12.82,38.46,100.0
"Hall, Robert L., Sr.",96.0,0.0,5.21,6.25,6.25,6.25,5.21,15.62,7.29,13.54,34.38,100.0
"Kelley, Craig A.",992.0,0.0,6.75,0.0,0.0,16.43,16.43,10.89,7.96,14.42,27.12,99.99999999999999
"King, Ethridge A., Jr.",361.0,0.0,4.43,8.86,7.2,5.54,7.2,9.97,10.25,17.45,29.09,100.0
"LaTremouille, Robert J.",126.0,0.0,4.76,3.17,11.11,10.32,8.73,12.7,11.9,3.17,34.13,100.0
"Maher, David P.",1190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Murphy, Brian",1362.0,0.0,0.0,0.0,0.0,0.0,98.09,1.1,0.22,0.44,0.15,99.99999999999999
"Pitkin, John",1010.0,0.0,5.15,0.0,0.0,24.06,22.57,12.97,5.94,10.1,19.21,99.99999999999999
"Reeves, Kenneth E.",1525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
"Simmons, Denise",1181.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"Smith, Aimee Louise",480.0,0.0,3.54,4.17,8.33,10.62,8.54,28.96,9.38,3.33,23.12,99.99999999999999
"Sullivan, Michael A.",1656.0,0.0,0.54,99.21,0.0,0.0,0.0,0.06,0.06,0.06,0.06,100.00000000000001
"Taymorberry, Laurie",188.0,0.0,5.85,4.26,14.89,10.64,10.11,17.02,7.98,3.19,26.06,99.99999999999999
"Toomey, Timothy J., Jr.",1613.0,0.0,99.94,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,99.99999999999999
writeIns,38.0,0.0,2.63,5.26,7.89,5.26,5.26,2.63,10.53,2.63,57.89,99.99999999999999
