C:\Cambridge\Election2011\Council\Tuesday\Council Tabular Report (Delimited)
November 8, 2011 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Preliminary Results (Election Night)

15,393 valid ballots.
Electing 9 candidates.
Quota is 1540 votes.
There were no invalid ballots.
(15,393 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|
Cheung, Leland|1974.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|ELECTED -- 1st count
Davis, Henrietta|1407.0000000000|1498.0000000000|1505.0000000000|1516.0000000000|1516.0000000000|1518.0000000000|1521.0000000000|1528.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|ELECTED -- 9th count
Decker, Marjorie C.|1092.0000000000|1140.0000000000|1158.0000000000|1175.0000000000|1175.0000000000|1176.0000000000|1178.0000000000|1187.0000000000|1200.0000000000|1239.0000000000|1272.0000000000|1344.0000000000|1528.0000000000|1540.0000000000|ELECTED -- 14th count
Kelley, Craig A.|1075.0000000000|1122.0000000000|1134.0000000000|1145.0000000000|1145.0000000000|1151.0000000000|1154.0000000000|1162.0000000000|1172.0000000000|1224.0000000000|1362.0000000000|1403.0000000000|1540.0000000000|1540.0000000000|ELECTED -- 13th count
Maher, David P.|1636.0000000000|1636.0000000000|1636.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|ELECTED -- 1st count
Marquardt, Charles J.|488.0000000000|509.0000000000|515.0000000000|519.0000000000|519.0000000000|521.0000000000|524.0000000000|539.0000000000|546.0000000000|570.0000000000|0|0|0|0|DEFEATED -- 10th count
Mello, Gary W.|128.0000000000|134.0000000000|135.0000000000|136.0000000000|136.0000000000|142.0000000000|149.0000000000|0|0|0|0|0|0|0|DEFEATED -- 7th count
Moree, Gregg J.|54.0000000000|56.0000000000|59.0000000000|61.0000000000|61.0000000000|62.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
Nelson, Matthew P.|523.0000000000|534.0000000000|539.0000000000|542.0000000000|542.0000000000|544.0000000000|548.0000000000|557.0000000000|570.0000000000|589.0000000000|655.0000000000|0|0|0|DEFEATED -- 11th count
Pascual, Jamake|57.0000000000|58.0000000000|58.0000000000|59.0000000000|59.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
