ranks,ballotID,rank1,rank2,rank3
"['LORI DROSTE', 'MARY KAY LACEY', 'RUSS TILLEMAN']",1,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
"['LORI DROSTE', 'LORI DROSTE', 'LORI DROSTE']",2,LORI DROSTE,LORI DROSTE,LORI DROSTE
"['MARY KAY LACEY', 'skipped', 'skipped']",3,MARY KAY LACEY,skipped,skipped
"['LORI DROSTE', 'MARY KAY LACEY', 'ALFRED TWU']",4,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
"['LORI DROSTE', 'ALFRED TWU', 'MARY KAY LACEY']",5,LORI DROSTE,ALFRED TWU,MARY KAY LACEY
"['MARY KAY LACEY', 'LORI DROSTE', 'MARY KAY LACEY']",6,MARY KAY LACEY,LORI DROSTE,MARY KAY LACEY
"['LORI DROSTE', 'skipped', 'skipped']",7,LORI DROSTE,skipped,skipped
"['ALFRED TWU', 'RUSS TILLEMAN', 'MARY KAY LACEY']",8,ALFRED TWU,RUSS TILLEMAN,MARY KAY LACEY
"['LORI DROSTE', 'MARY KAY LACEY', 'RUSS TILLEMAN']",9,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
"['ALFRED TWU', 'ALFRED TWU', 'ALFRED TWU']",10,ALFRED TWU,ALFRED TWU,ALFRED TWU
"['LORI DROSTE', 'MARY KAY LACEY', 'ALFRED TWU']",11,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
"['LORI DROSTE', 'MARY KAY LACEY', 'RUSS TILLEMAN']",12,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
"['LORI DROSTE', 'MARY KAY LACEY', 'ALFRED TWU']",13,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
"['MARY KAY LACEY', 'LORI DROSTE', 'RUSS TILLEMAN']",14,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
"['MARY KAY LACEY', 'skipped', 'skipped']",15,MARY KAY LACEY,skipped,skipped
"['LORI DROSTE', 'skipped', 'skipped']",16,LORI DROSTE,skipped,skipped
"['LORI DROSTE', 'MARY KAY LACEY', 'skipped']",17,LORI DROSTE,MARY KAY LACEY,skipped
"['LORI DROSTE', 'MARY KAY LACEY', 'LORI DROSTE']",18,LORI DROSTE,MARY KAY LACEY,LORI DROSTE
"['LORI DROSTE', 'LORI DROSTE', 'MARY KAY LACEY']",19,LORI DROSTE,LORI DROSTE,MARY KAY LACEY
"['MARY KAY LACEY', 'LORI DROSTE', 'RUSS TILLEMAN']",20,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
"['MARY KAY LACEY', 'LORI DROSTE', 'RUSS TILLEMAN']",21,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
"['MARY KAY LACEY', 'ALFRED TWU', 'LORI DROSTE']",22,MARY KAY LACEY,ALFRED TWU,LORI DROSTE
"['skipped', 'LORI DROSTE', 'MARY KAY LACEY']",23,skipped,LORI DROSTE,MARY KAY LACEY
"['LORI DROSTE', 'MARY KAY LACEY', 'RUSS TILLEMAN']",24,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
"['LORI DROSTE', 'MARY KAY LACEY', 'skipped']",25,LORI DROSTE,MARY KAY LACEY,skipped
"['MARY KAY LACEY', 'ALFRED TWU', 'RUSS TILLEMAN']",26,MARY KAY LACEY,ALFRED TWU,RUSS TILLEMAN
"['LORI DROSTE', 'MARY KAY LACEY', 'skipped']",27,LORI DROSTE,MARY KAY LACEY,skipped
"['LORI DROSTE', 'MARY KAY LACEY', 'ALFRED TWU']",28,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
"['LORI DROSTE', 'LORI DROSTE', 'LORI DROSTE']",29,LORI DROSTE,LORI DROSTE,LORI DROSTE
"['MARY KAY LACEY', 'LORI DROSTE', 'RUSS TILLEMAN']",30,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
"['MARY KAY LACEY', 'LORI DROSTE', 'skipped']",31,MARY KAY LACEY,LORI DROSTE,skipped
"['MARY KAY LACEY', 'ALFRED TWU', 'RUSS TILLEMAN']",32,MARY KAY LACEY,ALFRED TWU,RUSS TILLEMAN
"['MARY KAY LACEY', 'ALFRED TWU', 'RUSS TILLEMAN']",33,MARY KAY LACEY,ALFRED TWU,RUSS TILLEMAN
"['MARY KAY LACEY', 'LORI DROSTE', 'ALFRED TWU']",34,MARY KAY LACEY,LORI DROSTE,ALFRED TWU
"['MARY KAY LACEY', 'RUSS TILLEMAN', 'skipped']",35,MARY KAY LACEY,RUSS TILLEMAN,skipped
"['LORI DROSTE', 'ALFRED TWU', 'RUSS TILLEMAN']",36,LORI DROSTE,ALFRED TWU,RUSS TILLEMAN
"['MARY KAY LACEY', 'LORI DROSTE', 'RUSS TILLEMAN']",37,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
"['LORI DROSTE', 'MARY KAY LACEY', 'skipped']",38,LORI DROSTE,MARY KAY LACEY,skipped
"['MARY KAY LACEY', 'RUSS TILLEMAN', 'ALFRED TWU']",39,MARY KAY LACEY,RUSS TILLEMAN,ALFRED TWU
"['MARY KAY LACEY', 'MARY KAY LACEY', 'ALFRED TWU']",40,MARY KAY LACEY,MARY KAY LACEY,ALFRED TWU
"['LORI DROSTE', 'MARY KAY LACEY', 'LORI DROSTE']",41,LORI DROSTE,MARY KAY LACEY,LORI DROSTE
"['LORI DROSTE', 'MARY KAY LACEY', 'skipped']",42,LORI DROSTE,MARY KAY LACEY,skipped
