"condorcet winner: Davis, Henrietta","Adkins, Lawrence J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.",Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6,Write-In 7,Write-In 8,Write-In 9,"vanBeuzekom, Minka Y."
"Adkins, Lawrence J.",,22.70,11.49,33.06,52.16,35.02,16.68,44.69,15.13,37.15,62.28,49.98,14.69,14.56,9.63,30.77,21.59,13.83,14.13,51.76,96.09,96.83,99.66,99.77,99.89,100.00,99.94,99.94,22.47
"Cheung, Leland",77.30,,28.41,58.15,81.54,67.93,41.61,76.81,39.23,69.41,86.13,81.33,41.12,37.34,29.82,65.22,51.57,37.80,42.30,81.85,98.70,98.86,99.89,99.91,99.93,99.98,99.98,99.98,52.53
"Davis, Henrietta",88.51,71.59,,75.41,89.52,84.29,66.34,87.80,62.86,83.04,92.48,90.54,63.23,63.43,52.01,81.39,69.16,59.11,66.32,90.40,99.39,99.39,99.90,99.95,99.95,99.98,99.98,99.98,74.07
"Decker, Marjorie C.",66.94,41.85,24.59,,66.46,55.08,34.95,61.86,32.29,57.34,73.29,67.83,36.20,32.49,25.92,52.72,43.96,32.66,36.53,70.58,97.84,97.88,99.78,99.84,99.87,99.94,99.94,99.94,44.44
"Flanagan, Mark F.",47.84,18.46,10.48,33.54,,37.48,17.90,47.32,14.82,39.20,65.59,53.97,17.33,15.32,11.47,32.35,21.29,13.42,16.88,54.01,95.95,96.62,99.55,99.72,99.78,99.89,99.89,99.89,24.21
"Glick, Silvia P.",64.98,32.07,15.71,44.92,62.52,,26.46,63.16,25.75,55.76,77.68,69.49,27.79,23.82,17.88,47.71,36.92,24.78,27.77,70.66,97.64,98.06,99.78,99.86,99.93,100.00,99.96,99.96,36.30
"Kelley, Craig A.",83.32,58.39,33.66,65.05,82.10,73.54,,81.32,48.24,76.78,89.30,84.25,49.80,48.03,37.93,72.39,58.80,45.49,51.94,86.00,99.04,99.06,99.86,99.95,99.95,99.98,99.98,99.98,62.40
"Leavitt, Neal W.",55.31,23.19,12.20,38.14,52.68,36.84,18.68,,19.03,45.76,71.47,59.75,21.60,17.56,14.17,37.84,28.36,18.20,21.01,61.43,97.04,97.30,99.63,99.77,99.81,99.91,99.91,99.91,27.73
"Maher, David P.",84.87,60.77,37.14,67.71,85.18,74.25,51.76,80.97,,77.90,91.68,85.98,53.54,49.90,39.90,74.39,65.36,50.30,55.65,87.58,98.99,99.17,99.92,99.97,99.97,100.00,100.00,99.98,64.12
"Marquardt, Charles J.",62.85,30.59,16.96,42.66,60.80,44.24,23.22,54.24,22.10,,77.07,66.66,25.94,23.09,18.12,45.53,34.12,21.89,26.11,68.77,97.23,97.72,99.76,99.88,99.88,99.96,99.96,99.96,34.06
"Moree, Gregg J.",37.72,13.87,7.52,26.71,34.41,22.32,10.70,28.53,8.32,22.93,,41.57,11.59,11.19,8.03,25.02,15.31,9.25,11.39,44.30,94.68,95.53,99.38,99.61,99.69,99.84,99.84,99.84,18.32
"Podgers, Kathy",50.02,18.67,9.46,32.17,46.03,30.51,15.75,40.25,14.02,33.34,58.43,,16.58,15.24,10.37,33.71,23.07,14.12,16.77,56.47,95.74,96.62,99.59,99.71,99.82,99.94,99.88,99.88,23.69
"Reeves, Kenneth E.",85.31,58.88,36.77,63.80,82.67,72.21,50.20,78.40,46.46,74.06,88.41,83.42,,47.86,35.27,70.12,61.28,47.04,53.57,87.09,98.97,99.21,99.84,99.91,99.93,99.97,99.97,99.97,61.56
"Seidel, Sam",85.44,62.66,36.57,67.51,84.68,76.18,51.97,82.44,50.10,76.91,88.81,84.76,52.14,,41.41,76.10,62.64,50.90,57.42,87.66,99.01,99.17,99.86,99.94,99.94,99.97,99.97,99.98,66.42
"Simmons, E. Denise",90.37,70.18,47.99,74.08,88.53,82.12,62.07,85.83,60.10,81.88,91.97,89.63,64.73,58.59,,80.38,70.78,60.96,68.66,91.66,99.32,99.43,99.91,99.95,99.95,99.97,99.97,99.97,72.87
"Stohlman, Jr., Thomas J.",69.23,34.78,18.61,47.28,67.65,52.29,27.61,62.16,25.61,54.47,74.98,66.29,29.88,23.90,19.62,,40.33,28.06,31.60,74.43,97.81,98.26,99.83,99.87,99.90,99.97,99.97,99.97,41.16
"Sullivan, Edward J.",78.41,48.43,30.84,56.04,78.71,63.08,41.20,71.64,34.64,65.88,84.69,76.93,38.72,37.36,29.22,59.67,,33.84,42.60,82.99,98.43,98.73,99.86,99.91,99.93,99.98,99.98,100.00,52.64
"Toomey, Jr., Timothy J.",86.17,62.20,40.89,67.34,86.58,75.22,54.51,81.80,49.70,78.11,90.75,85.88,52.96,49.10,39.04,71.94,66.16,,57.84,89.02,98.95,99.24,99.89,99.95,99.97,100.00,99.98,99.98,65.21
"Ward, Larry W.",85.87,57.70,33.68,63.47,83.12,72.23,48.06,78.99,44.35,73.89,88.61,83.23,46.43,42.58,31.34,68.40,57.40,42.16,,87.92,98.95,99.12,99.89,99.95,99.95,99.98,99.98,99.98,59.33
"Williamson, James M.",48.24,18.15,9.60,29.42,45.99,29.34,14.00,38.57,12.42,31.23,55.70,43.53,12.91,12.34,8.34,25.57,17.01,10.98,12.08,,95.37,96.23,99.67,99.73,99.73,99.87,99.87,99.87,17.46
Write-In 2,3.91,1.30,0.61,2.16,4.05,2.36,0.96,2.96,1.01,2.77,5.32,4.26,1.03,0.99,0.68,2.19,1.57,1.05,1.05,4.63,,56.03,95.35,95.29,96.43,98.80,98.80,98.80,1.58
Write-In 3,3.17,1.14,0.61,2.12,3.38,1.94,0.94,2.70,0.83,2.28,4.47,3.38,0.79,0.83,0.57,1.74,1.27,0.76,0.88,3.77,43.97,,100.00,96.15,97.40,100.00,98.70,98.70,1.37
Write-In 4,0.34,0.11,0.10,0.22,0.45,0.22,0.14,0.37,0.08,0.24,0.62,0.41,0.16,0.14,0.09,0.17,0.14,0.11,0.11,0.33,4.65,0.00,,72.73,72.73,90.00,90.00,90.00,0.15
Write-In 5,0.23,0.09,0.05,0.16,0.28,0.14,0.05,0.23,0.03,0.12,0.39,0.29,0.09,0.06,0.05,0.13,0.09,0.05,0.05,0.27,4.71,3.85,27.27,,57.14,83.33,80.00,83.33,0.10
Write-In 6,0.11,0.07,0.05,0.13,0.22,0.07,0.05,0.19,0.03,0.12,0.31,0.18,0.07,0.06,0.05,0.10,0.07,0.03,0.05,0.27,3.57,2.60,27.27,42.86,,100.00,80.00,80.00,0.10
Write-In 7,0.00,0.02,0.02,0.06,0.11,0.00,0.02,0.09,0.00,0.04,0.16,0.06,0.03,0.03,0.03,0.03,0.02,0.00,0.02,0.13,1.20,0.00,10.00,16.67,0.00,,66.67,66.67,0.05
Write-In 8,0.06,0.02,0.02,0.06,0.11,0.04,0.02,0.09,0.00,0.04,0.16,0.12,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.13,1.20,1.30,10.00,20.00,20.00,33.33,,66.67,0.05
Write-In 9,0.06,0.02,0.02,0.06,0.11,0.04,0.02,0.09,0.02,0.04,0.16,0.12,0.03,0.02,0.03,0.03,0.00,0.02,0.02,0.13,1.20,1.30,10.00,16.67,20.00,33.33,33.33,,0.05
"vanBeuzekom, Minka Y.",77.53,47.47,25.93,55.56,75.79,63.70,37.60,72.27,35.88,65.94,81.68,76.31,38.44,33.58,27.13,58.84,47.36,34.79,40.67,82.54,98.42,98.63,99.85,99.90,99.90,99.95,99.95,99.95,
