"condorcet winner: Cheung, Leland","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6,Write-In 7,Write-In 9,"vanBeuzekom, Minka Y."
"Cheung, Leland",,58.52,63.74,70.42,61.33,84.30,90.79,93.25,82.07,92.82,66.96,69.18,59.82,84.40,64.29,71.71,90.11,99.25,99.76,99.93,99.98,99.98,99.98,99.98,99.98,70.55
"Davis, Henrietta",41.48,,58.46,65.31,56.31,78.81,87.22,90.90,77.76,90.78,60.50,63.18,53.77,78.70,58.29,66.35,87.50,98.96,99.70,99.93,99.96,99.96,99.96,99.96,99.96,64.42
"Decker, Marjorie C.",36.26,41.54,,59.63,49.69,74.91,85.30,89.40,72.93,89.46,55.24,55.86,47.35,73.78,52.96,60.43,85.20,98.78,99.61,99.88,99.96,99.96,99.96,99.96,99.97,58.40
"Kelley, Craig A.",29.58,34.69,40.37,,42.25,71.82,82.13,86.99,68.19,85.81,47.26,47.91,39.54,70.34,45.20,54.80,82.00,98.53,99.57,99.87,99.96,99.96,99.96,99.96,99.95,51.77
"Maher, David P.",38.67,43.69,50.31,57.75,,77.54,86.44,90.35,74.49,89.40,56.30,57.20,47.91,75.88,56.83,63.21,85.88,98.93,99.67,99.91,99.99,99.99,99.99,99.99,99.99,59.55
"Marquardt, Charles J.",15.70,21.19,25.09,28.18,22.46,,70.65,78.49,49.15,74.74,28.19,28.12,23.55,50.62,26.52,33.63,67.08,97.19,99.23,99.80,99.93,99.97,99.97,99.97,99.90,30.44
"Mello, Gary W.",9.21,12.78,14.70,17.87,13.56,29.35,,67.46,34.35,62.81,17.52,17.79,13.81,35.19,16.31,20.12,51.27,95.50,98.88,99.79,99.90,99.95,99.95,99.95,99.90,19.17
"Moree, Gregg J.",6.75,9.10,10.60,13.01,9.65,21.51,32.54,,26.15,51.33,12.57,13.00,9.74,27.15,11.96,14.32,41.15,94.44,98.49,99.60,99.80,99.87,99.87,99.87,99.80,14.36
"Nelson, Matthew P.",17.93,22.24,27.07,31.81,25.51,50.85,65.65,73.85,,76.99,30.83,30.14,25.24,53.29,30.12,36.21,69.28,97.47,99.33,99.82,99.94,99.97,99.97,99.97,99.91,33.12
"Pascual, Jamake",7.18,9.22,10.54,14.19,10.60,25.26,37.19,48.67,23.01,,12.91,14.18,9.66,29.73,13.30,16.03,44.61,94.65,98.55,99.62,99.87,99.94,99.94,99.94,99.81,15.69
"Reeves, Kenneth E.",33.04,39.50,44.76,52.74,43.70,71.81,82.48,87.43,69.17,87.09,,51.68,41.76,71.95,51.01,58.58,83.98,98.67,99.59,99.92,99.95,99.95,99.95,99.95,99.95,54.17
"Seidel, Sam",30.82,36.82,44.14,52.09,42.80,71.88,82.21,87.00,69.86,85.82,48.32,,43.31,72.75,50.26,58.21,83.90,98.67,99.62,99.88,99.93,99.95,99.95,99.95,99.97,54.86
"Simmons, E. Denise",40.18,46.23,52.65,60.46,52.09,76.45,86.19,90.26,74.76,90.34,58.24,56.69,,76.81,58.69,65.95,87.69,98.91,99.67,99.93,99.97,99.97,99.97,99.97,99.96,61.30
