Ballots with first choice:,Number of Ballots,"Benjamin, Ronald ranked in top 3","Burgin, Josh M. ranked in top 3","Carlone, Dennis J. ranked in top 3","D'Ambrosio, Olivia ranked in top 3","Devereux, Jan ranked in top 3","Gebru, Samuel ranked in top 3","Harding, Jr., Richard ranked in top 3","Kelley, Craig A. ranked in top 3","Lenke, Dan ranked in top 3","Levy, Ilan ranked in top 3","Mallon, Alanna M. ranked in top 3","McGovern, Marc C. ranked in top 3","Moree, Gregg J. ranked in top 3","Musgrave, Adriane B. ranked in top 3","Okamoto, Nadya T. ranked in top 3","Pillai, Hari I. ranked in top 3","Santos, Jeff ranked in top 3","Siddiqui, Sumbul ranked in top 3","Simmons, E. Denise ranked in top 3","Sivongxay, Vatsady ranked in top 3","Sutton, Bryan ranked in top 3","Tierney, Sean ranked in top 3","Toner, Paul F. ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Volmar, Gwen Thomas ranked in top 3","Zondervan, Quinton Y. ranked in top 3",writeIns ranked in top 3
"Benjamin, Ronald",241.0,100.0,7.47,7.88,3.32,7.88,10.79,14.52,3.73,0.83,1.66,4.98,7.05,0.0,3.73,7.47,1.24,2.07,9.54,20.75,1.24,2.07,2.9,3.73,3.73,3.32,2.9,0.41
"Burgin, Josh M.",392.0,2.81,100.0,7.14,3.06,10.97,7.14,7.4,10.97,0.26,2.3,9.69,11.99,1.02,4.59,4.08,4.08,4.08,7.14,11.48,3.57,1.79,8.93,9.18,10.97,1.28,3.06,0.26
"Carlone, Dennis J.",1175.0,0.43,1.87,100.0,3.32,48.77,4.09,4.43,10.21,0.43,1.19,6.13,15.49,0.34,1.79,1.79,0.26,3.83,33.53,9.11,9.62,0.43,3.15,2.72,2.55,0.94,23.91,0.0
"D'Ambrosio, Olivia",216.0,2.78,3.7,13.89,100.0,21.76,6.48,6.48,3.7,0.93,0.46,16.2,8.8,0.46,5.09,14.81,0.93,1.85,22.22,11.57,12.5,1.39,5.09,1.85,2.78,6.48,16.67,0.0
"Devereux, Jan",1698.0,0.88,2.0,35.04,6.24,100.0,3.89,3.12,9.19,0.71,1.3,11.13,15.43,0.29,3.53,3.36,1.3,1.71,27.8,13.37,10.72,0.41,5.12,3.06,2.94,1.59,24.62,0.18
"Gebru, Samuel",787.0,2.67,2.92,6.23,1.4,7.5,100.0,13.34,5.97,0.38,1.65,12.83,16.52,0.76,7.62,6.99,1.91,1.78,17.03,22.49,6.86,0.89,11.31,3.81,5.08,1.4,8.89,0.13
"Harding, Jr., Richard",835.0,4.79,1.92,5.87,1.08,4.91,10.66,100.0,4.43,1.08,1.56,8.98,18.8,1.08,2.4,4.43,1.08,3.35,13.17,42.16,4.67,0.6,7.54,5.87,16.17,1.44,4.43,0.12
"Kelley, Craig A.",1092.0,1.37,2.84,12.73,2.01,20.42,3.66,4.21,100.0,1.01,2.01,15.57,20.79,0.73,4.3,2.29,0.73,2.47,16.12,20.6,7.05,0.55,9.71,11.17,9.07,1.37,9.62,0.27
"Lenke, Dan",53.0,3.77,3.77,7.55,1.89,5.66,5.66,1.89,0.0,100.0,20.75,20.75,7.55,13.21,5.66,7.55,1.89,3.77,16.98,7.55,9.43,3.77,1.89,7.55,7.55,3.77,9.43,0.0
"Levy, Ilan",246.0,2.85,2.03,8.54,6.1,12.6,2.03,4.47,9.35,1.63,100.0,8.54,8.94,0.81,2.03,4.47,1.22,5.69,23.58,6.1,8.13,2.44,3.66,8.13,18.7,6.5,21.95,0.0
"Mallon, Alanna M.",1328.0,1.2,2.18,8.28,3.09,16.57,9.04,4.37,8.51,0.38,1.43,100.0,23.57,0.68,11.14,5.2,1.05,1.58,29.44,19.2,7.0,0.23,13.25,8.28,4.29,3.16,8.06,0.0
"McGovern, Marc C.",1879.0,0.53,1.6,11.92,1.65,12.77,10.27,6.55,8.62,0.27,1.01,14.95,100.0,0.53,14.32,3.41,0.8,1.7,16.76,39.49,4.95,0.16,11.28,6.23,9.95,1.49,6.76,0.11
"Moree, Gregg J.",46.0,8.7,10.87,4.35,2.17,0.0,2.17,10.87,8.7,2.17,8.7,6.52,13.04,100.0,8.7,10.87,4.35,6.52,0.0,17.39,0.0,0.0,8.7,13.04,10.87,0.0,2.17,0.0
"Musgrave, Adriane B.",580.0,0.86,2.59,3.79,2.24,7.93,10.69,3.28,8.79,0.69,1.55,32.93,21.21,0.0,100.0,6.38,2.59,2.41,12.59,23.28,5.52,0.17,27.24,3.97,2.76,2.76,6.9,0.0
"Okamoto, Nadya T.",550.0,2.18,2.36,8.36,8.0,13.82,11.82,2.91,6.18,0.36,2.91,8.0,9.82,0.0,5.64,100.0,4.55,2.91,22.36,19.45,19.27,0.73,6.36,2.91,2.91,4.36,12.36,0.18
"Pillai, Hari I.",107.0,1.87,2.8,7.48,5.61,8.41,5.61,2.8,3.74,1.87,6.54,6.54,7.48,2.8,5.61,14.95,100.0,8.41,20.56,16.82,12.15,4.67,4.67,2.8,6.54,5.61,14.02,0.0
"Santos, Jeff",147.0,2.04,2.72,8.16,6.8,6.8,2.72,6.8,2.04,0.68,1.36,8.84,9.52,0.0,3.4,6.8,2.72,100.0,26.53,12.24,6.8,0.68,5.44,6.12,10.88,6.12,19.05,0.68
"Siddiqui, Sumbul",2532.0,1.74,1.15,12.99,2.8,20.46,8.29,5.61,6.16,0.2,1.34,13.19,10.86,0.2,3.48,7.78,2.25,2.05,100.0,15.44,26.03,0.51,6.28,3.91,2.61,2.73,26.11,0.04
"Simmons, E. Denise",2616.0,4.43,1.87,10.82,2.03,12.65,8.41,19.69,9.14,0.42,1.26,8.33,25.61,0.92,4.93,4.63,0.69,1.34,12.58,100.0,7.07,1.07,6.88,4.78,18.81,2.18,4.93,0.08
"Sivongxay, Vatsady",740.0,0.81,1.49,11.62,2.3,16.22,6.76,3.51,5.27,0.0,2.16,9.32,12.97,0.27,4.05,10.0,1.08,2.7,45.14,13.92,100.0,1.08,5.54,2.57,3.24,2.16,28.38,0.0
