"condorcet winner: Davis, Henrietta","Adkins, Lawrence J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Adkins, Lawrence J.",,1164.00,1006.00,1510.00,1355.00,1211.00,1060.00,1312.00,1083.00,1218.00,1364.00,1272.00,933.00,1020.00,816.00,1158.00,1058.00,982.00,858.00,1174.00,1063.00,1730.00
"Cheung, Leland",3988.00,,2762.00,3978.00,4160.00,3846.00,3260.00,4047.00,3388.00,3901.00,4179.00,4099.00,3492.00,3052.00,2901.00,3707.00,3741.00,3327.00,3305.00,4036.00,3411.00,4470.00
"Davis, Henrietta",7785.00,6967.00,,6970.00,7933.00,7606.00,6571.00,7788.00,6702.00,7703.00,7972.00,7879.00,6552.00,6214.00,5585.00,7411.00,7317.00,6644.00,6563.00,7824.00,6978.00,8161.00
"Decker, Marjorie C.",3069.00,2867.00,2274.00,,3087.00,2954.00,2672.00,3018.00,2683.00,3022.00,3110.00,3091.00,2718.00,2576.00,2371.00,2965.00,2947.00,2766.00,2721.00,3086.00,2814.00,3128.00
"Flanagan, Mark F.",1245.00,938.00,925.00,1553.00,,1315.00,1146.00,1369.00,1056.00,1296.00,1429.00,1348.00,1134.00,1079.00,991.00,1228.00,1034.00,949.00,1060.00,1269.00,1156.00,1760.00
"Glick, Silvia P.",2261.00,1816.00,1417.00,2405.00,2202.00,,1813.00,2313.00,2027.00,2245.00,2468.00,2300.00,2007.00,1762.00,1598.00,2145.00,2172.00,1948.00,1903.00,2301.00,1888.00,2760.00
"Kelley, Craig A.",5325.00,4580.00,3333.00,4974.00,5280.00,5048.00,,5322.00,4356.00,5201.00,5483.00,5388.00,4555.00,4034.00,3882.00,4988.00,4863.00,4261.00,4349.00,5364.00,4691.00,5690.00
"Leavitt, Neal W.",1634.00,1221.00,1081.00,1858.00,1531.00,1349.00,1222.00,,1393.00,1615.00,1822.00,1710.00,1473.00,1236.00,1241.00,1490.00,1494.00,1338.00,1353.00,1662.00,1356.00,2120.00
"Maher, David P.",6104.00,5252.00,3956.00,5619.00,6084.00,5845.00,4672.00,5927.00,,5961.00,6250.00,6154.00,5108.00,4713.00,4340.00,5719.00,5293.00,4566.00,5033.00,6151.00,5589.00,6438.00
"Marquardt, Charles J.",2066.00,1717.00,1571.00,2244.00,2014.00,1779.00,1569.00,1912.00,1688.00,,2244.00,2144.00,1863.00,1725.00,1656.00,1982.00,1853.00,1656.00,1780.00,2123.00,1784.00,2511.00
"Moree, Gregg J.",827.00,670.00,645.00,1127.00,749.00,708.00,654.00,727.00,563.00,665.00,,869.00,718.00,757.00,672.00,855.00,691.00,626.00,678.00,860.00,818.00,1269.00
"Podgers, Kathy",1275.00,937.00,819.00,1460.00,1151.00,1005.00,1002.00,1150.00,999.00,1073.00,1226.00,,1073.00,1065.00,881.00,1260.00,1125.00,1002.00,1046.00,1283.00,1092.00,1671.00
"Reeves, Kenneth E.",5437.00,5002.00,3808.00,4789.00,5422.00,5217.00,4589.00,5349.00,4435.00,5325.00,5501.00,5425.00,,4492.00,3357.00,5313.00,5044.00,4392.00,4559.00,5495.00,5044.00,5739.00
"Seidel, Sam",6022.00,5127.00,3585.00,5351.00,5990.00,5644.00,4368.00,5817.00,4735.00,5752.00,6051.00,5959.00,4897.00,,4207.00,5587.00,5670.00,5104.00,4897.00,6036.00,5208.00,6314.00
"Simmons, E. Denise",7698.00,6836.00,5153.00,6773.00,7672.00,7346.00,6354.00,7526.00,6534.00,7493.00,7754.00,7658.00,6161.00,5949.00,,7341.00,7314.00,6688.00,6619.00,7721.00,6949.00,7960.00
"Stohlman, Jr., Thomas J.",2616.00,1977.00,1692.00,2655.00,2575.00,2348.00,1900.00,2452.00,1965.00,2374.00,2575.00,2490.00,2263.00,1751.00,1790.00,,2445.00,2236.00,2166.00,2649.00,2251.00,2982.00
