"condorcet winner: Galluccio, Anthony D.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
"Condit, James E., III",,740.00,728.00,1042.00,560.00,988.00,981.00,992.00,944.00,882.00,693.00,763.00,981.00,827.00,747.00,708.00,595.00,634.00,892.00,1394.00
"Davis, Henrietta",8247.00,,5730.00,8255.00,6180.00,8112.00,7930.00,7996.00,8265.00,7305.00,6933.00,5925.00,8229.00,6623.00,6697.00,5871.00,6857.00,7129.00,8242.00,8503.00
"Decker, Marjorie C.",7839.00,5206.00,,7848.00,5695.00,7749.00,7540.00,7633.00,7874.00,7056.00,6490.00,5965.00,7839.00,6538.00,6441.00,5754.00,6276.00,6569.00,7847.00,8111.00
"Dixon, Vincent Lawrence",1190.00,836.00,803.00,,833.00,1287.00,1228.00,1238.00,1284.00,1109.00,953.00,1025.00,1273.00,1026.00,941.00,844.00,820.00,873.00,1233.00,1653.00
"Galluccio, Anthony D.",9216.00,7368.00,7215.00,9168.00,,9112.00,8960.00,9110.00,9172.00,8448.00,7722.00,7895.00,9188.00,8278.00,7880.00,7660.00,7236.00,7611.00,9247.00,9440.00
"Hall, Robert L.",1531.00,1044.00,965.00,1493.00,844.00,,1575.00,1612.00,1622.00,1392.00,1112.00,1227.00,1606.00,1330.00,1172.00,1072.00,1070.00,1145.00,1562.00,1973.00
"Horowitz, Jacob",3138.00,1159.00,1885.00,3091.00,2375.00,2953.00,,3009.00,3212.00,2161.00,2733.00,1614.00,3155.00,1879.00,2566.00,1558.00,2747.00,2808.00,3135.00,3527.00
"Iskovitz, Steve",1862.00,1152.00,1124.00,1807.00,1355.00,1718.00,1428.00,,1930.00,1562.00,1617.00,1367.00,1890.00,1431.00,1494.00,1214.00,1591.00,1610.00,1870.00,2265.00
"Jens, Steven E.",1205.00,920.00,941.00,1166.00,716.00,1114.00,1078.00,1107.00,,1157.00,893.00,1053.00,1248.00,1077.00,1014.00,964.00,850.00,910.00,1243.00,1622.00
"King, Ethridge A.",4850.00,2389.00,3029.00,4784.00,3634.00,4660.00,3914.00,4485.00,4757.00,,4242.00,3025.00,4840.00,3407.00,3728.00,2615.00,4220.00,4376.00,4861.00,5181.00
"Maher, David P.",6535.00,4847.00,4751.00,6489.00,3222.00,6355.00,6252.00,6406.00,6447.00,5860.00,,5511.00,6529.00,5779.00,5449.00,5312.00,4360.00,4912.00,6586.00,6825.00
"Murphy, Brian",6636.00,4415.00,4668.00,6569.00,5149.00,6395.00,6052.00,6327.00,6566.00,5632.00,5566.00,,6661.00,5356.00,5825.00,4879.00,5722.00,5972.00,6634.00,6945.00
"Peixoto, Helder",1351.00,872.00,883.00,1336.00,717.00,1287.00,1222.00,1247.00,1281.00,1066.00,924.00,984.00,,1174.00,1061.00,955.00,903.00,910.00,1394.00,1736.00
"Pitkin, John",5351.00,3204.00,3707.00,5285.00,4192.00,5199.00,4658.00,5021.00,5272.00,4251.00,4557.00,3130.00,5236.00,,4584.00,3673.00,4728.00,4836.00,5329.00,5654.00
"Reeves, Kenneth E.",6140.00,4254.00,3951.00,6083.00,3904.00,5970.00,5751.00,5892.00,6065.00,5317.00,4782.00,4690.00,6020.00,5147.00,,4334.00,4727.00,4948.00,6137.00,6385.00
"Simmons, Denise",7459.00,4894.00,5168.00,7397.00,5736.00,7241.00,6900.00,7096.00,7410.00,6316.00,6492.00,5261.00,7322.00,5785.00,5808.00,,6605.00,6722.00,7452.00,7687.00
"Sullivan, Michael A.",7152.00,5801.00,5667.00,7094.00,3751.00,6972.00,6940.00,7047.00,7045.00,6543.00,5030.00,6143.00,7057.00,6451.00,5882.00,5838.00,,5435.00,7192.00,7378.00
"Toomey, Timothy J., Jr.",6062.00,4969.00,4766.00,6008.00,3181.00,5992.00,5891.00,5939.00,5977.00,5555.00,4189.00,5358.00,5950.00,5497.00,4887.00,5019.00,3414.00,,6095.00,6284.00
"Williamson, James M.",998.00,653.00,630.00,939.00,580.00,928.00,897.00,841.00,943.00,800.00,690.00,701.00,901.00,704.00,684.00,574.00,587.00,612.00,,1338.00
writeIns,129.00,91.00,82.00,134.00,93.00,124.00,128.00,116.00,129.00,116.00,106.00,104.00,126.00,115.00,108.00,97.00,102.00,106.00,131.00,
