"condorcet winner: Davis, Henrietta","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Janik, Jonathan S.","Kelley, Craig A.","Maher, David P.","Moore, M. Kevin","Moree, Gregg J.","Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Ward, Larry W.",writeIns
"Davis, Henrietta",,5178.00,6375.00,6633.00,5691.00,5934.00,6559.00,6880.00,5170.00,6825.00,5745.00,5374.00,4992.00,6336.00,5899.00,5843.00,7157.00
"Decker, Marjorie C.",3789.00,,5769.00,6086.00,5171.00,5223.00,5998.00,6295.00,4755.00,6269.00,5131.00,4989.00,4476.00,5641.00,5178.00,5346.00,6595.00
"Galluccio, Anthony D.",2519.00,2526.00,,3459.00,3114.00,2814.00,3311.00,3533.00,2937.00,3510.00,2672.00,3127.00,2633.00,2846.00,2397.00,3106.00,3845.00
"Janik, Jonathan S.",1225.00,1460.00,2031.00,,1611.00,1878.00,2130.00,2313.00,1483.00,2229.00,1941.00,1380.00,1442.00,1984.00,1791.00,1603.00,2705.00
"Kelley, Craig A.",3030.00,3353.00,4241.00,4484.00,,3992.00,4663.00,4910.00,3511.00,4859.00,4163.00,3710.00,3536.00,4391.00,3977.00,4059.00,5244.00
"Maher, David P.",3639.00,3960.00,4557.00,5089.00,4200.00,,5189.00,5440.00,4163.00,5405.00,4579.00,4440.00,4113.00,4605.00,4073.00,4727.00,5752.00
"Moore, M. Kevin",1660.00,1710.00,2087.00,2115.00,1804.00,1793.00,,2470.00,1878.00,2380.00,1771.00,1909.00,1496.00,2079.00,1883.00,1757.00,2807.00
"Moree, Gregg J.",837.00,838.00,987.00,1022.00,848.00,816.00,902.00,,967.00,1199.00,983.00,1010.00,867.00,993.00,850.00,943.00,1685.00
"Murphy, Brian",3657.00,4081.00,5210.00,5471.00,4418.00,4517.00,5475.00,5776.00,,5853.00,5025.00,4558.00,4348.00,5254.00,4852.00,4965.00,6185.00
"Podgers, Kathy",780.00,858.00,1175.00,1160.00,982.00,972.00,1078.00,1287.00,927.00,,1094.00,1085.00,884.00,1180.00,1037.00,1093.00,1823.00
"Reeves, Kenneth E.",3281.00,3306.00,4121.00,4441.00,3900.00,3794.00,4350.00,4624.00,3564.00,4612.00,,4022.00,3345.00,4239.00,3813.00,4098.00,5007.00
"Seidel, Sam",3152.00,3559.00,4657.00,4606.00,3700.00,4123.00,4588.00,4841.00,3370.00,4764.00,4230.00,,3695.00,4683.00,4383.00,4148.00,5317.00
"Simmons, E. Denise",4018.00,4465.00,5811.00,6058.00,5034.00,5301.00,5970.00,6360.00,4575.00,6286.00,4943.00,4848.00,,5955.00,5484.00,5423.00,6685.00
"Sullivan, Edward J.",3049.00,3027.00,3187.00,3540.00,3161.00,2568.00,3411.00,3648.00,3061.00,3625.00,3056.00,3209.00,2890.00,,2601.00,3417.00,4094.00
"Toomey, Timothy J., Jr.",3935.00,4051.00,4465.00,4979.00,4299.00,3793.00,4858.00,5150.00,4093.00,5133.00,4168.00,4382.00,3871.00,4124.00,,4697.00,5496.00
"Ward, Larry W.",2691.00,2992.00,3793.00,3695.00,3098.00,3422.00,3610.00,4030.00,2892.00,3942.00,3289.00,2714.00,2522.00,3628.00,3395.00,,4412.00
writeIns,67.00,75.00,79.00,79.00,70.00,83.00,79.00,86.00,80.00,84.00,77.00,67.00,70.00,82.00,77.00,68.00,
